Sample,Bacteroidia_Clostridia_ratio
SRS011061,13.2017
SRS011084,4.6244
SRS011134,1.3265
SRS011239,7.5223
SRS011271,5.4986
SRS011302,0.76963
SRS011405,18.906
SRS011452,31.9454
SRS011529,11.2821
SRS011586,3.0561
SRS012273,2.4223
SRS012902,90.6794
SRS013158,20.0125
SRS013215,84.4023
SRS013476,0.98125
SRS013521,48.0626
SRS013687,6.7437
SRS013800,42.2469
SRS013951,0.21932
SRS014235,1.5962
SRS014287,1.1246
SRS014313,6.6285
SRS014459,1.1617
SRS014613,4.0745
SRS014683,9.4457
SRS014923,0.66092
SRS014979,0.35857
SRS015065,0.98429
SRS015133,0.60738
SRS015190,12.7879
SRS015217,0.21667
SRS015264,3.3003
SRS015369,39.0499
SRS015578,2.2325
SRS015663,2.4969
SRS015782,2.1986
SRS015794,21.4016
SRS015854,2.0449
SRS015960,13.7318
SRS016018,17.101
SRS016056,49.9402
SRS016095,4.8854
SRS016203,2.6774
SRS016267,25.8346
SRS016335,3.3245
SRS016495,0.35548
SRS016517,0.23605
SRS016585,3.997
SRS016753,33.928
SRS016954,3.5761
SRS016989,10.3163
SRS017103,9.0911
SRS017191,6.7531
SRS017247,38.6611
SRS017307,6.6707
SRS017433,11.7953
SRS017521,2.9335
SRS017701,15.662
SRS017821,9.1046
SRS018133,96.1523
SRS018313,11.6351
SRS018351,3.842
SRS018427,3.1288
SRS018575,14.1496
SRS018656,1.9206
SRS018817,6.6951
SRS019030,5.9776
SRS019161,2.3682
SRS019267,27.0242
SRS019397,6.7675
SRS019582,1.2024
SRS019601,4.2805
SRS019685,4.069
SRS019787,16.5137
SRS019910,6.087
SRS019968,5.4531
SRS020233,2.8997
SRS020328,2.0743
SRS020869,2.7381
SRS021484,7.2037
SRS021948,8.8451
SRS022071,3.3899
SRS022137,8.1064
SRS022524,1.9362
SRS022609,3.1632
SRS022713,24.9704
SRS023176,17.2755
SRS023346,23.1317
SRS023526,6.1828
SRS023583,43.3097
SRS023829,82.3016
SRS023914,2.4364
SRS023971,41.128
SRS024009,19.5964
SRS024075,9.6914
SRS024132,0.63923
SRS024265,4.2671
SRS024331,7.9323
SRS024388,26.1774
SRS024435,4.8379
SRS024549,26.912
SRS024625,8.9722
SRS042284,6.1332
SRS042628,0.42626
SRS043001,6.7598
SRS043411,5.5941
SRS043701,6.644
SRS045004,12.8183
SRS045645,17.7386
SRS045713,25.7894
SRS047014,1.3914
SRS047044,22.824
SRS048164,3.8748
SRS048870,4.3925
SRS049164,1.4554
SRS049712,8.1945
SRS049900,23.0199
SRS049959,0.76181
SRS049995,7.7076
SRS050299,56.1247
SRS050422,0.57817
SRS050752,2.5954
SRS050925,3.3084
SRS051031,4.1125
SRS051882,4.6029
SRS052027,5.2062
SRS052697,1.9158
SRS053214,8.6091
SRS053335,3.0751
SRS053398,5.8545
SRS054590,9.4974
SRS054956,2.2993
SRS055982,6.5126
SRS056259,11.229
SRS056519,11.6731
SRS057478,12.5306
SRS057717,9.563
SRS058723,12.9591
SRS058770,20.7143
SRS062427,10.2295
SRS063040,2.1096
SRS063985,0.72214
SRS064276,1.0438
SRS064557,19.6484
SRS064645,10.7903
SRS065504,2.4124
SRS075398,27.6039
SRS077730,12.1953
SRS078176,5.6963
