,Liver_PCSF,Liver_ALCD2if,Liver_EX_val_L(e)_[bc],Liver_EX_ile_L(e)_[bc],Colon_HMR_0156,Brain_DM_dopa[c],Brain_DM_srtn[c],Brain_DM_adrnl[c],Brain_DM_4abut[c],Brain_DM_hista[c],Brain_DM_kynate[c],Brain_DM_nrpphr[c],Brain_DM_Lkynr[c]
SRS011061,4.3684,4.4913,5.336,2.2464,33.3344,7.5929,38.1417,5.6959,1.2999,1.8443,223.2991,5.7972,97.5251
SRS011239,4.2578,6.7057,5.3161,2.2445,57.183,7.6102,38.7969,5.7319,1.2209,1.798,223.1897,5.8336,97.4714
SRS011302,4.479,30.4727,5.3673,2.2468,235.0892,7.8619,39.4787,5.9101,1.0811,1.8922,206.5552,6.0081,96.602
SRS011405,4.5343,4.0961,5.3713,2.2516,22.3414,7.7732,38.7756,5.8367,1.2346,1.9146,224.1771,5.9391,97.7133
SRS011586,3.0413,14.8829,4.971,2.0611,96.9107,5.4397,28.7448,4.1855,1.482,1.2845,203.9748,4.3263,85.7552
SRS012273,4.866,18.999,5.4341,2.2642,93.7416,8.1373,40.0835,6.1169,1.1695,2.0552,227.2292,6.2186,98.7043
SRS012902,0.218,1.7228,5.4392,2.2174,1.8547,7.6546,36.6115,5.6659,1.0532,2.0561,214.1285,5.788,93.3141
SRS013521,2.15,2.0919,5.2089,2.1977,9.6683,6.7456,34.4926,5.1772,1.0844,1.589,188.3186,5.2811,91.6007
SRS014313,4.4237,8.5234,5.3554,2.2422,42.1572,7.7082,38.6183,5.7939,1.1017,1.8687,157.6705,5.8907,95.994
SRS014459,3.9813,24.713,5.2547,2.2354,224.4811,7.1184,38.6587,5.6097,1.2125,1.6814,221.3796,5.7095,96.9517
SRS014613,3.3178,11.5617,5.0646,2.155,93.9281,5.9277,32.9605,4.7534,1.5131,1.401,219.1399,4.9083,94.8542
SRS014979,4.2578,27.1992,5.3149,2.2439,224.4632,7.599,38.5725,5.7018,1.2457,1.7979,222.9628,5.8031,97.4213
SRS015065,3.9813,26.0535,5.2547,2.2352,213.2215,7.1184,38.6492,5.6088,1.2123,1.6814,221.3122,5.7086,96.9145
SRS015133,4.5343,26.5,5.3705,2.2517,233.1458,7.7553,38.6639,5.8223,1.255,1.9145,197.3934,5.9251,97.7734
SRS015190,2.728,4.9614,5.4325,2.2447,31.1556,7.6024,36.3808,5.6189,1.1541,2.055,217.4112,5.7409,94.7544
SRS015217,4.3131,40.1756,5.3371,2.2409,236.4628,7.7356,39.7356,5.8805,1.0562,1.8226,177.6119,5.9774,95.9885
SRS015369,0,2.4623,5.2095,2.1981,7.1844,6.7469,34.4937,5.1781,1.0777,1.5891,208.0932,5.2871,91.6518
SRS016095,3.9813,10.735,5.2617,2.2325,49.9103,7.1357,39.3788,5.7071,1.1009,1.6822,219.5139,5.8055,96.0279
SRS016203,4.0366,14.4979,5.267,2.2371,134.9966,7.2155,38.6014,5.6236,1.2157,1.7046,221.7136,5.7237,97.0958
SRS016495,4.866,40.1891,5.4398,2.261,245.5306,8.2369,40.6711,6.1927,1.0626,2.0562,225.1161,6.2947,97.6781
SRS016517,4.866,40.1891,5.4398,2.2612,260.5303,8.2411,40.7004,6.1958,1.0629,2.0562,222.3916,6.2979,97.7321
SRS017521,4.3131,16.0491,5.3334,2.2489,55.3499,7.725,40.0781,5.9077,1.0978,1.8221,216.2314,6.0082,97.7562
SRS017701,2.91,4.1352,5.0891,2.1364,26.7258,6.0386,31.3005,4.6346,1.2422,1.4249,212.2379,4.7554,90.6754
SRS018656,5.2531,13.5153,5.5004,2.2666,70.9494,8.4649,40.7449,6.3122,1.0591,2.2201,224.8772,6.4443,97.1864
SRS019267,1.47,2.9686,5.3114,2.223,14.2163,7.3023,36.5369,5.4895,1.0661,1.7756,212.6657,5.5805,93.1984
SRS019601,3.7601,15.1996,5.2039,2.2269,68.1114,6.7344,39.2057,5.634,1.1773,1.5885,221.4742,5.7415,97.1292
SRS019968,4.0919,10.4176,5.2736,2.2416,79.4175,7.2984,37.9915,5.5602,1.4436,1.7273,223.7335,5.6597,97.9895
SRS020328,3.4284,23.2961,5.0963,2.1942,124.2122,6.1182,35.3308,5.0129,1.6304,1.4473,222.521,5.1763,98.0403
SRS021948,3.5389,7.5772,5.1368,2.2021,45.2705,6.3288,36.0226,5.2029,1.3141,1.4946,209.2979,5.3385,96.4666
SRS022071,4.866,12.4847,5.4341,2.2577,108.1322,8.0226,39.2802,6.0293,1.1617,2.0552,224.2117,6.1309,97.3579
SRS022137,2.9307,7.1951,4.9198,2.0246,51.3844,5.2295,26.8114,3.8534,2.1398,1.2372,206.9104,3.9814,82.5406
SRS022524,3.2625,17.6597,5.0501,2.1369,158.9924,5.8359,31.952,4.6599,1.3908,1.3779,209.7212,4.7814,92.7166
SRS022713,2.9998,8.2869,5.4164,2.2572,11.4613,8.0181,39.6264,6.0275,1.1387,2.0087,224.6525,6.1275,97.6542
SRS023346,1.166,4.3505,5.3985,2.2379,23.7366,7.2843,34.8527,5.3642,1.2848,1.9841,216.2817,5.488,94.4898
SRS023583,0.678,2.1775,5.1171,2.1563,9.7191,6.2241,32.1901,4.744,1.3609,1.471,211.4416,4.8882,92.3648
SRS023829,0.664,1.8113,5.4392,2.244,3.0777,7.7419,37.2217,5.7513,1.0571,2.0561,216.1845,5.8753,94.1974
