TranslatedReaction	VMHreaction
rxn04324	10DMMCNFDOR
rxn07917	12DGR180ti
rxn15324	12PPDRDH
rxn07919	12PPDRt
rxn07920	12PPDRt
rxn01709	12PPDSDH
rxn15325	12PPDSDH
rxn07921	12PPDt
rxn07922	12PPDt
rxn10140	12PPDt
rxn02250	13DAMPPOX
rxn02235	13PPDHr
rxn03488	14BDGGH
rxn02696	14BGGH
rxn08305	15DAPtex
rxn07767	17DMXOR
rxn03906	1H2NPTH
rxn07760	1MXNTHNOR
rxn07732	1MXOR
rxn07759	1MXTHNOR
rxn01635	1P4H2CBXLAH
rxn01578	1PPDCRx
rxn01579	1PPDCRy
rxn00280	22IDPOR
rxn00144	23DAPAL
rxn03435	23DHMPO
rxn02522	23PDE2
rxn02762	23PDE4
rxn02521	23PDE7
rxn03483	23PDE9
rxn03252	24DCOAR
rxn00196	25DOPOX
rxn02971	25K5O2AI
rxn07441	26DAPLLAT
rxn01205	2ACAMSUCCAH
rxn05725	2AEPPNt2
rxn07946	2AGPEAT120
rxn07947	2AGPEAT140
rxn07948	2AGPEAT141
rxn07949	2AGPEAT160
rxn07950	2AGPEAT161
rxn07951	2AGPEAT180
rxn07952	2AGPEAT181
rxn07960	2AGPGAT120
rxn07961	2AGPGAT140
rxn07962	2AGPGAT141
rxn07963	2AGPGAT160
rxn07964	2AGPGAT161
rxn07965	2AGPGAT180
rxn07966	2AGPGAT181
rxn03436	2AHBUTI
rxn32760	2AHBUTI
rxn32797	2AHBUTI
rxn32798	2AHBUTI
rxn14245	2AMACHYD
rxn07169	2CLDHOFAL
rxn08320	2DDGLCNtex
rxn01307	2DDPENGAL
rxn01633	2DDPENTHL
rxn07967	2DGLCNRx
rxn07969	2DGULRx
rxn02346	2DH3DGLCA
rxn04056	2DHGLCNOR
rxn00905	2DHPL
rxn00107	2DOHMC5DPT
rxn01883	2DOXG6PP
rxn07889	2FBZOR
rxn07890	2FBZTOR
rxn04732	2H3CBENZALPYRA
rxn04722	2H3MBENZALPYRA
rxn00332	2H3OGL
rxn04743	2H4HMBENZALPYRA
rxn06584	2HAGH
rxn03963	2HANADOR
rxn03964	2HANADPOR
rxn00741	2HBO
rxn12585	2HBt2
rxn00164	2HEDCCL
rxn00680	2HGL
rxn03347	2HH24DDH
rxn04706	2HH24DDH1
rxn31242	2HLOX
rxn34253	2HLOX
rxn34254	2HLOX
rxn02788	2HMCOXT
rxn03050	2HOBTCHL
rxn03272	2HOBTCHL2
rxn02768	2HYDOGCOAD
rxn02810	2HYDOGCOAT
rxn11732	2HYDOGDH
rxn02519	2HYDOGDH2
rxn43543	2HYDOGDH2
rxn42709	2IMZS
rxn02007	2INSD
rxn15544	2INSD
rxn07841	2IPDPIPT
rxn07971	2MAHMP
rxn02267	2MB2COAR
rxn03934	2MBALDOR
rxn05358	2MBCOATA
rxn03650	2MBOHOR
rxn09805	2MCITt
rxn02271	2MEBCOADH
rxn06335	2MEBCOADH
rxn35537	2MEBCOADH
rxn02270	2MECOAOX
rxn32831	2MECOAOX
rxn35547	2MECOAOX
rxn02749	2MMALD
rxn02751	2MMALD2
rxn14037	2OAAT
rxn05975	2OALDOR
rxn05940	2OBUTFDXOR
rxn14178	2OBUTFDXOR
rxn12522	2OBUTt2r
rxn30222	2OBUTt2r
rxn30223	2OBUTt2r
rxn06281	2OGAT
rxn02882	2OHEDHYD
rxn04139	2OMMBOX
rxn12224	2OMPHH
rxn00254	2OSAHL
rxn01418	2OXOADOX
rxn31165	2PGtr
rxn32552	2PGtr
rxn34476	2PGtr
rxn02970	2RCDHOFAL
rxn04675	2S6HCC
rxn01192	34DCCBR
rxn03333	34DHOXPEGOX
rxn33596	34DHPHEt
rxn02364	34DHPLACOX
rxn02365	34DHPLACOX_NADP_
rxn02396	34HPPDC
rxn01827	34HPPOR
rxn32483	34HPPOR
rxn32486	34HPPOR
rxn37995	34HPPOR
rxn11349	34HPPORdc
rxn00033	34HPPORdc
rxn29364	34HPPte
rxn05719	35CCMPt2
rxn05720	35CGMPt2
rxn02344	36DAHXI
rxn07768	37DMXOR
rxn02170	3ABUTCOAL
rxn32916	3ANTHRNtr
rxn32918	3ANTHRNtr
rxn01337	3BHYDANOR
rxn02171	3BTCOAI
rxn09801	3C3HMPt
rxn13198	3C3HMPt
rxn34348	3C3HMPt
rxn04465	3CALACL
rxn02376	3CARLPDH
rxn07618	3CLCOR
rxn01912	3DGUR
rxn07896	3FBZOR
rxn07897	3FBZTOR
rxn07899	3FCHDCOR
rxn07902	3FCHLOR
rxn02477	3H2M45DCCL
rxn03860	3HACOAOR
rxn05333	3HAD100
rxn05423	3HAD10M11
rxn05373	3HAD10M12
rxn05398	3HAD11M12
rxn05331	3HAD120
rxn07976	3HAD121
rxn05427	3HAD12M13
rxn05377	3HAD12M14
rxn05402	3HAD13M14
rxn05335	3HAD140
rxn31326	3HAD140r
rxn07977	3HAD141
rxn05431	3HAD14M15
rxn05381	3HAD14M16
rxn05406	3HAD15M16
rxn05332	3HAD160
rxn07978	3HAD161
rxn05462	3HAD180
rxn07979	3HAD180
rxn30140	3HAD180
rxn34696	3HAD180
rxn07980	3HAD181
rxn34697	3HAD181
rxn05329	3HAD40
rxn07981	3HAD40
rxn05411	3HAD4M5
rxn05361	3HAD4M6
rxn05386	3HAD5M6
rxn05330	3HAD60
rxn05415	3HAD6M7
rxn05365	3HAD6M8
rxn05390	3HAD7M8
rxn05334	3HAD80
rxn05369	3HAD8M10
rxn05419	3HAD8M9
rxn05394	3HAD9M10
rxn01927	3HAO
rxn00038	3HBBUTH
rxn03642	3HBCD
rxn02345	3HBCOAE
rxn02406	3HBCOAHL
rxn03433	3HBCOAHL
rxn01453	3HBCOAOX
rxn04602	3HCINNMH
rxn08701	3HCINNMt2r
rxn10135	3HCINNMt2r
rxn08702	3HCINNMtex
rxn02912	3HKYNAKGAT
rxn21079	3HKYNAKGAT
rxn01499	3HLYTCL
rxn12561	3HMPt2
rxn33156	3HMPtd
rxn33161	3HMPtd
rxn02181	3HPCOAHL
rxn28323	3HPCOAHL
rxn32064	3HPCOAHL
rxn02261	3HPCOAHYD
rxn02260	3HPCOAS
rxn02363	3HPHACOX
rxn01174	3HPPD
rxn04601	3HPPPNH
