X,ERR525691,ERR525707,ERR525711,ERR525724,ERR525736,ERR525740,ERR525745,ERR525749,ERR525762,ERR525766,ERR525782,ERR525786,ERR525808,ERR525818,ERR525834,ERR525838,ERR525846,ERR525850,ERR525854,ERR525862,ERR525866,ERR525874,ERR525878,ERR525883,ERR525888,ERR525892,ERR525894,ERR525900,ERR525927,ERR525930,ERR525934,ERR525938,ERR525966,ERR525970,ERR525982,ERR525986,ERR525990,ERR525994,ERR525998,ERR526014,ERR526022,ERR526030,ERR526034,ERR526038,ERR526046,ERR526074,ERR526078,ERR526082
11861_6_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337579903226651,0,0,0,0,0,0,0,0,0,0.167193847427318,0,0,0,0,0,0,0,0,0,0,0,0,0
11861_6_61,0,0.160796038567263,0,0,0,0,0,0.152525388198215,0,0,0,0,0,0.190673900574316,0,0.141833995221572,0,0.260433242410741,0,0.15244524371298,0,0.4104164948299,0,0,0,0.228925616471249,0,0.118563730663611,0.142761188192511,0,0,0,0,0,0,0.197438643670268,0,0,0,0,0,0,0,0.239772582373784,0.402227601859155,0.123674339644952,0.198308051292316,0
11861_6_63,0,0.223539144258989,0,0,0,0,0,0,0,0.290031747337603,0,0.27192994381873,0.173453435479866,0,0,0.170326430199648,0,0,0,0,0,0,0,0,0,0,0,0,0.56680229280856,0,0.343497780537676,0,0.410092852496392,0,0,0.233424660532288,0,0,0.14743554214675,0,0.263778660533835,0,0,0,0.361424401784858,0,0.151003988374635,0
11861_6_65,0,0,0,0,0,0,0,0.158998173986822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12718_7_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118449088851456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12718_7_13,1.0252669698356,0,0,0,0.148185030446082,0.476393304714001,0,0,0,0.641239883204851,0,0,0.242729301257337,0,0,0,0,0,0,0,0,0,0,0,0.560093392892079,0,0,0.322239915215413,0,0.355937387531249,0,0.968871513136621,0,1.65209916046297,0.603006293541577,0,0,0,0,0,0.387048574813576,0.515484276772223,0.256706680090887,0,0,0,0,0
12718_7_21,0.449548007199128,0,0,0,0,0.217085773447832,0,0,0,0.277378417935893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257205320182971,0,0,0.153488192806956,0,0.183012021920916,0,0.442615874006297,0,0.709907645023017,0.266752570983917,0,0,0,0,0,0.176291030733849,0.233075698781251,0.115405553675511,0,0,0,0,0
12718_7_23,1.00477208479045,0,0,0,0.137607042423673,0.48393366398181,0,0,0,0.619085378899031,0,0,0.247860846870483,0,0,0,0,0,0,0,0,0,0,0,0.601550573990088,0,0,0.340427662389334,0,0.354665298063508,0,0.978621000069871,0,1.58965725981326,0.612403474968188,0,0,0,0,0,0.36318628475852,0.55035318030768,0.261772291316786,0,0,0,0.130914631400357,0.119013400443935
12718_7_29,0,1.2063910450598,0.171449866870981,0.25832621961077,0,0,0,1.64747809714798,0.40744549739788,0.31323696980929,0,0.353432235329907,0,1.37877140313551,0.617025737427797,0.28367920793723,0.276433321270184,0.148270424681545,0.941805761086561,0.128561926324779,0.137890934291869,1.07296439042313,0,0.231058346075954,0,0,0,0,3.64706927370652,0,0.233570816981078,0,0.251610005899384,0,1.6981969479385,1.68850449089988,1.42092965853284,0,0,0.269183647651527,0,0,0,0,0.369585041799718,0,0.145165329338606,0
12718_7_3,0,0,0.168851234398326,0,0,4.8641166639281,0.390174088992213,0,0,0,0.214129505768418,0,0,0,0,0,0,0,0,0,0,0,0,0.172066664244743,0,0,0,0,0,0,0.16487845504655,0,0.25358194474017,0,0,0,0,1.39581339657463,0,0,0,0,0,0,0,0,0,0
12718_7_37,0,0.174910993316939,0,0,0,0,0,0,0,0.25312247729834,0,0.181724313792886,0,0,0,0.160230685522377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20132563503864,0,0,0,0,0,0,0,0,0.304288427821668,0,0,0
12718_7_49,0,0,0.142876884936626,0,0,3.29776389529217,0.354079306195196,0,0,0,0.204396346415308,0,0,0,0,0,0,0,0,0,0,0,0,0.18189481509809,0,0,0,0,0,0,0.13396749169043,0,0,0,0,0,0,1.41311406488927,0,0,0,0,0,0,0,0,0,0
12718_7_50,0,0,0.168851234398326,0,0,4.19027017139162,0.351299190238662,0,0,0,0.175196868355978,0,0,0,0,0,0,0,0,0,0,0,0,0.152398974182484,0,0,0,0,0,0,0.16487845504655,0,0.174340521441666,0,0,0,0,1.16434628520163,0,0,0,0,0,0,0,0,0,0
12718_7_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797834466732886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12718_7_7,0,0,0.189628318914715,0,0,3.65659566073063,0.38740565419516,0,0,0,0.233595824474638,0,0,0,0,0,0,0,0,0,0,0,0,0.22367869166927,0,0,0,0,0,0,0.1923601959357,0,0.126790972370085,0,0,0,0,1.35702823819605,0,0,0,0,0,0,0,0,0,0.156873996102308
12718_7_70,5.05326328772586,1.22198706024426,0,0,2.0429030612441,5.89839020242515,0,2.07271404263764,0.281918107564046,0.705568426232096,0,3.2483555163886,3.96939440687905,1.28340168425335,0.518868306734311,3.98333214988771,1.93386542406606,0,0,0.230948470252893,3.04503004720675,0,0.505800954373182,0,7.69153816567168,0.75486950222414,0,1.93928792643732,2.73144517349673,8.62442886841563,0,6.84468146530456,9.44417851962326,13.2127061774794,4.9498898931917,1.24691491432889,0,0.255880276661432,0.126383516525602,0.26819594188231,4.85932120705276,6.37716906297836,5.01758250535462,0,0,0,1.5255772716177,2.39376669323908
