Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 	 	761_12	 	 	247	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1741	 	 	 	 
Acaricomes phytoseiuli DSM 14247 (1120917.3)	334	 	 	 	 	1744_9, 1745_9	 	 	 	 	1173	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acetivibrio cellulolyticus CD2 (509191.4)	 	 	2458_3	 	 	 	 	3528_12	 	 	2263, 3241	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2647, 2657	 	 	 	 
Acetonema longum DSM 6540 (1009370.3)	3447	 	 	 	 	 	 	 	 	 	2358	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Achromobacter xylosoxidans A8 (762376.5)	 	 	51_5	 	 	 	 	 	 	 	 	 	 	 	1221, 1980, 42, 5749	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3730, 5677	 	 	 	 
Achromobacter xylosoxidans AXX-A (1003200.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2113, 3239	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	1873	 	 	 	 	 	 	 	 	 	650	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1730, 803	 	 	 	 
Acidaminococcus intestini RyC-MR95 (568816.4)	852	 	 	 	 	 	 	 	 	 	500	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	583	 	 	 	 
Acidaminococcus sp. D21 (563191.3)	289	 	 	 	 	 	 	 	 	 	368	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1876	 	 	 	 
Acidaminococcus sp. HPA0509 (1203555.3)	719	 	 	 	 	 	 	 	 	 	1165	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1080	 	 	 	 
Acidobacterium capsulatum ATCC 51196 (240015.3)	 	 	 	 	 	1295_9, 535_9	 	71_15, 73_12, 833_16	 	 	1648	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 1656-2 (696749.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1448, 3133	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2507, 2615	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2229, 9	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2209	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1324, 3081	 	 	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2296, 293	 	 	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1333, 2607	 	 	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	170, 1912, 638	 	 	 	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3732, 3768	 	 	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2712, 2885	 	 	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3427, 3522	 	 	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2214, 516	 	 	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	1554, 1555	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	473, 48, 552	 	 	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3474, 574	 	 	 	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1487, 2885	 	 	 	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3018, 314	 	 	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2394, 3580	 	 	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1178, 1560, 431	 	 	 	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1442, 1886, 843	 	 	 	 
