Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 	271_44, 272_43	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	667_18	 	1206_31	1175_38	 	1893_41	1203_42	 
Actinomyces odontolyticus F0309 (649742.3)	1107_18	 	1768_31	1801_38	 	52_41, 735_41	1771_42	1770_46
Actinomyces oris K20 (871541.3)	1949_18	 	1946_31	1991_38	296_40, 589_40	1447_41	 	1948_46
Actinomyces urogenitalis DSM 15434 (525246.3)	1767_18	 	 	1869_38	929_40	792_41	112_43, 113_44, 629_42	1766_46
Actinomyces viscosus C505 (562973.4)	1745_18	 	1748_31	1698_38	240_40, 611_40	2439_41	2300_42	1746_46
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	841_38	1438_40, 464_40	43_41	861_42	 
Mobiluncus curtisii ATCC 43063 (548479.6)	605_18	 	 	1642_38	1146_40	 	1557_42, 232_44, 233_43	 
Mobiluncus curtisii ATCC 51333 (887326.3)	148_18	 	 	1741_38	1283_40	 	1655_42, 584_44, 585_43	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	324_18	 	 	840_38	1296_40	 	225_43, 226_44, 925_42	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	348_18	 	432_31	446_38	1185_40	429_41	428_42	430_46
Corynebacterium amycolatum SK46 (553204.6)	1571_18	 	1196_31	1181_38	1470_40	1202_41	1203_42	1198_46
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	729_18	 	843_31	860_38	1710_40	840_41	839_42	841_46
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	905_18	 	993_31	1009_38	1413_40	990_41	989_42	991_46
Corynebacterium striatum ATCC 6940 (525268.3)	2045_18	 	2127_31	2141_38	1800_40	2124_41	2123_42	2125_46
Corynebacterium tuberculostearicum SK141 (553206.4)	1933_18	 	1307_31	1322_38	579_40	1304_41	1303_42	1305_46
Corynebacterium ulcerans 809 (945711.3)	1104_18	 	1253_31	1268_38	1751_40	1250_41	1249_42	1251_46
Corynebacterium ulcerans BR-AD22 (945712.3)	1109_18	 	1256_31	1271_38	1826_40	1253_41	1252_42	1254_46
Dietzia cinnamea P4 (910954.3)	1198_18	 	1126_31	1141_38	274_40	1123_41	1122_42	1124_46, 1777_46
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1649_18, 2836_18	 	1235_31	1194_38	2431_40	1238_41	1239_42	1237_46, 2837_46
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3224_18, 4332_18	 	3873_31	449_38	3650_40	3876_41	3877_42	3223_46, 3875_46
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1557_18, 2670_18	 	1174_31	1135_38	2285_40	1177_41	1178_42	1176_46, 2671_46
Mycobacterium abscessus (36809.5)	2457_18, 34_18	1080_19	2809_31	2856_38	1614_40	2806_41	2805_42	2807_46
Rhodococcus equi 103S (685727.3)	2420_18, 3_18	907_19	2208_31	2187_38	 	2211_41	2212_42	 
Rhodococcus equi ATCC 33707 (525370.3)	4135_18, 4906_18	2064_19	4113_31	1_38	 	4110_41	4109_42	 
Rhodococcus erythropolis PR4 (234621.6)	3605_18, 431_18	 	3542_31	3520_38	4343_40	3545_41	3546_42	3544_46
Rhodococcus erythropolis SK121 (596309.3)	2785_18, 5056_18	 	4994_31	4969_38	4606_40	4997_41	4998_42	4996_46
Brevibacterium linens BL2 (321955.4)	2375_18	 	 	129_38	 	88_41	87_42	 
Kytococcus sedentarius DSM 20547 (478801.5)	3_18	 	1254_31	1216_38	 	1258_41	1259_42	 
Kocuria rhizophila DC2201 (378753.5)	1457_18	 	1199_31	1151_38	 	1203_41	1204_42	50_46
Kocuria rhizophila P7-4 (1029824.3)	1882_18	 	257_31	153_38	94_40	261_41	262_42	1623_46, 259_46
Micrococcus luteus NCTC 2665 (465515.4)	903_18	 	 	1026_38	 	1084_41	1085_42	 
Micrococcus luteus SK58 (596312.3)	1519_18	 	 	969_38	1086_40	897_41	896_42	899_46
Rothia dentocariosa ATCC 17931 (762948.4)	2116_18	 	1841_31	2130_38	 	1844_41	1845_42	 
Rothia dentocariosa M567 (563032.4)	977_18	 	262_31	991_38	920_40	265_41	266_42	264_46
Rothia mucilaginosa ATCC 25296 (553201.3)	29_18	 	1547_31	16_38	645_40	1544_41	1543_42	1545_46
Rothia mucilaginosa DY-18 (680646.3)	685_18	 	952_31	672_38	742_40	949_41	948_42	950_46
Tropheryma whipplei TW08/27 (218496.4)	332_18	 	532_31	479_38	 	497_41	498_42	 
Tropheryma whipplei str. Twist (203267.6)	636_18	 	438_31	491_38	 	473_41	472_42	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3122_18, 935_18	 	1831_31	3493_38	4592_40	1826_41	1825_42, 729_42, 791_44, 792_43	1829_46
Propionibacterium acnes 266 (909952.3)	1677_18	 	1644_31	1247_38	1671_40	473_41	2396_42	1642_46
Propionibacterium acnes 6609 (1031709.3)	1722_18	 	1656_31	1267_38	1716_40	479_41	2439_42	 
Propionibacterium acnes ATCC 11828 (1091045.3)	197_18	 	170_31	1772_38	191_40, 910_40	1440_41	904_42	 
Propionibacterium acnes HL001PA1 (765105.8)	737_18	 	707_31	997_38	1693_40, 731_40	2224_41	1687_42	 
Propionibacterium acnes HL002PA1 (765115.3)	2098_18	 	2132_31	1702_38	2104_40	811_41	317_42	2134_46
Propionibacterium acnes HL002PA2 (765116.3)	290_18	 	257_31	1749_38	284_40	1044_41	540_42	255_46
Propionibacterium acnes HL002PA3 (765117.3)	330_18	 	363_31	1652_38	336_40	1323_41	819_42	365_46
Propionibacterium acnes HL005PA1 (765096.3)	1504_18	 	1467_31	1812_38	1498_40	206_41	743_42	1465_46
Propionibacterium acnes HL005PA2 (765097.3)	1906_18	 	1875_31	376_38	1900_40	969_41, 970_41	1482_42	1873_46
Propionibacterium acnes HL005PA4 (765099.3)	1925_18	 	1960_31	1133_38	1931_40	916_41	427_42	1962_46
Propionibacterium acnes HL007PA1 (765118.3)	1028_18	 	1064_31	2052_38	1034_40	647_41	115_42	1066_46
Propionibacterium acnes HL013PA1 (765069.3)	1861_18	 	1894_31	1018_38	1867_40	148_41	644_42	1896_46
Propionibacterium acnes HL013PA2 (765070.3)	837_18	 	870_31	1930_38	843_40	1152_41	1660_42	872_46
Propionibacterium acnes HL020PA1 (765065.3)	2203_18	 	2235_31	1528_38	2209_40	109_41	612_42	2237_46
Propionibacterium acnes HL025PA1 (765089.3)	1252_18	 	1184_31	1490_38	1246_40	111_41	623_42	1182_46
Propionibacterium acnes HL027PA1 (765111.3)	2440_18	 	2405_31	1293_38	2434_40	1934_41	1445_42	2403_46
Propionibacterium acnes HL027PA2 (765112.3)	1307_18	 	1339_31	367_38	1313_40	2293_41	1792_42	1341_46, 1342_46
Propionibacterium acnes HL030PA1 (765103.3)	1010_18	 	1077_31	2117_38	1016_40	1404_41	559_42	1079_46
Propionibacterium acnes HL036PA1 (765106.3)	20_18	 	53_31	1990_38	26_40	335_41	839_42	55_46
Propionibacterium acnes HL036PA2 (765107.3)	1165_18	 	1132_31	1658_38	1159_40	543_41	45_42	1130_46
Propionibacterium acnes HL037PA1 (765122.3)	1307_18	 	1338_31	2174_38	1313_40	340_41	840_42	1340_46
Propionibacterium acnes HL037PA2 (765123.3)	1000_18	 	1040_31	261_38	1006_40, 2612_40	2066_41	2620_42	1042_46
Propionibacterium acnes HL038PA1 (765085.3)	2288_18	 	2324_31	1853_38	2294_40	301_41	837_42	2326_46
Propionibacterium acnes HL043PA1 (765072.3)	1731_18	 	1768_31	1048_38	1737_40	1275_41	332_42	1770_46
Propionibacterium acnes HL043PA2 (765073.3)	2263_18	 	2226_31	1368_38	2257_40	408_41	1234_42	2224_46
Propionibacterium acnes HL044PA1 (765109.3)	176_18	 	136_31	2361_38	170_40, 810_40	1331_41	818_42	134_46
Propionibacterium acnes HL045PA1 (765068.3)	1382_18	 	1346_31	2064_38	1376_40	909_41	375_42	1344_46
Propionibacterium acnes HL046PA1 (765094.3)	2394_18	 	2360_31	1307_38	2388_40	969_41	474_42	2358_46
Propionibacterium acnes HL046PA2 (765095.3)	215_18	 	181_31	1316_38	209_40	2331_41	1829_42	179_46
Propionibacterium acnes HL050PA1 (765100.3)	223_18	 	188_31	1320_38	217_40	2308_41	1814_42	186_46
Propionibacterium acnes HL050PA2 (765101.3)	954_18	 	983_31	1662_38	143_40, 960_40	797_41	134_42	 
Propionibacterium acnes HL050PA3 (765102.3)	1042_18	 	1075_31	1952_38	1048_40	546_41	54_42	1077_46
Propionibacterium acnes HL053PA1 (765066.3)	1079_18	 	1116_31	2119_38	1085_40	694_41	109_42	1118_46
Propionibacterium acnes HL053PA2 (765067.3)	292_18	 	259_31	1581_38	286_40, 653_40	1154_41	647_42	257_46
Propionibacterium acnes HL056PA1 (765119.3)	745_18	 	11_31	1370_38	751_40	421_41	1996_42	13_46
Propionibacterium acnes HL059PA1 (765091.3)	306_18	 	341_31	899_38	312_40	1924_41	1430_42	343_46
