Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Sulfolobus solfataricus P2 (273057.1)	220_2	114	 	524_7, 525_6	 	2842	2187	2240, 2241	654	 	 	 	2579_25, 2580_24, 2581_23, 2582_26	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	702	1275_15	1200_7, 1201_6	 	1213	1222	1274_16, 1275_15	1273	1176_18	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	1264	1421_15	25_7, 26_6, 27_7, 28_6	 	1510	196	1420_16, 1421_15	1419	16_18	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	1595_3	 	 	1484_7, 1485_6	1483	1737	1789	1715_16, 1716_15	1481	1747_18	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	553_1	 	 	1487_6, 1488_7	1489	375	325	402_15, 403_16	1491	365_18	 	 	 	1745_27	 
Actinomyces oris K20 (871541.3)	879_3	 	 	1594_6, 1595_7	1596	876	1812	1715_16	1599	1603_18	 	 	 	1706_27	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1510_3	1588	 	1583_6, 1584_7	1585	1434	1627	2084_15, 2085_16	1586	1587_18	 	 	 	2074_27	 
Actinomyces viscosus C505 (562973.4)	653_1, 688_3	 	 	2159_7, 2160_6	2158	698	1912	2026_16, 2027_15	2155	2151_18	 	 	 	2039_27	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	422_18, 423_18	 	 	 	1136_27, 1137_27, 1138_27	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	1431	 	1423_6, 1424_7	1425	1142	1435	1153_15, 1154_16	1427	1428_18	 	 	361_22, 362_23, 363_25, 364_24	995_27	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	1543	 	1534_6, 1535_7	1536	1279	1547	1292_15, 1293_16	1538	1539_18	 	 	712_22, 713_23, 714_25, 715_24	1126_27	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	1090	 	1098_7, 1099_6	1097	1300	1086	1287_16, 1288_15	1095	1094_18	 	 	100_22, 97_24, 98_25, 99_23	1456_27	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	71_3	 	 	1939_6, 1940_7	1941	1937	512	1993_15, 1994_16	1945	4_18	 	 	 	2209_27	 
Corynebacterium amycolatum SK46 (553204.6)	872_1	 	 	197_7, 198_6	196	202	2110	163_16, 164_15	1342, 189	1379_18	 	 	 	1397_27	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	1933_3	 	 	2356_6, 2357_7	2358	2354	2472	2394_15, 2395_16	2365	1867_18	 	 	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1291_3	 	 	1273_7, 1274_6	1272	1278	191	1246_16, 1247_15	1269	726_18	 	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	542_3	 	 	2418_6, 2419_7	2420	2416	1533	2175_16, 2176_15	2196	481_18	 	 	 	906_27	 
Corynebacterium tuberculostearicum SK141 (553206.4)	1592_3	 	 	885_6, 886_6, 887_7	888	883	476	909_15, 910_16	892	1661_18	 	 	 	25_27	 
Corynebacterium ulcerans 809 (945711.3)	1538_3	 	 	976_6, 977_7	978	973	226	1006_15, 1007_16	984	1597_18	 	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1542_3	 	 	984_6, 985_7	986	981	219	1013_15, 1014_16	992	1603_18	 	 	 	 	 
Dietzia cinnamea P4 (910954.3)	719_1	 	 	480_7, 481_6	479	1603, 483	1768	2877_15, 2878_16	469	764_18	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1328_1	 	 	3217_7, 3218_6	3216	3861	328	2398_15, 2399_16, 3205_16, 3206_15	3212	2068_18	 	532	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3976_1	 	 	2835_6, 2836_7	2837	1975	1261	2847_15, 2848_16, 3679_16, 3680_15	2841	181_18	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1264_1	 	 	3037_7, 3038_6	3036	3631	312	2255_15, 2256_16, 3025_16, 3026_15	3032	1950_18	 	502	 	 	 
Mycobacterium abscessus (36809.5)	1238_1, 2735_1	 	 	3383_7, 3384_6	3382	4618, 4713	366	3351_16, 3352_15	3361	1984_18	 	 	2664_24, 2665_25, 2666_26, 2667_23, 2668_22	 	 
Rhodococcus equi 103S (685727.3)	2748_3	 	 	3144_7, 3145_6	3143	3148, 4305	4146, 429	3132_16, 3133_15	2519, 3140	2835_18, 3971_18	 	784	3715_24, 3716_25, 3717_23_26, 3717_23_26, 3846_24, 3847_25, 3848_26, 3849_23, 3850_22	 	 
Rhodococcus equi ATCC 33707 (525370.3)	1835_3	 	 	3302_6, 3303_7	3304	3299, 4561	4549, 772	3314_15, 3315_16	1655, 3307	1325_18, 4313_18	 	2263	1451_22, 1452_23, 1453_26, 1454_25, 1455_24	 	 
Rhodococcus erythropolis PR4 (234621.6)	2468_1, 4043_1, 4807_1	 	 	2903_6, 2904_7	2905	2901, 5613	1533, 852	2914_15, 2915_16	2907, 3824	4128_18	4551, 6572	 	2046_22, 2047_23, 2048_26, 2049_25, 2050_24, 2179_22, 2180_25, 2181_24, 3830_23, 3831_26, 3832_25, 3833_24, 3834_22, 5035_22, 5036_26, 5037_23, 5038_24, 5039_25	 	 
