Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Sulfolobus solfataricus P2 (273057.1)	 	 	135	134	139	1392, 909	792_21	 	213_25, 580_26	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	369_19_1, 369_19_1	369_19_1	363	839_7	1341	 	1202_21	1060_23	1126_25, 187_26	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	531_19_1, 531_19_1	531_19_1	532	534_7	36	 	30_21	1394_23	1194_25, 599_26	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	 	1495_23	1493_26, 543_25	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	436_17	 	655_23	1282_25, 657_26	 	 
Actinomyces oris K20 (871541.3)	782_19	782_19	783_5	781_7	1304_14, 784_8	 	1995_21	786_23	788_26	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1138_19, 625_1	1138_19	1139_5	1137_7	1140_8	 	1169_21	1142_23	1144_26, 92_25	 	 
Actinomyces viscosus C505 (562973.4)	12_19	12_19	11_5	13_7	10_8	 	1693_21	8_23	1116_25, 6_26	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	937_8	 	 	1154_23	1155_26, 1157_25	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	26_19	26_19	25_5	28_7	24_8	 	1829_21	22_23	21_26, 708_25	 	1832
Mobiluncus curtisii ATCC 51333 (887326.3)	402_19	402_19	401_5	404_7	400_8	 	371_21	398_23	241_25, 397_26	 	374
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	618_19	618_19	619_5	616_7	620_8	 	649_21	622_23	1749_25, 623_26	 	646
Corynebacterium ammoniagenes DSM 20306 (649754.3)	2045_19	2045_19	2046_5	2044_7	2047_8, 2288_14	 	2048_21	2050_23	1342_25, 2051_26	 	 
Corynebacterium amycolatum SK46 (553204.6)	1943_19	1943_19	1942_5	1944_7	1941_8	 	1940_21	1938_23	1835_25, 1937_26	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	934_19	934_19	935_5	933_7	512_14, 936_8	 	26_21	2443_23	2447_26, 628_25	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	863_19	863_19	864_5	862_7	865_8	 	866_21	868_23	378_25, 869_26	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	895_19	895_19	896_5	894_7	294_14, 734_14, 897_8	 	898_21	900_23	1971_25, 901_26	 	1427
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	 	952_8	 	953_21	955_23	2161_25, 956_26	 	1674
Corynebacterium ulcerans 809 (945711.3)	1049_19	1049_19	1050_5	1048_7	1051_8, 2241_14	 	1052_21	1054_23	1055_26, 1889_25	 	788
Corynebacterium ulcerans BR-AD22 (945712.3)	1053_19	1053_19	1054_5	1052_7	1055_8, 2405_14	 	1056_21	1058_23	1059_26, 1984_25	 	794
Dietzia cinnamea P4 (910954.3)	2122_19_1, 2122_19_1	2122_19_1	430_5	432_7	429_8	 	428_21	426_23	3038_25, 425_26	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1436_19, 3028_1	1436_19	1437_5	1435_7	1094_14, 1438_8	 	1439_21	1441_23	1442_26, 647_25	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3026_1, 4081_19	4081_19	4082_5	4080_7	4083_8, 586_14	 	4084_21	4086_23	3580_25, 4087_26	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1362_19, 2858_1	1362_19	1363_5	1361_7	1041_14, 1364_8	 	1365_21	1367_23	1368_26, 611_25	 	 
Mycobacterium abscessus (36809.5)	2380_19_1, 2380_19_1, 3124_1	2380_19_1	2381_5	2379_7	2322_8, 2382_8, 4285_14, 859_14	 	2383_21	2385_23	2386_26, 727_25	 	 
Rhodococcus equi 103S (685727.3)	2487_19_1, 2487_19_1	2487_19_1	2486	2488_7	1778, 2485	4346_17, 74_17	2484_21	2482_23	2481_26, 786_25	 	 
Rhodococcus equi ATCC 33707 (525370.3)	1687_19_1, 1687_19_1	1687_19_1	1688	1686_7	1689_8, 962_14	4836_17	1690_21	1692_23	1693_26, 2261_25	 	 
