Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Sulfolobus solfataricus P2 (273057.1)	796	795_2	2069, 2804	 	 	 	 	 	 	 	1224, 1777	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	811	808_2	810	809	 	 	 	1426_12	 	 	 	1345_17	 	1344	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	105	108_2	106	107	 	 	 	888_12	 	 	 	1512_17	 	1511	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	487	485_2	1462	1464	127	128_10	1928	 	 	 	 	1443_17	 	1810	35_21	 	 
Actinomyces odontolyticus F0309 (649742.3)	1309	1308_2	1508	1506	175	176_9	19	 	 	 	 	1526_17	 	295	83_21	 	 
Actinomyces oris K20 (871541.3)	297	 	710	 	 	 	 	 	 	 	 	1705_17	848	492	1251_21	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	291	292_2	1067, 1824, 1997	1065	1570	1567_9	890	 	 	 	 	2073_17	1537	1334	1697_21	 	 
Actinomyces viscosus C505 (562973.4)	1004, 1006	1003_2	90	92	567	578_9	 	 	 	 	 	2040_17	736	350	2173_21	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	626	625_2	 	 	927	 	 	 	1011	 	1354	 	 	 	 	1261_23_24, 1261_23_24	 
Mobiluncus curtisii ATCC 51333 (887326.3)	168	167_2	 	 	1059	 	 	 	1142	 	1463	 	 	 	 	1384_23_24, 1384_23_24, 1385_23_24, 1385_23_24, 1386_25	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	303	304_2	 	 	1527	 	 	 	1439	 	1166	 	 	 	 	1243_23_24, 1243_23_24	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	516	517_2	1781, 192	190	1811	1809_9	1813	 	 	 	2014, 2219, 99	218_17	 	1865	2225_22	 	 
Corynebacterium amycolatum SK46 (553204.6)	2132	2133_2	76	78	309, 311	313_9	307	 	1346	 	332, 826	55_17	1297	258	1216_21	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2469	2464_2	1014	1016	2206, 2208	2202_9	2209	 	 	 	38, 525	978_17	 	2260	806_21	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	193	194_2	1158	1160	655	653_9	657	 	 	 	828	1135_17	 	1328	1394_21	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	1529	1528_2	663	661	2274	2270_9	2276	 	 	 	249, 828	690_17	 	2336, 461	1616_22, 819_22	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	479	480_2	1470	1472	752	745_9	754	 	 	 	157, 7	1448_17	 	1006, 810	1797_22, 2047_22	 	 
Corynebacterium ulcerans 809 (945711.3)	239	241_2	1415, 1783, 2237	1417	859, 861	855_9	862	 	 	 	1508	1393_17	 	916	1716_22	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	233	235_2	1419, 1856, 2401	1421	865, 867	861_9	868	 	 	 	1513	1397_17	 	924	1791_22	 	 
Dietzia cinnamea P4 (910954.3)	2802	2800_2	1390, 1669, 2177	1673	2645	2644_9	2646	 	 	 	212	412_17	 	1079	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	327	326_2	1115, 2540, 3034	3049	2739	2771_9	2735	 	 	 	2886	3009_17	 	1032, 2620	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	1260	1259_2	1060, 3020	3005	3317	3287_9	3324	 	 	 	 	3045_17	 	1134, 641	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	311	310_2	1059, 2392, 2864	2878	2578	2606_9	2574	 	 	 	4429	2840_17	 	2469, 986	 	 	 
Mycobacterium abscessus (36809.5)	372	373_2	1084, 3136	3147	1373	1366_9	1374	 	 	 	4815	3094_17	 	1193, 1471	 	 	 
Rhodococcus equi 103S (685727.3)	441	442_2	1942	1934	1432	1421_10	1434	 	 	 	 	1982_17	 	1742, 3062	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	746	745_2	239, 2410	247	3842	3853_9	3840	 	 	 	1037, 4650	199_17	 	3384, 998	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	855	856_2	3221, 3992, 5001	3181	4710	4718_9	4709	 	 	 	 	3256_17	 	4394, 4456	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	3659	3660_2	1945, 2435, 6090, 6421	2476	5274	5298_9	5275	 	 	 	3914, 5471	2402_17	 	1682, 5418	 	 	 
Brevibacterium linens BL2 (321955.4)	1623, 1794	1795_2	1140, 1258, 1478, 2444	1484	413	411_10	414	 	 	 	 	3543_17	 	2143, 2511	2232_21, 2323_22, 3207_22	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	1892, 2465	1893_2	73	74	 	 	 	72_12	 	 	 	 	 	71	 	 	 
Kocuria rhizophila DC2201 (378753.5)	271	555_2	1207, 1587	1589	803	799_10	804	 	 	 	 	1575_17	 	933	198_21	 	 
Kocuria rhizophila P7-4 (1029824.3)	1019	809_2	2065, 265	2063	576	579_9	574	 	 	 	684	2076_17	 	463	954_21, 958_21	 	 
Micrococcus luteus NCTC 2665 (465515.4)	240	1688_2	678	675	1484	1487_10	1483	 	 	 	 	690_17	1842	764	77_21	 	 
Micrococcus luteus SK58 (596312.3)	1398	505_2	1331	738	678	681_9	677	 	 	 	 	1812_17	 	1739	2307_21	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	1186	371_2	1534	1532	133	139_10	132	 	 	 	 	1547_17	 	1667	152_21	 	 
Rothia dentocariosa M567 (563032.4)	2136	1381_2	1843	1841	1158	1165_9	1157	 	 	 	 	1856_17	 	89	1178_21	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	1685	830_2	412	414	1001	994_9	1002	 	 	 	 	397_17	 	300	984_21	 	 
Rothia mucilaginosa DY-18 (680646.3)	1534	351_2	1265	1267	521	515_9	523	 	 	 	 	1253_17	 	1139	505_21	 	 
Tropheryma whipplei TW08/27 (218496.4)	881	880_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	890	889_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	2609	1345_2, 2608_2	3147, 4235	3140	4657	4664_9	4656	 	1127	 	 	3204_17	 	2407, 3975, 5016	 	 	 
Propionibacterium acnes 266 (909952.3)	2210	339_2	680	1547	668	666_9	674	 	 	 	 	1063_17	 	1307	625_21	 	 
Propionibacterium acnes 6609 (1031709.3)	2256	337_2	688	1561	676	674_10	682	 	 	 	 	1081_17	 	1327	633_21	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	718	1291_2	2322, 573	69	2334	2336_9	2328	 	1094	 	 	1955_17	 	1708	2368_21	 	 
Propionibacterium acnes HL001PA1 (765105.8)	157	2076_2	13, 1556	604	1568	1570_9	1562	 	1882	 	 	1182_17	 	935	1602_21	 	 
Propionibacterium acnes HL002PA1 (765115.3)	240	679_2	1130	2226	1118	1116_10	1124	 	501	 	 	1515_17	 	1766	1072_21	 	 
Propionibacterium acnes HL002PA2 (765116.3)	469	909_2	2317	162	2328	2330_9	2322	 	 	 	 	1936_17	 	1688	2373_21	 	 
Propionibacterium acnes HL002PA3 (765117.3)	129	1190_2	2219	458	2231	2233_9	2225	 	 	 	 	1838_17	 	1591	2274_21	 	 
Propionibacterium acnes HL005PA1 (765096.3)	1218	339_2	1074, 2374	1374	2386	2388_10	2380	 	 	 	 	1995_17	 	1751	2430_21	 	 
Propionibacterium acnes HL005PA2 (765097.3)	242	1104_2	1603	1780	1615	1617_9	1609	 	 	 	 	558_17	 	317	1659_21	 	 
Propionibacterium acnes HL005PA4 (765099.3)	219	783_2	1699	2054	1711	1713_10	1705	 	605	 	 	1318_17	 	1069	1747_21	 	 
Propionibacterium acnes HL007PA1 (765118.3)	970	512_2	1492, 771	1158	1480	1478_10	1486	 	 	 	 	1868_17	 	2113	1437_21	 	 
Propionibacterium acnes HL013PA1 (765069.3)	11	282_2	1582	1988	1594	1596_10	1588	 	460	 	 	1202_17	 	954	1638_21	 	 
Propionibacterium acnes HL013PA2 (765070.3)	182	1286_2	718	962	730	732_9	724	 	 	 	 	2112_17	 	1870	776_21	 	 
Propionibacterium acnes HL020PA1 (765065.3)	917	241_2	2087	2330	2099	2101_9	2093	 	 	 	 	1712_17	 	1466	2143_21	 	 
Propionibacterium acnes HL025PA1 (765089.3)	760	244_2	2058, 2191	1091	2072	2074_9	2064	 	 	 	 	1673_17	 	1430	2117_21	 	 
Propionibacterium acnes HL027PA1 (765111.3)	475	1800_2	2125	2312	2137	2139_10	2131	 	1623	 	 	1107_17	 	1358	2181_21	 	 
Propionibacterium acnes HL027PA2 (765112.3)	1128	2161_2	926	1435	938	940_9	932	 	 	 	 	552_17	 	308	981_21	 	 
Propionibacterium acnes HL030PA1 (765103.3)	245	1548_2	763	1175	751	749_10	757	 	 	 	 	2301_17	 	2057	708_21	 	 
Propionibacterium acnes HL036PA1 (765106.3)	1096	469_2	1428	147	1416	1414_9	1422	 	 	 	 	1807_17	 	2050	1373_21	 	 
Propionibacterium acnes HL036PA2 (765107.3)	679	413_2	2222	1039	2234	2236_9	2228	 	 	 	 	1843_17	 	1598	2277_21	 	 
Propionibacterium acnes HL037PA1 (765122.3)	1111	472_2	1610	1433	1598	1596_10	1604	 	658	 	 	1990_17	 	2235	1555_21	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1395	2208_2	881	1144	891	893_9	887	 	2438	 	 	458_17	 	184	925_21	 	 
Propionibacterium acnes HL038PA1 (765085.3)	2113	435_2	1294, 2254	2417	1282	1280_10	1288	 	 	 	 	1669_17	 	1914	1238_21	 	 
Propionibacterium acnes HL043PA1 (765072.3)	157	1408_2	14, 2277	1861	2289	2291_10	2283	 	 	 	 	866_17	 	1109	2333_21	 	 
Propionibacterium acnes HL043PA2 (765073.3)	94	273_2	1928, 801	2133	1940	1942_10	1934	 	 	 	 	1552_17	 	1308	1983_21	 	 
Propionibacterium acnes HL044PA1 (765109.3)	1009	1185_2	467	1692	457	455_9	461	 	1621	 	 	2029_17	 	2439	423_21	 	 
Propionibacterium acnes HL045PA1 (765068.3)	68	775_2	1503, 210	1255	1491	1489_10	1497	 	 	 	 	1882_17	 	2125	1445_21	 	 
Propionibacterium acnes HL046PA1 (765094.3)	401	836_2	1878	2265	1890	1892_10	1884	 	658	 	 	1492_17	 	1242	1934_21	 	 
Propionibacterium acnes HL046PA2 (765095.3)	1590	2200_2	1447, 754	86	742	740_9	748	 	 	 	 	1134_17	 	1376	700_21	 	 
Propionibacterium acnes HL050PA1 (765100.3)	619	2177_2	751	93	739	737_10	745	 	2000	 	 	1135_17	 	1384	694_21	 	 
Propionibacterium acnes HL050PA2 (765101.3)	662	518_2	2218, 2321	1085	2230	2232_9	2224	 	326	 	 	1845_17	 	1599	2266_21	 	 
