Organism	SerA	SerC	SerB	SerP	SerHS
Sulfolobus solfataricus P2 (273057.1)	 	821_3	855_4	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	1481_5, 658_5	699_4	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	642_5	1049_4	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	336_2	1288_4, 525_4	 	584_13
Actinomyces odontolyticus F0309 (649742.3)	1535	870_2	1171_4, 1687_4	 	1388_13
Actinomyces oris K20 (871541.3)	157	156_2	1821_4	 	176_13
Actinomyces urogenitalis DSM 15434 (525246.3)	195, 208	207_2	1641_4, 327_4	 	101_13
Actinomyces viscosus C505 (562973.4)	1245	1244_2	1900_4, 928_4	 	1278_13
Arcanobacterium haemolyticum DSM 20595 (644284.3)	630	 	 	 	575_13
Mobiluncus curtisii ATCC 43063 (548479.6)	1510, 609	477_2	1527_4, 536_4	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	152, 1608	19_2	1625_4, 78_4	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	320, 968	459_2	396_4, 950_4	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1207, 1208, 1944	776_2	1127_4, 563_4, 888_4	2267_11, 326_11	1072_13
Corynebacterium amycolatum SK46 (553204.6)	194	2043_2	1518_4, 1670_4, 648_4	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	1733, 2364	2057_2	1066_4, 1281_4, 1341_4	731_11	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1271	459_2	1447_4	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	2197, 805	1382_2	1869_4, 1934_4, 405_4	274_11, 286_12, 303_11, 375_12	 
Corynebacterium tuberculostearicum SK141 (553206.4)	1786, 1787, 891	1261_2	502_4, 566_4, 637_4	1414_12, 153_11	 
Corynebacterium ulcerans 809 (945711.3)	1726, 983	672_2	1811_4, 277_4, 332_4	436_12	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1801, 991	675_2	1908_4, 274_4, 332_4	433_12	 
Dietzia cinnamea P4 (910954.3)	474, 846	1245_2	1833_4, 2844_4, 756_4	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	135, 3213, 375, 4466	865_2	2448_4, 3275_4, 400_9, 4251_4, 440_4	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	1379, 2266, 2840, 4142	803_2	1181_4, 1586_4, 2779_4, 3634_4	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	129, 3033, 352, 4194	823_2	2299_4, 3090_4, 376_9, 3997_4, 414_4	 	 
Mycobacterium abscessus (36809.5)	3362, 4412, 4489	964_2	2498_4, 3451_4, 4069_4, 465_4	 	3937_13
Rhodococcus equi 103S (685727.3)	 	985_2	1677_4, 3770_4, 533_4	 	2968_13
Rhodococcus equi ATCC 33707 (525370.3)	2487, 3306, 562, 573, 593	1991_2	1065_4, 1538_4, 2646_4, 3262_4	 	4486_13
Rhodococcus erythropolis PR4 (234621.6)	2906, 4312, 733	5168_2	2114_4, 2125_4, 2861_4, 946_4	 	5024_13
