Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 	 	 	 	 	 	 	 	1417, 1419	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	842_1, 843_2, 844_4, 845_3, 846_3	841_11	 	 	 	 	 	501_43	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	1897_3, 1898_4, 1899_2, 1900_1	1901_11	 	 	 	 	 	1329_43	 	 	 	 	 	 	 	 
Actinomyces oris K20 (871541.3)	1148_3, 1149_4, 1150_2, 1151_1	1152_9	 	 	 	 	 	477_43	 	 	 	 	 	695	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1297_3, 1298_4, 1299_2, 1300_1	1301_9	 	 	 	 	 	1311_43	 	 	 	 	 	 	 	 
Actinomyces viscosus C505 (562973.4)	381_1, 382_2, 383_4, 384_3	380_9	 	 	 	 	 	369_43	 	 	 	 	 	107	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	 	 	1437_56	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1390_1, 1391_2, 1392_4, 1393_3	1389_9	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	1128_3, 1129_4, 1130_2, 1131_1	1132_9	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1876_3, 1877_4, 1878_2, 1879_1	1880_11	 	 	 	 	 	 	 	 	 	 	 	 	2126_87	 
Corynebacterium amycolatum SK46 (553204.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	976_87	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	 	 	 	 	 	 	115_43	 	 	 	 	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	2346_3, 2347_4, 2348_2, 2349_1	2350_9	 	 	 	 	 	 	 	 	 	 	 	 	1046_87	 
