Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Sulfolobus solfataricus P2 (273057.1)	796_1	795	595	 	 	2152	 	 	 	 	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	811_1	808	150	 	170, 480	 	169	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	105_1	108	469	 	1459, 656	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	487_1	485	1652	 	937	 	 	 	882	 	 	1597_18	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	1309_1	1308	476	 	1151	 	1152	395_10	1862	 	 	551_18	 	 	1911_25, 1912_24, 1913_23	 
Actinomyces oris K20 (871541.3)	297_1	 	496	 	1270	49	 	 	 	 	 	742_18	 	1671	370_25, 371_24, 372_23	 
Actinomyces urogenitalis DSM 15434 (525246.3)	291_1	292	1337	 	597	16	 	15_12, 1969_10	 	 	 	375_18	 	 	253_25, 254_24, 255_23	 
Actinomyces viscosus C505 (562973.4)	1004_1, 1006_1	1003	347	 	2218, 2603	1131	2220	1130_12	 	 	 	50_18	 	2083	1067_25, 1068_24, 1069_23	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	991_23, 992_24, 994_25	 
Mobiluncus curtisii ATCC 43063 (548479.6)	626_1	625	368	 	411	 	408	325_10	 	 	 	410_18	 	 	338_23, 573_25, 613_23, 614_24	 
Mobiluncus curtisii ATCC 51333 (887326.3)	168_1	167	719	 	808	 	805	677_10	 	 	 	807_18	 	 	119_25, 155_23, 156_24, 689_23	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	303_1	304	93	 	51	 	54	135_10	 	 	 	52_18	 	 	123_23, 315_24, 316_23, 355_25	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	516_1	517	1866	 	2423	 	2422	2208_11	1180	 	 	836_18	 	 	1010_23, 1455_24, 1456_23, 1457_25, 2430_25, 2431_23, 2432_24	 
Corynebacterium amycolatum SK46 (553204.6)	2132_1	2133	257	 	470	 	469	1051_10	 	 	1249	744_18	 	 	476_25, 477_23, 478_24	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2469_1	2464	2264	 	1534	 	1537	1772_11	 	 	 	1536_18	 	 	1230_24, 1231_23, 1232_25, 1233_25, 1239_24, 1240_23, 1241_25, 1244_25, 1522_24, 1523_23, 1524_25	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	193_1	194	1327	 	1618	 	1617	1372_12	855	854	947	1783_18	 	 	338_24, 339_23, 340_25	 
Corynebacterium striatum ATCC 6940 (525268.3)	1529_1	1528	2337	 	142	 	143	908_11	1815	 	 	1694_18	 	239	126_24, 127_23, 128_25	 
Corynebacterium tuberculostearicum SK141 (553206.4)	479_1	480	811	 	263	 	262	26_12	591	 	 	1995_18	 	 	275_25, 276_23, 277_24	 
Corynebacterium ulcerans 809 (945711.3)	239_1	241	917	 	519	 	526	 	 	 	1154	 	 	 	505_24, 506_23, 507_25, 508_25	 
Corynebacterium ulcerans BR-AD22 (945712.3)	233_1	235	925	 	519	 	526	 	 	 	1157	 	 	 	505_24, 506_23, 507_25, 508_25	 
Dietzia cinnamea P4 (910954.3)	2802_1	2800	1080	 	946	 	945	 	 	 	1408	2097_18, 869_18	 	 	2341_23	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	327_1	326	2619	 	3676	 	3675, 4123	 	1077, 3234	1075	1969	2827_18	 	2425	4400_23	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	1260_1	1259	1133	 	2305	 	1716, 2306	 	2820, 601	603	89	3233_18	 	3656	1446_23	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	311_1	310	2468	 	3458	 	3457, 3873	 	1026, 3053	1024	1859	2661_18	 	2279	4129_23	 
Mycobacterium abscessus (36809.5)	372_1	373	1472	 	3756	 	3755, 4321	 	1235, 3345	1233	2168	4696_18	 	 	2849_24, 2850_23, 2851_25, 3942_23	 
Rhodococcus equi 103S (685727.3)	441_1	442	1743	966	3446, 4285	 	 	 	1284	1282	2309	3834_18, 908_18	 	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	746_1	745	997	2009	2995, 4581	 	1361	 	3990	3991	4244	1467_18, 2063_18	 	 	873_23, 874_25	 
