Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Sulfolobus solfataricus P2 (273057.1)	278_2	 	277	273_10_24	 	219_13	273_10_24	1058_21, 537_20, 811_21	273_10_24	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	814_2	 	1444	813_10	 	1030_13	624_24	1484_21, 593_21_17, 593_21_17, 636_21_20, 636_21_20, 767_21_17, 767_21_17	624_24	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	102_2	 	559	103_10	 	1364_13	1036_24	1272_20, 354_21, 492_21_16, 492_21_16	1036_24	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	1147_1, 1149_1	1832_6	1146	1699_10	 	566_13	 	1065_21, 539_17	1197_22	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	1432_1, 1434_1	272_6	1435_9	422_10	 	1369_13	 	1278_17, 835_21	1777_22	 	 	 	 
Actinomyces oris K20 (871541.3)	2018_1, 2019_1	 	2020_9	601_10	 	 	 	1342_21, 2121_21, 23_17, 752_20	1936_22	 	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1892_1, 1893_1	1315, 1316	1894_9	954_10	 	74_13	 	1119_20, 686_21, 86_17	1751_22	 	 	 	 
Actinomyces viscosus C505 (562973.4)	1668_1	366	1667_9	227_10	 	1072_13	 	1098_17, 1561_21, 2321_21, 40_20	1757_22	 	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	829_1	325	828_9	 	 	 	 	1367_21	 	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1660_1	383	1661_9	1375_10	 	 	 	1111_21, 1781_20	1566_22	 	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1759_1	733	1760_9	1485_10	 	 	 	1251_21, 327_20	1664_22	 	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	822_1	79	821_9	1146_10	 	 	 	1329_21, 698_20	916_22	 	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	312_1	1251_6	311_9	754_10	 	1539_13	 	1007_17, 1478_21, 2281_21, 83_20	490_22	 	 	 	 
Corynebacterium amycolatum SK46 (553204.6)	1768_1	385	1767_9	444_10	 	1017_13	 	1307_17, 1962_21, 807_21, 843_20	1301_22	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	884_1	1606	885_9	2091_10	 	1214_13	 	1635_21, 1947_20, 40_17, 439_21	36_22	509_26	 	509_26	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1032_1	1536	1033_9	485_10	 	129_13	 	202_17, 280_21, 815_20	207_22	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	864_1	334_6	863_9	1347_10	 	1165_13	 	1020_21, 1584_17, 283_21, 302_17, 554_20	1567_22	296_26	 	296_26	 
Corynebacterium tuberculostearicum SK141 (553206.4)	1347_1	118_6	1348_9	1111_10	 	426_13	 	1579_20, 1867_21, 2012_17	683_22	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	1292_1	602_6	1293_9	713_10	 	2148_13	 	1523_20, 179_17, 2085_21	198_22	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1295_1	605_6	1296_9	721_10	 	2303_13	 	1528_20, 173_17, 2241_21	190_22	 	 	 	 
Dietzia cinnamea P4 (910954.3)	2397_1	 	2398_9	47_10	 	2377_13	 	1218_21, 1267_21, 1849_21, 2419_20, 2939_17, 3094_21	777_22	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1150_1	3542	1149_9	932_10	 	202_13	 	1363_20, 266_17, 4483_17	293_22	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	538_1	2440	539_9	738_10	 	202_13	 	1362_17, 3470_21, 4007_20, 516_17	2006_22	 	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1092_1	3334_6	1091_9	892_10	 	193_13	 	1294_20, 252_17, 4211_17	277_22	 	 	 	 
Mycobacterium abscessus (36809.5)	2889_1	3616	2890_9	1090_10	 	165_13	 	2208_17, 231_21, 254_17, 2713_20, 3450_21, 3651_21, 4374_21, 850_21, 883_21	296_22	 	 	 	 
Rhodococcus equi 103S (685727.3)	2152_1	3319_6	2151	1130_10, 3970_10	 	172_13	 	262_17, 2674_20, 3415_21, 4204_17	296_22	 	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	36_1	3128	37_9	1326_10, 3766_10	 	4967_13	 	1905_20, 2500_17, 3025_21, 4662_17, 4780_21	3524_22	 	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	3493_1	2684_6	3492_9	4983_10	 	619_13	 	1507_21, 1509_21, 1907_21, 2581_21, 3963_20, 5690_17, 742_21, 748_17, 974_21	764_22	 	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	4941_1	1013_6	4940_9	6439_10	 	5493_13	 	1114_21, 1391_21, 2642_20, 4045_17, 4489_21, 5854_21, 5856_21, 625_17	4029_22	 	 	 	 
Brevibacterium linens BL2 (321955.4)	148_1	3849	149_9	2635_10	 	544_13	 	1696_17, 2664_21, 3537_20, 659_17	1572_22	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	1191_1	 	1190	2240_22_10_13	 	2240_22_10_13	 	2029_21, 220_21_16, 220_21_16, 915_20	2240_22_10_13	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	1325_1	912_6	1326	854_10	 	1949_13	 	1014_21, 1569_20, 329_17, 570_21	1515_22	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	375_1	484_6	376_9	526_10	 	1718_13	 	2083_20, 2172_16_21, 2172_16_21, 2240_17, 31_21, 794_21	2141_22	 	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	1208_1	732_6	1209	1416_10	 	91_13	 	1672_21, 1945_17, 699_20	1345_22	 	 	 	 
Micrococcus luteus SK58 (596312.3)	1583_1	1767_6	1584_9	563_10	 	2323_13	 	1268_21, 1801_20, 2081_21, 2112_17, 521_21	1869_22	 	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	1954_1	32_6	1955	70_10	 	738_13	 	347_21, 616_17	1594_22	 	 	 	 
Rothia dentocariosa M567 (563032.4)	376_1	1063_6	377_9	1098_10	 	685_13	 	1361_21, 518_17	15_22	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	1193_1	1087_6	1194_9	1051_10	 	205_13	 	841_21	230_22	 	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	849_1	611_6	848_9	573_10	 	95_13	 	185_17, 363_21	1210_22	 	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	465_1	253	464_9	968_10	 	 	 	891_21	64_22	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	505_1	718	506_9	977_10	 	 	 	900_21	64_22	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3463_1	4191	3462_9	5575_10	 	854_13	 	1162_17, 1254_21, 1419_21, 2491_20_17, 2491_20_17, 3933_21, 3948_21, 4937_21, 4950_20, 5423_21, 700_21	4663_22	 	 	 	 
Propionibacterium acnes 266 (909952.3)	1230_1	1317_6	1229_9	1830_10	 	 	 	1200_20, 38_17, 908_21, 909_21	1257_22	 	 	 	 
Propionibacterium acnes 6609 (1031709.3)	1250_1	1338	1249	1866_10	 	 	 	1220_20, 36_17, 930_21	1277_22	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1790_1	1698_6	1791_9	345_10	 	 	 	1820_20, 984_17, 985_17	1762_22	 	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	1015_1	925_6	1016_9	309_10	 	 	 	1045_20, 1770_17, 1771_17	987_22	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	1685_1	1776_6	1684	1956_10	 	 	 	1358_21, 1359_21, 1654_20, 391_17	1712_22	 	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1766_1	1678	1767_9	1367_10	 	 	 	1796_20, 2089_21, 2090_21, 612_17	1738_22	 	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	1669_1	1581	1670_9	653_10	 	 	 	1699_20, 1991_21, 1992_21, 892_17	1642_22	 	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	1829_1	1741_6	1830_9	1008_10	 	 	 	1859_20, 2149_21, 2150_21, 670_17	1801_22, 1802_22	 	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	393_1	307	394_9	2262_10	 	 	 	1407_17, 423_20, 712_21, 713_21	366_22	 	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	1150_1	1059_6	1151	2284_10	 	 	 	1181_20, 1471_21, 1472_21, 496_17	1123_22	 	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	2035_1	2123_6	2034_9	2195_10	 	 	 	1713_21, 1714_21, 187_17, 2005_20	2062_22, 2063_22	 	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	1034_1	944_6	1035	2273_10	 	 	 	1065_20, 1357_21, 1358_21, 571_17	1008_22	 	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	1947_1	1860	1948_9	396_10	 	 	 	1583_17, 1977_20, 2264_21, 2265_21	1920_22	 	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	1545_1	1456_6	1546_9	1141_10	 	 	 	1575_20, 1862_21, 1863_21, 538_17	1518_22	 	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	1507_1	1420_6	1508	2335_10	 	 	 	1537_20, 1832_21, 1833_21, 1834_21, 550_17	1480_22	 	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	1276_1	1368_6	1275	129_10	 	 	 	1245_20, 1514_17, 949_21, 950_21	1303_22	 	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	384_1	298_6	385_9	1637_10	 	 	 	1868_17, 414_20, 701_21, 702_21	357_22	 	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	2134_1	2047	2135	1759_10	 	 	 	2164_20, 2454_21, 486_17	2107_22	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	1973_1	2060	1972_9	2273_10	 	 	 	1652_21, 1653_21, 1943_20, 767_17	2000_22	 	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	1675_1	1588	1676_9	1295_10	 	 	 	116_17, 1705_20, 1997_21, 1998_21	1648_22	 	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	2157_1	2245_6	2156_9	109_10	 	1035_13	 	1835_21, 1836_21, 2126_20, 769_17	2184_22, 2185_22	 	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	277_1	172_7	278_9	1791_10	 	1312_13	 	2552_17, 2553_17, 309_20	249_22	 	 	 	 
Propionibacterium acnes HL038PA1 (765085.3)	1836_1	1924_6	1835_9	1048_10	 	 	 	1516_21, 1517_21, 1806_20, 764_17	1863_22, 1864_22	 	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	1031_1	1119_6	1030_9	2080_10	 	 	 	1001_20, 406_17, 712_21, 713_21	1058_22, 1059_22	 	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	1385_1	1298_6	1386_9	954_10	 	 	 	1159_17, 1415_20, 1705_21, 1706_21	1357_22, 1358_22	 	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	2345_1	2450	2344_9	2740_10	 	926_13	 	2313_20, 750_17, 751_17	2373_22	 	 	 	 
Propionibacterium acnes HL045PA1 (765068.3)	2047_1	2135_6	2046_9	2375_10	 	 	 	1729_21, 1730_21, 2017_20, 449_17	2074_22, 2075_22	 	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	1324_1	1232	1325	2045_10	 	53_13	 	1355_20, 1648_21, 1649_21, 547_17	1297_22	 	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	1299_1	1386	1298_9	1677_10	 	 	 	1269_20, 1900_17, 980_21, 981_21	1326_22	 	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	1303_1	1394_6	1302	1657_10	 	 	 	1272_20, 1888_17, 977_21, 978_21	1330_22	 	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	1681_1	1589	1682_9	1383_10	 	 	 	1711_20, 217_17, 218_17	1652_22	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	1935_1	2026_6	1934	2284_10	 	 	 	127_17, 1609_21, 1610_21, 1904_20	1962_22	 	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	2102_1	2190_6	2101_9	2313_10	 	 	 	1783_21, 1784_21, 184_17, 2072_20	2129_22, 2130_22	 	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	1598_1	1510_6	1599	2312_10	 	 	 	1628_20, 1921_21, 1922_21, 719_17	1571_22	 	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1353_1	1441_6	1352_9	1804_10	 	 	 	1031_21, 1032_21, 1323_20, 2071_17	1380_22, 1381_22	 	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	916_1	825_6	917	566_10	 	 	 	1236_21, 1237_21, 1502_17, 947_20	889_22	 	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	1844_1	1935	1843	2288_10	 	 	 	1522_21, 1523_21, 1813_20, 852_17	1871_22	 	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	2004_1	2092_6	2003_9	2304_10	 	 	 	1681_21, 1682_21, 1974_20, 496_17	2032_22	 	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	2200_1	2287_6	2199	1447_10	 	 	 	1877_21, 1878_21, 2169_20, 766_17	2227_22	 	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	894_1	985_6	893	2241_10	 	 	 	1678_17, 574_21, 575_21, 863_20	921_22	 	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	1576_1	1663_6	1575_9	159_10	 	 	 	1255_21, 1256_21, 1546_20, 1939_17	1603_22	 	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	1902_1	1814_6	1903_9	768_10	 	 	 	1932_20, 2222_21, 2223_21, 583_17	1875_22	 	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	1486_1	1574_6	1485_9	437_10	 	 	 	1166_21, 1167_21, 1456_20, 2344_17	1513_22, 1514_22	 	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	1627_1	1541_6	1628	2402_10	 	996_13	 	1657_20, 1951_21, 1952_21, 801_17	1599_22, 1600_22	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	1805_1	1718_6	1806	1296_10	 	942_13	 	1835_20, 2130_21, 2131_21, 743_17	1778_22	 	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	502_1	411	503_9	2348_10	 	 	 	1632_17, 1633_17, 532_20	474_22	 	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	2213_1	2301_6	2212_9	1679_10	 	 	 	1889_21, 1890_21, 2183_20, 261_17	2240_22, 2241_22	 	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	1837_1	1927	1836	2299_10	 	 	 	1511_21, 1512_21, 1806_20, 662_17	1863_22	 	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	1914_1	2001_6	1913	2371_10	 	1203_13	 	1589_21, 1590_21, 1884_20, 751_17	1941_22	 	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	1428_1	1515_6	1427_9	58_10	 	 	 	1104_21, 1105_21, 1398_20, 1791_17	1455_22	 	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	1809_1	1718_6	1810	1579_10	 	 	 	1840_20, 2135_21, 2136_21, 427_17	1782_22	 	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	1637_1	1724_6	1636	2249_10	 	741_13	 	1316_21, 1317_21, 1607_20, 544_17	1664_22	 	 	 	 
