Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Abiotrophia defectiva ATCC 49176 (592010.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acaricomes phytoseiuli DSM 14247 (1120917.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acaryochloris marina MBIC11017 (329726.14)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Achromobacter xylosoxidans A8 (762376.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Achromobacter xylosoxidans AXX-A (1003200.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acidaminococcus fermentans DSM 20731 (591001.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acidaminococcus intestini RyC-MR95 (568816.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acidaminococcus sp. D21 (563191.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 1656-2 (696749.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 3990 (886888.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 48055 (1293574.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii 53264 (1216295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AA-014 (903937.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1536-8 (1221244.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1582-8 (1221245.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1594-8 (1221247.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1595-8 (1221248.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1649-8 (1221249.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1650-8 (1221250.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_1766_8 (1221251.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-45 (1221256.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-52 (1221257.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-69 (1221258.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_515-8 (1221265.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_908-12 (1221266.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_908-13 (1221267.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_909-05 (1221271.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
