Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 	1637_13	1637_13	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	1009_13	1009_13	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	129_11, 129_11	 	1227_13	1227_13	 
Actinomyces oris K20 (871541.3)	 	 	 	 	 	 	1585_13	1585_13	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	 	 	 	1172_13	1172_13	 
Actinomyces viscosus C505 (562973.4)	 	 	 	 	 	 	527_13	527_13	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	292_13	292_13	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	 	 	 	 	 	954_13	954_13	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	 	 	 	1086_13	1086_13	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	 	 	 	 	 	1499_13	1499_13	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	 	 	 	 	 	 	1577_13	1577_13	 
Corynebacterium amycolatum SK46 (553204.6)	 	 	 	 	 	 	610_13	610_13	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	 	 	 	 	 	1381_13	1381_13	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	 	 	 	 	 	1941_13	1941_13	 
Corynebacterium striatum ATCC 6940 (525268.3)	 	 	 	 	 	 	451_13	451_13	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	 	 	 	989_13	989_13	 
Corynebacterium ulcerans 809 (945711.3)	 	 	 	 	 	 	366_13	366_13	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	 	 	 	 	 	365_13	365_13	 
Dietzia cinnamea P4 (910954.3)	 	 	 	 	 	 	1931_13	1931_13	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	 	1728_6	 	 	 	4317_13, 4477_13	4317_13, 4477_13	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	 	4423_6	 	 	 	1368_13, 1523_13	1368_13, 1523_13	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	 	1637_6	 	 	 	4055_13, 4205_13	4055_13, 4205_13	 
Mycobacterium abscessus (36809.5)	 	 	 	 	 	 	4003_13	4003_13	 
Rhodococcus equi 103S (685727.3)	 	 	 	 	 	 	3699_13	3699_13	 
Rhodococcus equi ATCC 33707 (525370.3)	 	 	 	 	 	 	2750_13	2750_13	 
Rhodococcus erythropolis PR4 (234621.6)	 	 	 	 	 	 	2193_13, 741_13	2193_13, 741_13	 
Rhodococcus erythropolis SK121 (596309.3)	 	 	 	 	 	 	2255_13	2255_13	 
Brevibacterium linens BL2 (321955.4)	 	 	 	 	 	 	1416_13	1416_13	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	 	 	 	2061_13	2061_13	 
Kocuria rhizophila DC2201 (378753.5)	 	 	 	 	 	 	1422_13	1422_13	 
Kocuria rhizophila P7-4 (1029824.3)	 	 	 	 	 	 	1849_13	1849_13	 
Micrococcus luteus NCTC 2665 (465515.4)	 	 	 	 	 	 	2137_13	2137_13	 
Micrococcus luteus SK58 (596312.3)	 	 	 	 	 	 	791_13	791_13	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	 	 	 	402_13	402_13	 
Rothia dentocariosa M567 (563032.4)	 	 	 	 	 	 	1412_13	1412_13	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	 	 	 	805_13	805_13	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	 	 	 	327_13	327_13	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 	 	67_13	67_13	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 	 	67_13	67_13	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	 	 	 	 	 	 	4450_13	4450_13	 
Propionibacterium acnes 266 (909952.3)	 	 	 	 	 	 	2002_13	2002_13	 
Propionibacterium acnes 6609 (1031709.3)	 	 	 	 	 	 	2041_13	2041_13	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	 	 	 	 	 	517_13	517_13	 
Propionibacterium acnes HL001PA1 (765105.8)	 	 	 	 	 	 	480_13	480_13	 
Propionibacterium acnes HL002PA1 (765115.3)	 	 	 	 	 	 	48_13	48_13	 
Propionibacterium acnes HL002PA2 (765116.3)	 	 	 	 	 	 	47_13	47_13	 
Propionibacterium acnes HL002PA3 (765117.3)	 	 	 	 	 	 	2362_13	2362_13	 
Propionibacterium acnes HL005PA1 (765096.3)	 	 	 	 	 	 	835_13	835_13	 
Propionibacterium acnes HL005PA2 (765097.3)	 	 	 	 	 	 	1986_13	1986_13	 
Propionibacterium acnes HL005PA4 (765099.3)	 	 	 	 	 	 	149_13	149_13	 
Propionibacterium acnes HL007PA1 (765118.3)	 	 	 	 	 	 	1379_13	1379_13	 
Propionibacterium acnes HL013PA1 (765069.3)	 	 	 	 	 	 	2184_13	2184_13	 
Propionibacterium acnes HL013PA2 (765070.3)	 	 	 	 	 	 	588_13	588_13	 
Propionibacterium acnes HL020PA1 (765065.3)	 	 	 	 	 	 	1269_13	1269_13	 
Propionibacterium acnes HL025PA1 (765089.3)	 	 	 	 	 	 	965_13	965_13	 
Propionibacterium acnes HL027PA1 (765111.3)	 	 	 	 	 	 	760_13	760_13	 
Propionibacterium acnes HL027PA2 (765112.3)	 	 	 	 	 	 	1055_13	1055_13	 
Propionibacterium acnes HL030PA1 (765103.3)	 	 	 	 	 	 	34_13	34_13	 
Propionibacterium acnes HL036PA1 (765106.3)	 	 	 	 	 	 	995_13	995_13	 
Propionibacterium acnes HL036PA2 (765107.3)	 	 	 	 	 	 	2350_13	2350_13	 
Propionibacterium acnes HL037PA1 (765122.3)	 	 	 	 	 	 	158_13	158_13	 
Propionibacterium acnes HL037PA2 (765123.3)	 	 	 	 	 	 	1612_13	1612_13	 
Propionibacterium acnes HL038PA1 (765085.3)	 	 	 	 	 	 	111_13	111_13	 
Propionibacterium acnes HL043PA1 (765072.3)	 	 	 	 	 	 	1677_13	1677_13	 
Propionibacterium acnes HL043PA2 (765073.3)	 	 	 	 	 	 	2449_13	2449_13	 
Propionibacterium acnes HL044PA1 (765109.3)	 	 	 	 	 	 	2226_13	2226_13	 
Propionibacterium acnes HL045PA1 (765068.3)	 	 	 	 	 	 	1116_13	1116_13	 
