Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	1313	 	 	336	 	 	 	 	1275_13, 1276_14	 	 
Actinomyces odontolyticus F0309 (649742.3)	1661	1764	1535_4	870	 	 	 	 	1699_14, 1700_13	 	 
Actinomyces oris K20 (871541.3)	2077	1701, 1928	157_4	156	 	 	 	90_12	2057_13, 2059_14	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1950	1742	195_4, 208_4	207	 	 	 	232_12	1930_13, 1931_14	 	 
Actinomyces viscosus C505 (562973.4)	1608	1766, 2044	1245_4	1244	 	 	 	1169_12	1626_14, 1628_13	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	779	865	630_4	 	 	 	 	 	1120_13, 1121_14	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1703	1550	1510_4, 609_4	477	 	 	 	 	1690_13, 1691_14	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1804	1648	152_4, 1608_4	19	 	 	 	 	1789_13, 1790_14	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	775	932	320_4, 968_4	459	 	 	 	 	791_14, 792_13	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	261	436	1207_4, 1208_4, 1944_4	776	 	 	 	2187_11	489_14	 	 
Corynebacterium amycolatum SK46 (553204.6)	 	1191	194_4	2043	 	 	 	616_11	1743_14, 1745_13	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	937	849	1733_4, 2364_4	2057	 	 	 	154_12	915_13, 918_14	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	999	1271_4	459	 	 	 	 	1066_13, 1067_14	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	773	2131	2197_4, 805_4	1382	 	 	 	934_11	151_14, 152_13	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	1399	1311	1786_4, 1787_4, 891_4	1261	 	 	 	46_11	258_13, 259_14	 	 
Corynebacterium ulcerans 809 (945711.3)	1347	1258	1726_4, 983_4	672	 	 	 	1672_11	195_14, 196_13	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1352	1261	1801_4, 991_4	675	 	 	 	1680_11	186_14, 187_13	 	 
Dietzia cinnamea P4 (910954.3)	692	1130	474_4, 846_4	1245	 	 	1246	 	116_14, 118_13	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	2969	1225	135_4, 3213_4, 375_4, 4466_4	865	 	 	3232, 870	 	2876_13, 2878_14	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3085	3863	1379_4, 2266_4, 2840_4, 4142_4	803	 	 	2822, 798	 	3181_14, 3183_13	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	2803	1164	129_4, 3033_4, 352_4, 4194_4	823	 	 	3051, 828	 	2708_13, 2710_14	 	 
Mycobacterium abscessus (36809.5)	3040	2825	3362_4, 4412_4, 4489_4	964	 	 	3893, 969	 	2937_13, 2939_14	 	 
Rhodococcus equi 103S (685727.3)	2046	 	 	985	 	 	1223, 987	 	1541_14, 2079_14, 2081_13	 	 
Rhodococcus equi ATCC 33707 (525370.3)	134	 	2487_4, 3306_4, 562_4, 573_4, 593_4	1991	 	 	1989, 3674	 	1212_14, 96_13, 98_14	 	 
Rhodococcus erythropolis PR4 (234621.6)	3332	3530	2906_4, 4312_4, 733_4	5168	970_7	 	428, 4878, 5166	3741_12	3408_14, 3414_13	 	 
Rhodococcus erythropolis SK121 (596309.3)	2852	4980	4051_4, 4636_4, 4878_4, 791_4	130	1721_7	 	128, 6325	6255_12	3519_14, 3525_13	 	 
Brevibacterium linens BL2 (321955.4)	2880	 	1216_4, 211_4	598	3239_7	 	2300, 599	 	3489_14, 3490_13	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	1496	 	 	 	 	 	2323, 551	 	1464_14	 	 
Kocuria rhizophila DC2201 (378753.5)	1402	 	 	1833	 	 	 	 	108_13, 109_14	 	 
Kocuria rhizophila P7-4 (1029824.3)	1828	253	1615_4, 2_4, 2203_4	1381	 	 	 	1032_12	862_13, 863_14	 	 
Micrococcus luteus NCTC 2665 (465515.4)	1244	 	 	389	 	 	 	 	1927_13, 1928_14	 	 
Micrococcus luteus SK58 (596312.3)	1620	904	1100_4, 252_4	877	 	 	 	1438_12	2131_14, 2132_13	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	1737	 	 	 	 	 	 	 	1073_13, 1074_14	 	 
Rothia dentocariosa M567 (563032.4)	158	251	2110_4	 	 	 	 	 	2030_13, 2031_14	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	599	1558	 	 	 	 	 	 	1494_13, 1495_14	 	 
Rothia mucilaginosa DY-18 (680646.3)	1077	969	 	 	 	 	 	 	1624_14, 1625_13	 	 
Tropheryma whipplei TW08/27 (218496.4)	341	 	 	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	628	 	 	 	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3401	1836	159_4, 188_4	5871	 	 	5873	623_11	3322_14, 3323_13	 	 
Propionibacterium acnes 266 (909952.3)	1108	859	1321_4, 2323_4	507	 	 	 	 	1006_14, 1007_13	 	 
Propionibacterium acnes 6609 (1031709.3)	1125	 	1342_4, 2368_4, 397_4	512	316_7	 	 	 	1023_14, 1024_13	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1909	 	1355_4, 1695_4, 837_4, 914_4	1477	1268_7	 	 	1743_11, 283_12	2012_13, 2013_14	 	 
Propionibacterium acnes HL001PA1 (765105.8)	1134	 	1697_4, 2139_4, 2409_4, 922_4	2259	2056_7	 	 	250_12	1241_13, 1242_14	 	 
Propionibacterium acnes HL002PA1 (765115.3)	1560	1309	1780_4, 938_4	845	 	 	 	2016_12	1457_14, 1458_13	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1892	2138	1170_4, 1674_4	1078	 	 	 	 	1992_13, 1993_14	 	 
Propionibacterium acnes HL002PA3 (765117.3)	1793	2040	1577_4	1357	 	 	 	 	1894_13, 1895_14	 	 
Propionibacterium acnes HL005PA1 (765096.3)	1950	2198	1737_4, 51_4	172	 	 	 	 	2053_13, 2054_14	 	 
Propionibacterium acnes HL005PA2 (765097.3)	514	761	303_4	935	 	 	 	 	616_13, 617_14	 	 
Propionibacterium acnes HL005PA4 (765099.3)	1274	1521	1055_4, 86_4	950	 	 	 	2345_12	1376_13, 1377_14	 	 
Propionibacterium acnes HL007PA1 (765118.3)	1914	1666	2127_4, 52_4	682	 	 	 	 	1809_14, 1810_13	 	 
Propionibacterium acnes HL013PA1 (765069.3)	1158	1405	709_4, 940_4	115	 	 	 	2119_12	1260_13, 1261_14	 	 
Propionibacterium acnes HL013PA2 (765070.3)	2068	2315	1856_4, 87_4	1119	 	 	 	 	2168_13, 2169_14	 	 
Propionibacterium acnes HL020PA1 (765065.3)	1667	1912	1452_4, 675_4	76	 	 	 	1501_11	1767_13, 1768_14	 	 
Propionibacterium acnes HL025PA1 (765089.3)	1630	 	1416_4, 687_4	82	265_7	 	 	 	1731_13, 1732_14	 	 
Propionibacterium acnes HL027PA1 (765111.3)	1153	901	1372_4	1969	 	 	 	307_12	1047_14, 1048_13	 	 
Propionibacterium acnes HL027PA2 (765112.3)	507	750	294_4	2326	 	 	 	 	608_13, 609_14	 	 
Propionibacterium acnes HL030PA1 (765103.3)	2257	 	1487_4, 2043_4, 620_4	1371	1568_7	 	 	1697_12	2359_13, 2360_14	 	 
Propionibacterium acnes HL036PA1 (765106.3)	1852	1605	2064_4	302	 	 	 	 	1749_14, 1750_13	 	 
Propionibacterium acnes HL036PA2 (765107.3)	1798	2046	1584_4	576	 	 	 	 	1900_13, 1901_14	 	 
Propionibacterium acnes HL037PA1 (765122.3)	2033	1785	2249_4, 999_4	307	 	 	 	935_12	1932_14, 1933_13	 	 
Propionibacterium acnes HL037PA2 (765123.3)	401	679	1271_4, 167_4, 2151_4	2031	2229_7	 	 	 	524_13, 525_14	 	 
Propionibacterium acnes HL038PA1 (765085.3)	1714	1469	1928_4, 899_4	267	 	 	 	 	1612_14, 1613_13	 	 
Propionibacterium acnes HL043PA1 (765072.3)	910	666	1123_4, 269_4	1241	 	 	 	 	808_14, 809_13	 	 
