Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	180	1966	 	 	584_7
Actinomyces odontolyticus F0309 (649742.3)	669	980	 	 	1388_7
Actinomyces oris K20 (871541.3)	 	 	 	 	176_7
Actinomyces urogenitalis DSM 15434 (525246.3)	863	 	99	100_4	101_7
Actinomyces viscosus C505 (562973.4)	2520	 	 	 	1278_7
Arcanobacterium haemolyticum DSM 20595 (644284.3)	1247	 	1592	1591_4	575_7
Mobiluncus curtisii ATCC 43063 (548479.6)	169	 	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	523	 	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	500	 	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	648	1095	 	 	1072_7
Corynebacterium amycolatum SK46 (553204.6)	1105	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2161	 	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	590	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	1409	2448	 	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	700	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	808	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	814	 	 	 	 
Dietzia cinnamea P4 (910954.3)	2059	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	2867	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3192	 	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	2699	 	 	 	 
Mycobacterium abscessus (36809.5)	1275	 	 	 	3937_7
Rhodococcus equi 103S (685727.3)	1305	 	 	 	2968_7
Rhodococcus equi ATCC 33707 (525370.3)	3969	 	 	 	4486_7
Rhodococcus erythropolis PR4 (234621.6)	4447, 4793	6192	 	 	5024_7
Rhodococcus erythropolis SK121 (596309.3)	1692, 5370	3300	 	3918_4	6399_7
Brevibacterium linens BL2 (321955.4)	3417	3601, 820	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	1762	408	962	952_4	 
Kocuria rhizophila DC2201 (378753.5)	1803	 	 	 	393_7
Kocuria rhizophila P7-4 (1029824.3)	1350	 	 	 	1133_7
Micrococcus luteus NCTC 2665 (465515.4)	439	78	 	 	 
Micrococcus luteus SK58 (596312.3)	1375	2309	 	 	1135_7
Rothia dentocariosa ATCC 17931 (762948.4)	1317	 	 	 	1300_7, 1301_7, 1523_7
Rothia dentocariosa M567 (563032.4)	1622	 	 	 	1596_7, 1597_7, 1833_7
Rothia mucilaginosa ATCC 25296 (553201.3)	1408	 	 	 	1422_7, 1423_7, 420_7
Rothia mucilaginosa DY-18 (680646.3)	1430	 	 	 	1272_7, 1443_7, 1444_7
Tropheryma whipplei TW08/27 (218496.4)	801	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	812	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	394, 4997	5968	 	 	 
Propionibacterium acnes 266 (909952.3)	387	 	417	418_4	1693_7, 2342_7, 2362_7, 2363_7
Propionibacterium acnes 6609 (1031709.3)	387	 	421	422_4	1737_7, 2386_7, 2403_7, 2404_7
Propionibacterium acnes ATCC 11828 (1091045.3)	1344	 	1381	1382_4	214_7, 854_7, 871_7, 872_7
Propionibacterium acnes HL001PA1 (765105.8)	2128	 	2164	2165_4	1652_7, 1653_7, 530_7, 754_7
Propionibacterium acnes HL002PA1 (765115.3)	728	 	757	758_4	1030_7, 2082_7, 278_7, 279_7, 280_7
Propionibacterium acnes HL002PA2 (765116.3)	958	 	987	988_4	1485_7, 307_7, 506_7, 507_7
Propionibacterium acnes HL002PA3 (765117.3)	1238	 	1267	1268_4	314_7, 765_7, 783_7, 784_7
Propionibacterium acnes HL005PA1 (765096.3)	291	 	263	262_4	1521_7, 778_7, 779_7, 890_7
Propionibacterium acnes HL005PA2 (765097.3)	1056	 	1027	1026_4	1518_7, 1519_7, 1922_7, 1942_7
Propionibacterium acnes HL005PA4 (765099.3)	833	 	862	863_4	183_7, 1909_7, 389_7, 390_7
Propionibacterium acnes HL007PA1 (765118.3)	561	 	590	591_4	1011_7, 1391_7, 80_7, 81_7
Propionibacterium acnes HL013PA1 (765069.3)	233	 	204	203_4	1834_7, 1844_7, 681_7, 682_7
Propionibacterium acnes HL013PA2 (765070.3)	1237	 	1208	1207_4	1695_7, 1696_7, 532_7, 821_7
Propionibacterium acnes HL020PA1 (765065.3)	193	 	164	163_4	2187_7, 646_7, 647_7, 949_7
Propionibacterium acnes HL025PA1 (765089.3)	194	 	166	165_4	1267_7, 658_7, 659_7, 999_7
Propionibacterium acnes HL027PA1 (765111.3)	1849	 	1879	1880_4	1411_7, 1412_7, 220_7, 2457_7
Propionibacterium acnes HL027PA2 (765112.3)	2209	 	2238	2239_4	1291_7, 1519_7, 1755_7, 1756_7
Propionibacterium acnes HL030PA1 (765103.3)	1498	 	1461	1460_4	1251_7, 592_7, 593_7, 994_7
Propionibacterium acnes HL036PA1 (765106.3)	421	 	391	390_4	1327_7, 4_7, 874_7, 875_7
Propionibacterium acnes HL036PA2 (765107.3)	461	 	489	490_4	10_7, 11_7, 1181_7, 1425_7
Propionibacterium acnes HL037PA1 (765122.3)	423	 	396	395_4	1290_7, 2395_7, 876_7, 877_7
Propionibacterium acnes HL037PA2 (765123.3)	2159	 	2126	2125_4	2653_7, 2654_7, 2655_7, 2679_7, 983_7
Propionibacterium acnes HL038PA1 (765085.3)	386	 	358	357_4	1189_7, 2271_7, 871_7, 872_7
Propionibacterium acnes HL043PA1 (765072.3)	1359	 	1332	1331_4	1161_7, 1714_7, 297_7, 298_7
Propionibacterium acnes HL043PA2 (765073.3)	322	 	350	351_4	1269_7, 1270_7, 2280_7, 2395_7
Propionibacterium acnes HL044PA1 (765109.3)	1235	 	1268	1269_4	1175_7, 192_7, 850_7, 851_7, 852_7
Propionibacterium acnes HL045PA1 (765068.3)	824	 	852	853_4	1155_7, 1399_7, 339_7, 340_7
Propionibacterium acnes HL046PA1 (765094.3)	885	 	913	914_4	186_7, 2411_7, 437_7, 438_7
Propionibacterium acnes HL046PA2 (765095.3)	2248	 	2278	2279_4	1794_7, 1795_7, 231_7, 558_7
Propionibacterium acnes HL050PA1 (765100.3)	2226	 	2255	2256_4	1778_7, 1779_7, 240_7, 646_7
Propionibacterium acnes HL050PA2 (765101.3)	570	 	907	906_4	101_7, 102_7, 583_7, 937_7
Propionibacterium acnes HL050PA3 (765102.3)	462	 	490	491_4	1025_7, 18_7, 19_7, 8_7
Propionibacterium acnes HL053PA1 (765066.3)	778	 	750	749_4	1063_7, 1636_7, 74_7, 75_7
Propionibacterium acnes HL053PA2 (765067.3)	1065	 	1095	1096_4	308_7, 577_7, 587_7, 589_7
Propionibacterium acnes HL056PA1 (765119.3)	508	 	479	478_4	1525_7, 1526_7, 1711_7, 728_7
Propionibacterium acnes HL059PA1 (765091.3)	1840	 	1869	1870_4	1392_7, 1393_7, 285_7, 289_7
Propionibacterium acnes HL059PA2 (765092.3)	515	 	486	485_4	3_7, 960_7, 961_7, 974_7
Propionibacterium acnes HL063PA1 (765113.3)	839	 	870	871_4	1354_7, 274_7, 385_7, 386_7
Propionibacterium acnes HL063PA2 (765114.3)	1115	 	1145	1146_4	415_7, 515_7, 633_7, 634_7
Propionibacterium acnes HL067PA1 (765110.3)	1342	 	1311	1310_4	1091_7, 1786_7, 1787_7, 1801_7
Propionibacterium acnes HL072PA1 (765074.3)	2284	 	2313	2314_4	1106_7, 1828_7, 1829_7, 674_7
Propionibacterium acnes HL072PA2 (765075.3)	237	 	204	203_4	1553_7, 696_7, 697_7, 740_7
Propionibacterium acnes HL074PA1 (765076.3)	827	 	856	857_4	2448_7, 2449_7, 6_7, 610_7
Propionibacterium acnes HL078PA1 (765071.3)	453	 	424	423_4	1055_7, 1306_7, 2339_7, 934_7, 936_7
Propionibacterium acnes HL082PA1 (765120.3)	395	 	365	364_4	1220_7, 191_7, 877_7, 878_7
Propionibacterium acnes HL082PA2 (765121.3)	1989	 	2024	2025_4	1135_7, 1136_7, 1516_7, 1517_7, 2193_7
Propionibacterium acnes HL083PA1 (765087.3)	1049	 	1077	1078_4	156_7, 157_7, 1741_7, 423_7
Propionibacterium acnes HL083PA2 (765088.3)	995	 	1024	1025_4	2089_7, 415_7, 554_7, 555_7
