Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	2940	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	 	 	 	955_16	 
Actinomyces oris K20 (871541.3)	 	 	 	 	 	 	 	 	949_16	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	 	 	 	 	 	1555_16	 
Actinomyces viscosus C505 (562973.4)	 	 	 	 	 	 	 	 	592_16	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	 	 	 	 	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	 	 	 	 	 	 	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	 	 	 	 	 	 	813	 	202_17, 203_18, 204_16	 
Corynebacterium amycolatum SK46 (553204.6)	544	 	 	 	1589	1588	854	 	65_16, 66_18, 67_17	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2338	 	 	2337	706	707	148	 	1001_16, 1002_18, 1003_17	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	 	 	1551	888	889	811	 	1148_16, 1149_18	 
Corynebacterium striatum ATCC 6940 (525268.3)	723	 	 	724	1665	1666	1651	 	674_17, 675_18, 676_16	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	 	615	614	1226	 	1458_16, 1459_18, 1460_17	 
Corynebacterium ulcerans 809 (945711.3)	1328	 	 	1329	1071	1069, 1072	1003, 97	 	1402_16, 1403_18, 1404_17	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1332	 	 	1334	1077	1075, 1078	1010, 93	 	1406_16, 1407_18, 1408_17	 
Dietzia cinnamea P4 (910954.3)	 	 	2461_5	1002	1003	1001	1004	2269_14, 2597_14, 2662_14, 3073_14, 3098_14, 993_14	2406_17, 2407_18, 2408_16	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	 	 	1342	1341	1343	1352	2174_14, 2321_14, 2687_14, 2745_14, 770_14	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	 	 	3988	3987	3989	3997	1_14, 1012_14, 1033_14, 1039_14, 1050_14, 1509_14, 1771_14, 2_14, 2042_14, 2275_14, 290_14, 305_14, 308_14, 323_14, 3246_14, 3311_14, 3365_14, 3373_14, 3380_14, 3674_14, 3754_14, 3766_14, 4234_14, 4244_14, 4380_14, 4558_14, 850_14, 874_14, 899_14, 926_14, 95_14, 967_14	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	 	 	1275	1274	1276	1283	2051_14, 2183_14, 2532_14, 2584_14, 3818_14, 730_14	 	 
Mycobacterium abscessus (36809.5)	 	 	 	2731	2732	2730	2728	1250_14, 133_14, 1974_14, 2086_14, 3376_14, 3895_14, 4034_14, 4530_14, 4531_14, 954_14	 	 
Rhodococcus equi 103S (685727.3)	 	 	 	2721	2722	2720	2703	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	 	 	 	1862	1861	1863	1880	2060_14, 2257_14, 2364_14, 3422_14, 477_14	225_17	 
Rhodococcus erythropolis PR4 (234621.6)	 	 	 	4020	3275, 4021	4019	4003	1218_14, 1224_14, 1238_14, 1381_14, 1607_14, 386_14, 3880_14, 414_14	3234_18, 3235_16	 
Rhodococcus erythropolis SK121 (596309.3)	 	 	 	1973	1974	1972	1956	2673_14, 2682_14, 4173_14, 5649_14, 5728_14, 5948_14	2421_16, 2422_18	 
