Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Sulfolobus solfataricus P2 (273057.1)	 	323_5	 	 	 	2651_14	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	262_1	263_5	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	434_1	433_5	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	1603_1	1602_5	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	526_1	527_5	 	 	 	 	395_18	 
Actinomyces oris K20 (871541.3)	592_1	593_5	620_10, 795_9	 	621_12	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	78_4, 932_1	933_5	 	 	 	 	1969_18	 
Actinomyces viscosus C505 (562973.4)	237_1	1572_5, 236_5	202_10, 203_9	 	201_12	200_16	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	465_1	466_5	 	 	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1011_3, 1441_1, 612_4	1442_5	 	 	 	 	325_18	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1142_3, 1554_1	1555_5	 	 	 	 	677_18	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	1080_1, 1439_3, 317_4	1079_5	 	 	 	 	135_18	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1301_1	1300_5	1473_9, 1474_10	 	1475_12	1232_16	 	 
Corynebacterium amycolatum SK46 (553204.6)	1346_3, 2102_1	2101_5	777_9, 778_10	 	779_12	780_16	1051_18	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	670_1	671_5	451_10, 452_9	 	450_12	449_16	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1841_4, 434_1	435_5, 854_8	1747_9, 1748_10	 	1749_12	1750_16	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	2008_1	2009_5, 463_5	1027_10, 1028_9	 	1026_12	315_16	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	2195_1	1008_5, 2196_5	1857_9, 1858_10	 	1859_12	140_16	 	 
Corynebacterium ulcerans 809 (945711.3)	1852_1	1851_5, 689_5	 	 	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1948_1	1947_5, 692_5	 	 	 	 	 	 
Dietzia cinnamea P4 (910954.3)	1515_1, 2173_1	1514_5	460_10, 461_9	 	261_12	260_16	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	2256_1, 3266_4	1075_8, 2255_5, 414_7	2636_9, 2637_10	2636_9, 2761	2158_12, 2349_12	2157_16, 2233_15, 2348_16	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	2788_4, 405_1	1207_7, 404_5, 603_8	3409_10, 3410_9	3296, 3410_9	310_12, 3727_12	309_16, 3728_16, 3729_16	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	2124_1, 3082_4	1024_8, 2123_5, 390_7	2484_9, 2485_10	2484_9, 2599	2036_12, 2209_12	2035_16, 2104_15, 2208_16	 	 
Mycobacterium abscessus (36809.5)	3441_4	1233_8, 1310_5, 1517_7, 440_7, 489_5	1584_9, 1585_10, 1704_9, 1705_10, 4259_10, 4260_9	1584_9, 4260_9	1706_12	1707_16, 2482_15, 2528_15, 2534_15	 	 
Rhodococcus equi 103S (685727.3)	3174_4, 4131_1	1282_8, 4132_5	1731_10, 1732_9, 224_10, 225_9, 2936_10, 2937_9	1732_9, 225_9	 	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	3272_4, 4535_1	1570_7, 3991_8, 4534_5	1009_9, 1010_10, 2542_9, 2543_10, 4517_9, 4518_10	1009_9, 2542_9	4519_12	4520_16	 	 
Rhodococcus erythropolis PR4 (234621.6)	1554_1, 2871_4	1553_5, 2162_7, 4809_8	2140_10, 2141_9, 4270_10, 4271_9, 4469_9, 4470_10, 556_9, 557_10	2141_9, 4469_9, 556_9	4269_12	2492_15, 4268_16, 6250_15	 	 
Rhodococcus erythropolis SK121 (596309.3)	4844_4, 5895_1	2284_7, 3497_8, 5894_5	1668_10, 1669_9, 2305_9, 2306_10, 4292_9, 4293_10, 4677_9, 4678_10	1669_9, 2305_9, 4292_9	4679_12	1195_15, 3241_15, 4680_16	 	 
Brevibacterium linens BL2 (321955.4)	1220_1, 1339_4, 3186_4	1221_5	2076_9, 2077_10	 	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	2524_1	2525_5	1808_9, 1809_10	1811	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	1456_1	1455_5, 508_7	526_10, 527_9	 	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1881_1	1880_5	2395_9, 2396_10	 	2397_12	2398_16	 	 
Micrococcus luteus NCTC 2665 (465515.4)	904_1	1698_8, 905_5	951_10, 952_9	 	 	 	 	 
Micrococcus luteus SK58 (596312.3)	1517_1	1516_5, 496_8	1070_9, 1071_10	 	1072_12	1073_16	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	2115_1	2114_5	 	 	 	 	 	 
Rothia dentocariosa M567 (563032.4)	976_1	975_5	 	 	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	30_1	31_5	 	 	 	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	686_1	687_5	 	 	 	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	1127_3	1639_8, 42_7, 4407_7	5397_10, 5519_9	6193	4174_12	4176_16	 	 
Propionibacterium acnes 266 (909952.3)	1829_1	1004_5	 	 	 	 	 	 
Propionibacterium acnes 6609 (1031709.3)	1865_1	1021_5	 	 	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1094_3, 344_1	2016_5	 	 	 	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	1882_3, 308_1	1244_5	 	 	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	1957_1, 501_3	1455_5	 	 	 	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1366_1	1995_5	 	 	 	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	654_1	1897_5	 	 	 	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	1009_1	2056_5	 	 	 	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	2263_1	619_5	 	 	 	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	2285_1, 605_3	1379_5	 	 	 	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	2194_1	1807_5	 	 	 	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	2272_1, 460_3	1263_5	 	 	 	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	395_1	2171_5	 	 	 	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	1142_1	1770_5	 	 	 	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	2334_1	1734_5	 	 	 	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	130_1, 1623_3	1045_5	 	 	 	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	1636_1	611_5	 	 	 	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	1758_1	2362_5	 	 	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	2272_1	1747_5	 	 	 	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	1294_1	1903_5	 	 	 	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	110_1, 658_3	1930_5	 	 	 	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1792_1, 2438_3	528_5	 	 	 	 	1355_18	 
Propionibacterium acnes HL038PA1 (765085.3)	1047_1	1610_5	 	 	 	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	2081_1	806_5	 	 	 	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	955_1	1612_5	 	 	 	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	1621_3, 2739_1	1960_5	 	 	 	 	969_18	 
Propionibacterium acnes HL045PA1 (765068.3)	2376_1	1823_5	 	 	 	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	2044_1, 658_3	1552_5	 	 	 	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	1676_1	1075_5	 	 	 	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	1658_1, 2000_3	1074_5	 	 	 	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	1384_1, 326_3	1906_5	 	 	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	2283_1, 236_3	1705_5	 	 	 	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	2314_1	1877_5	 	 	 	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	2311_1	1826_5	 	 	 	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1805_1	1123_5	 	 	 	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	1614_3, 565_1	1142_5	 	 	 	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	2287_1, 740_3	1616_5	 	 	 	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	2303_1	1777_5	 	 	 	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	1448_1, 875_3	1972_5	 	 	 	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	1566_3, 2240_1	668_5	 	 	 	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	160_1	1350_5	 	 	 	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	767_1	2127_5	 	 	 	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	436_1	1259_5	 	 	 	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	2401_1	1855_5	 	 	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	1295_1	2035_5	 	 	 	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	1742_3, 2347_1	728_5	 	 	 	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1680_1	1985_5	 	 	 	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	2298_1, 772_3	1607_5	 	 	 	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	2372_1	1685_5	 	 	 	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	57_1	1200_5	 	 	 	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	1580_1, 539_3	2039_5	 	 	 	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	2248_1	1410_5	 	 	 	 	 	 
Propionibacterium acnes HL096PA2 (765058.3)	2415_1	1939_5	 	 	 	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	2395_1	1149_5	 	 	 	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	1475_1, 528_3	2019_5	 	 	 	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	834_1	1518_5	 	 	 	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	2286_1, 528_3	1667_5	 	 	 	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	814_1	2033_5	 	 	 	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	2338_1	1527_5	 	 	 	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	1010_1, 449_3	1931_5	 	 	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	1293_3, 2117_1	762_5	 	 	 	 	 	 
Propionibacterium acnes J139 (679194.3)	1936_1, 204_3	1018_5	 	 	 	 	 	 
Propionibacterium acnes J165 (679195.3)	1024_1	619_5	 	 	 	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	1823_1	998_5	 	 	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	1788_1	1009_5	 	 	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	1121_1	519_5	 	 	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1846_1, 2116_3	539_5	 	 	 	 	 	 
Propionibacterium acnes SK187 (686659.3)	774_1	909_5	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	147_3, 1820_1	1005_5	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	149_3, 1815_1	999_5	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	146_3, 1804_1	986_5	 	 	 	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	658_1	1245_5, 1605_5, 659_5	2073_10, 2074_9	 	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	528_8	 	 	 	 	1259_18	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	812_8	 	 	 	 	1900_18	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	658_4	1060_8	 	 	 	 	1551_18	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	170_4	570_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	171_4	572_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	170_4	567_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	172_4	572_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	961_4	1206_8	 	 	 	 	56_18	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	172_4	570_8	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	796_8	 	 	 	 	651_18	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	1392_8	 	 	 	 	1268_18	 
Bifidobacterium bifidum S17 (883062.5)	 	1349_8	 	 	 	 	1219_18	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1218_4, 1219_4	1336_8	 	 	 	 	1029_18	 
Bifidobacterium breve UCC2003 (326426.4)	1968_4, 675_4, 676_4	583_8	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	1295_4, 1573_4, 2038_2, 874_4	70_8	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1117_4, 1359_4, 720_4	79_8	 	 	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	1291_4, 1569_4, 2120_4, 822_2	642_8	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	2079_4, 286_4, 36_4	1867_8	 	 	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1492_1	1491_5	 	 	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	786_4, 787_4	866_8	 	 	 	 	1555_18	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	1657_4, 570_4, 571_4, 572_4	485_8	 	 	 	 	1882_18	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	154_4, 155_4	237_8	 	 	 	 	1080_18	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1225_4, 1257_4, 63_4, 64_4	145_8	 	 	715_13	 	1861_18	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	948_8	 	 	 	 	1581_18	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1149_4, 654_4, 655_4	740_8	 	 	 	 	1760_18	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	554_4, 555_4	471_8	 	 	 	 	1823_18	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1580_4, 618_4, 619_4	535_8	 	 	 	 	1819_18	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	340_4, 356_4	1401_8	 	 	 	 	94_18	 
Scardovia inopinata F0304 (641146.3)	49_1, 681_4, 955_3	50_5	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	510_3	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	306_3, 405_4	 	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	1505_1, 363_3	1256_5	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	1464_1	507_5	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	673_1	1751_5	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	1051_1	217_5, 517_5	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	2306_1	2357_5	 	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	2558_1	2077_5, 913_5	 	 	 	 	 	 
Eggerthella sp. YY7918 (502558.4)	716_1	2644_5, 366_5	 	 	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	278_1	2399_5	 	 	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	1188_1	1189_5	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	1070_3, 630_1	1527_5	 	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	1560_1	1559_5	 	 	 	 	 	 
Actinomyces graevenitzii C83 (435830.3)	1429_4, 638_1	637_5	 	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1100_4, 1877_4, 2032_1	2031_5	1405_10, 1406_9	 	1404_12	1403_16	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	1034_1	1033_5	 	 	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1144_1	1145_5, 1542_5	961_10, 962_9	 	960_12	1236_16	 	 
Corynebacterium durum F0235 (1035195.3)	2104_1	2105_5	2234_10, 2235_9	 	2233_12	2231_16	1681_18	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1374_1	1375_5	1109_9, 1110_10	 	1111_12	1112_16	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	2630_4	1076_8, 232_7, 3730_5, 910_5	1020_10, 1021_9, 3171_10, 3172_9, 345_9, 346_10	1021_9, 345_9	3170_12	111_15, 1391_15, 3169_16	 	 
Gordonia terrae C-6 (1316928.3)	895_4	1250_5, 1343_8, 1569_7, 4331_5	1281_10, 1282_9, 1674_9, 1675_10, 772_10, 773_9	1282_9, 1674_9	771_12	2570_15, 770_16	 	 
Gordonia terrae NBRC 100016 (1089454.3)	797_4	103_5, 1030_5, 1370_7, 2350_8	4044_10, 4045_9, 4397_10, 4398_9, 4502_10, 4503_9	4045_9	4396_12	2652_15, 4395_16	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3101_4, 443_1	1331_7, 442_5, 667_8	3815_10, 3816_9	3682, 3816_9	343_12, 4155_12	342_16, 4156_16, 4157_16	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	1752_1, 740_4	1753_5, 2923_8, 3579_7	1377_10, 1378_9	1259, 1378_9	1661_12, 1848_12	1662_16, 1774_15, 1849_16	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	2661_1, 3481_4	1396_8, 2660_5, 478_7	874_10, 875_9	2947, 875_9	2532_12, 2761_12	2531_16, 2609_15, 2760_16	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	3508_4	1155_8, 1232_5, 1437_7, 343_7, 397_5	1601_9, 1602_10, 1742_9, 1743_10, 4442_10, 4443_9	1601_9, 4443_9	1744_12	1745_16, 2434_15, 2480_15, 2486_15	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	3469_4	1184_8, 1261_5, 1466_7, 429_7, 481_5	1628_9, 1629_10, 1783_9, 1784_10, 4478_10, 4479_9	1628_9, 4479_9	1785_12	1786_16, 2470_15, 2516_15, 2522_15	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	3084_4	1027_7, 166_7, 218_5, 745_8, 822_5	1154_9, 1155_10, 1306_9, 1307_10, 4255_10, 4256_9	1154_9, 4256_9	1308_12	1309_16, 2030_15, 2075_15, 2081_15	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	3620_4	1023_8, 1100_5, 1184_5, 1388_7, 342_7	1552_9, 1553_10, 1692_9, 1693_10, 4520_10, 4521_9	1552_9, 4521_9	1694_12	1695_16, 2382_15, 2428_15, 2434_15	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	3546_4	1199_8, 1276_5, 1481_7, 345_7, 398_5	1610_9, 1611_10, 1750_9, 1751_10, 4445_10, 4446_9	1610_9, 4446_9	1752_12	1753_16, 2478_15, 2524_15, 2530_15	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	3514_4	1208_8, 1285_5, 1488_7, 345_7, 401_5	1650_9, 1651_10, 1791_9, 1792_10, 4393_10, 4394_9	1650_9, 4394_9	1793_12	1794_16, 2484_15, 2530_15, 2536_15	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	3446_4	1060_7, 2168_5, 347_7, 780_8, 857_5	1222_9, 1223_10, 1364_9, 1365_10, 4319_10, 4320_9	1222_9, 4320_9	1366_12	1367_16, 2050_15, 2096_15, 2102_15	 	 
Mycobacterium abscessus 47J26 (1087483.3)	503_4	1868_8, 1943_5, 2142_7, 3575_7	2209_9, 2210_10, 2323_9, 2324_10, 3160_10, 3161_9	2209_9, 3161_9	2325_12	1451_15, 1457_15, 2326_16	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	3095_4	1263_8, 1340_5, 1540_7, 545_7	1606_9, 1607_10, 1725_9, 1726_10, 3965_10, 3966_9	1606_9, 3966_9	1727_12	1728_16, 2150_15, 2197_15, 2203_15	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	2187_4	161_8, 238_5, 4222_7, 438_7	3057_10, 3058_9, 503_9, 504_10, 623_9, 624_10	3058_9, 503_9	625_12	1245_15, 1292_15, 1298_15, 626_16	 	 
