Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Sulfolobus solfataricus P2 (273057.1)	327_1	 	 	 	 	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	948_1	 	950_7	950_7	949	1342_11_19	14_12	1342_11_19	745_21	 	 
Actinomyces odontolyticus F0309 (649742.3)	1161_1	 	1163_7	1163_7	1162	1627_11_19	65_12	1627_11_19	1996_21	 	 
Actinomyces oris K20 (871541.3)	1278_1, 1280_1	 	 	1288	 	638_11_19	2118_12	638_11_19	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	604_1	 	607_7	607_7	606	979_11_19	1489_12	979_11_19	 	 	 
Actinomyces viscosus C505 (562973.4)	2245_1	 	2255_7	2255_7	2254	173_11_19	2586_12	173_11_19	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	251_1	 	253_7	253_7	252	542_11_19	 	542_11_19	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	355_1	 	353_7	353_7	354	180_11_19	15_12	180_11_19	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	706_1	 	704_7	704_7	705	534_11_19	391_12	534_11_19	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	106_1	 	108_7	108_7	107	488_11_19	629_12	488_11_19	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1395_1	 	1393_7	1392	1394	1196_11_19	1115_12, 764_12	1196_11_19	1510_21_22, 1510_21_22	1325, 1509	 
Corynebacterium amycolatum SK46 (553204.6)	733_1	 	731_7	730	732	1807_11_19	449_12	1807_11_19	1694_22, 2066_21	2083	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	544_1	 	546_7	546_7	545	1723_11_19	2076_12	1723_11_19	1197_21_22, 1197_21_22	1195, 656	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1705_1	 	1703_7	1703_7	1704	1403_11_19	476_12	1403_11_19	131_21, 534_22	402	 
Corynebacterium striatum ATCC 6940 (525268.3)	1109_1	 	1111_7	1112	1110	2215_11_19	1369_12	2215_11_19	1408_21_22, 1408_21_22	1407, 1988	 
Corynebacterium tuberculostearicum SK141 (553206.4)	2102_1	 	2104_7	2105	2103	1769_11_19	1103_12	1769_11_19	378_21_22, 378_21_22	2180, 377	 
Corynebacterium ulcerans 809 (945711.3)	1947_1	 	1945_7	1944	1946	1739_11_19	703_12	1739_11_19	1744_21_22, 1744_21_22	1871	 
Corynebacterium ulcerans BR-AD22 (945712.3)	2106_1	 	2104_7	2103	2105	1813_11_19	710_12	1813_11_19	1819_21_22, 1819_21_22	1967	 
Dietzia cinnamea P4 (910954.3)	1497_1	 	1499_7	1500	1498	1285_11_19	1089_12, 2000_12, 2095_12, 516_12, 791_12	1285_11_19	2434_22, 381_21	2472	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	478_1	 	480_7	481	479	2414_11_19	3038_12	2414_11_19	16_21, 986_22	676	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3417_1	 	3419_7	3420	3418	3665_11_19	3016_12	3665_11_19	685_22, 8_21	3610	 
