Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Sulfolobus solfataricus P2 (273057.1)	574, 575	576	 	571_7, 572_6, 573_5	577_8	960_22, 961_15	570_10	213_11	 	 	216	 	2224_21	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	1658	1203	 	1315_5, 1513_7, 1514_6	1017_8	 	1512_10	1126_11	 	 	1438	1593_17	333_21	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	1075	29	 	1145_6, 1146_7, 1402_5	271_8	 	1147_10	1194_11	 	 	945	415_17	1257_21	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	467	429	 	425_5, 426_6, 427_7	466_8	122_15	428_10	543_11	1997_12	1997_12	907	242_18, 245_17	1995_19	 	71	 
Actinomyces odontolyticus F0309 (649742.3)	1214	1028	1760_4	1024_5, 1025_6, 1026_7	1213_8	169_22, 170_9	1027_10	1282_11	954_12	954_12	1121	732_17, 733_17, 736_17	956_19	 	122	 
Actinomyces oris K20 (871541.3)	 	1215	1924_4	1219_7, 1220_6	1237_8	1042_9, 1043_22	1216_10	 	 	 	1201	1422_17, 1424_17	1458_19	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	473	439	1399_3, 1738_4	441_7, 442_6	474_8	1202_9, 1203_22	440_10	92_11	1405_12	1405_12	425	17_17, 769_17, 771_17	817_19	 	1817	 
Actinomyces viscosus C505 (562973.4)	 	802	1770_4	789_5, 796_6, 797_7	2198_8	481_22, 482_9	801_10	1116_11	318_12	318_12	820	2413_17, 2415_17	2452_19	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	202_10	1157_11	 	 	1158	1159_17, 1285_17, 1289_17	1276_19	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	885	821	108_3, 1253_4	865_7, 866_6, 867_5	886_8	1003_9, 1004_22	864_10	708_11	107_12	107_12	772	1474_17, 1478_17	210_19	 	 	 
