Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Sulfolobus solfataricus P2 (273057.1)	 	 	 	364_6	362_8	 	862_18	 	 	 	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	1231_6	1270_8	 	1232_18	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	172_6	1418_8	 	174_18	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	1468_19_17	1468_19_17	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	 	1502_19_17	1502_19_17	 	 	 	 	"1799_29, 1800_28"	 	 	 
Actinomyces oris K20 (871541.3)	1771_6	1773_2_5	1773_2_5	1771_6	 	1772_10	704_17_19	704_17_19	 	 	 	 	"1984_29, 1985_28"	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	 	 	 	1061_17_19	1061_17_19	 	 	 	 	"1801_29, 1802_28"	 	 	 
Actinomyces viscosus C505 (562973.4)	1957_6	1955_2_5	1955_2_5	1957_6	1958_8	1956_10	98_17_19	98_17_19	 	 	 	 	"1704_28, 1705_29"	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	611_17_19	611_17_19	 	 	 	 	"842_28, 843_29"	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	 	 	 	 	 	126_17_19	126_17_19	 	 	 	 	"1640_29, 1641_28"	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	 	 	 	478_17_19	478_17_19	 	 	 	 	"1739_29, 1740_28"	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	 	 	 	 	 	544_17_19	544_17_19	 	 	 	 	"841_28, 842_29"	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	443_6	445_2_5	445_2_5	443_6	442_8	444_10	184_17_19	184_17_19	 	 	 	 	 	 	 	 
Corynebacterium amycolatum SK46 (553204.6)	1184_6	1182_2_5	1182_2_5	1184_6	1185_8	1183_10	86_17_19	86_17_19	 	 	1150	 	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	857_6	859_2_5	859_2_5	857_6	856_8	858_10	2033_17_19	2033_17_19	 	 	 	 	 	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1006_6	1008_2_5	1008_2_5	1006_6	1005_8	1007_10	1169_17_19	1169_17_19	 	 	550	 	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	2138_6	2140_2_5	2140_2_5	2138_6	2137_8	2139_10	652_17_19	652_17_19	 	 	 	 	 	 	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	1319_6	1321_2_5	1321_2_5	1319_6	1318_8	1320_10	1479_17_19	1479_17_19	 	 	 	 	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	1265_7	1267_2_5	1267_2_5	1265_7	1264_8	1266_14	1422_17_19	1422_17_19	 	 	765	 	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1268_7	1270_2_5	1270_2_5	1268_7	1267_8	1269_14	1426_17_19	1426_17_19	 	 	770	 	 	 	 	 
Dietzia cinnamea P4 (910954.3)	1137_6	"1139_2_5, 1140_2_5"	"1139_2_5, 1140_2_5"	1137_6	1136_8	1138_10	2705_17_19	2705_17_19	 	 	1216	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1199_6	1195_2_5	1195_2_5	1199_6	1200_8	1198_10	3066_17_19	3066_17_19	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	444_6	448_2_5	448_2_5	444_6	443_9	445_10	2989_17_19	2989_17_19	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1140_6	1136_2_5	1136_2_5	1140_6	1141_8	1139_10	2893_17_19	2893_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus (36809.5)	2843_6	2855_2_5	2855_2_5	2843_6	2842_8	2844_10	3161_17_19	3161_17_19	 	 	 	 	 	 	 	 
Rhodococcus equi 103S (685727.3)	2190_6	2188_2_5	2188_2_5	2190_6	2191_8	2189_10	1927_19_17	1927_19_17	 	 	1232	 	 	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	4131_7	4133_2_5	4133_2_5	4131_7	4130_8	4132_12	254_19_17	254_19_17	 	 	3665	 	 	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	"2481_6, 3523_6"	3521_2_5	3521_2_5	"2481_6, 3523_6"	"3524_8, 4553_8"	3522_10	3130_17_19	3130_17_19	 	 	4875	 	 	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	"1207_6, 4973_6"	4970_2_5	4970_2_5	"1207_6, 4973_6"	"1596_8, 4974_8"	4971_10	2523_17_19	2523_17_19	 	 	6327	 	 	 	 	 
Brevibacterium linens BL2 (321955.4)	"3382_5, 447_6"	445_2_5	"3382_5, 445_2_5"	447_6	448_8	446_10	1495_19_17	1495_19_17	 	 	128	 	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	148_6	146_2_5	146_2_5	148_6	149_8	147_10	1094_19_17	1094_19_17	 	 	150	 	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	"1154_10_6, 1155"	1153_2_5	1153_2_5	1154_10_6	1156_8	1154_10_6	1596_19_17	1596_19_17	 	 	1152	 	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	"156_10_6, 157"	155_2_5	155_2_5	156_10_6	158_8	156_10_6	2056_17_19	2056_17_19	 	 	154	 	 	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	1030_6	1028_2_5	1028_2_5	1030_6	1031_8	1029_10	669_19_17	669_19_17	 	 	1027	 	 	 	 	 
Micrococcus luteus SK58 (596312.3)	965_6	967_2_5	967_2_5	965_6	964_8	966_10	744_17_19	744_17_19	 	 	968	 	 	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	"1777_10_6, 1778"	1776_2_5	1776_2_5	1777_10_6	1779_8	1777_10_6	1518_19_17	1518_19_17	 	 	1775	 	 	 	 	 
Rothia dentocariosa M567 (563032.4)	"202_10_6, 203_6"	200_2_5	200_2_5	"202_10_6, 203_6"	204_8	202_10_6	1828_19_17	1828_19_17	 	 	199	 	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	"55_6, 56_10_6"	58_2_5	58_2_5	"55_6, 56_10_6"	54_8	56_10_6	424_17_19	424_17_19	 	 	59	 	 	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	"1015_6, 1016_10_6"	1017_2_5	1017_2_5	"1015_6, 1016_10_6"	1014_8	1016_10_6	1276_17_19	1276_17_19	 	 	1018	 	 	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	860	857_2_5	857_2_5	859_6	861_8	858_10	238_19_17	238_19_17	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	870	867_2_5	867_2_5	869_6	871_8	868_10	733_19_17	733_19_17	 	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	"3498_6, 538"	"3495_2_5, 5830_2_5"	"3495_2_5, 537_5, 5830_2_5"	3498_6	3499_8	3496_10	3135_17_19	3135_17_19	 	 	3497	 	 	 	 	 
Propionibacterium acnes 266 (909952.3)	1811_6	1813_2_5	1813_2_5	1811_6	1810_8	1812_10	1550_17_19	1550_17_19	 	 	1481	 	 	 	 	 
Propionibacterium acnes 6609 (1031709.3)	1847_6	1849_2_5	1849_2_5	1847_6	1846_8	1848_10	1564_17_19	1564_17_19	 	 	1505	 	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	327_6	329_2_5	329_2_5	327_6	326_8	328_10	72_17_19	72_17_19	 	 	15	 	 	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	290_7	292_2_5	292_2_5	290_7	289_8	291_10	607_17_19	607_17_19	 	 	547	 	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	1974_6	1972_2_5	1972_2_5	1974_6	1975_8	1973_10	2223_17_19	2223_17_19	 	 	2292	 	 	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1348_6	1350_2_5	1350_2_5	1348_6	1347_8	1349_10	165_17_19	165_17_19	 	 	96	 	 	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	672_6	670_2_5	670_2_5	672_6	673_8	671_10	455_17_19	455_17_19	 	 	525	 	 	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	1564_6	1566_2_5	1566_2_5	1564_6	1563_8	1565_10	1377_17_19	1377_17_19	 	 	1303	 	 	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	2281_6	2279_2_5	2279_2_5	2281_6	2282_8	2280_10	1783_17_19	1783_17_19	 	 	1714	 	 	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	2302_6	2300_2_5	2300_2_5	2302_6	2303_8	2301_10	2051_17_19	2051_17_19	 	 	2120	 	 	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	2177_6	2179_2_5	2179_2_5	2177_6	2176_8	2178_10	1155_17_19	1155_17_19	 	 	1227	 	 	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	2255_6	2257_2_5	2257_2_5	2255_6	2254_8	2256_10	1985_17_19	1985_17_19	 	 	2055	 	 	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	377_6	379_2_5	379_2_5	377_6	376_8	378_10	959_17_19	959_17_19	 	 	1030	 	 	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	1160_6	1158_2_5	1158_2_5	1160_6	1161_8	1159_10	2327_17_19	2327_17_19	 	 	2397	 	 	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	2317_6	2319_2_5	2319_2_5	2317_6	2316_8	2318_10	1094_17_19	1094_17_19	 	 	1026	 	 	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	147_6	145_2_5	145_2_5	147_6	148_8	146_10	2315_17_19	2315_17_19	 	 	2244	 	 	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	1618_6	1620_2_5	1620_2_5	1618_6	1617_8	1619_10	1432_17_19	1432_17_19	 	 	1504	 	 	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	1739_6	1741_2_5	1741_2_5	1739_6	1738_8	1740_10	1172_17_19	1172_17_19	 	 	1231	 	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	2254_6	2256_2_5	2256_2_5	2254_6	2253_8	2255_10	144_17_19	144_17_19	 	 	214	 	 	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	1276_6	1278_2_5	1278_2_5	1276_6	1275_8	1277_10	1042_17_19	1042_17_19	 	 	973	 	 	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	979_6	981_2_5	981_2_5	979_6	978_8	980_10	1430_17_19	1430_17_19	 	 	1500	 	 	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1808_6	1806_2_5	1806_2_5	1808_6	1809_9	1807_10	1141_17_19	1141_17_19	 	 	1232	 	 	 	 	 
