Organism	gdhA	proB	proA	proC	ocd1	ocd2
Sulfolobus solfataricus P2 (273057.1)	 	 	 	448_5	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	1260_5	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	1373	 	1681_5	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	1595	 	443_5	 	 
Actinomyces oris K20 (871541.3)	1229_1, 1303, 1303	 	1742	622_5	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	456_1	2114	2115	968_5	 	969
Actinomyces viscosus C505 (562973.4)	781_1	1995	1994	198_5	 	1583
Arcanobacterium haemolyticum DSM 20595 (644284.3)	203_1	 	 	537_5	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	869_1	 	 	1395_5	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1007_1	 	 	1508_5	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	1591_1	 	 	1126_5	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	103_1	1206	1210	891_5	 	1968, 2141
Corynebacterium amycolatum SK46 (553204.6)	823_1	1800	1797	651_5	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	1963_1	1736	1737	1338_5	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	623_1	1392	1391	1974_5	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	572_1	468	810	402_5	 	288, 322
Corynebacterium tuberculostearicum SK141 (553206.4)	1559_1	1785	1788	563_5	 	958
Corynebacterium ulcerans 809 (945711.3)	1504_1	1729	1725	327_5	 	1737
Corynebacterium ulcerans BR-AD22 (945712.3)	1509_1	1804	1800	326_5	 	 
Dietzia cinnamea P4 (910954.3)	1583_1, 843, 843	402	390	1839_5	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	2406	2390	4244_5	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	3672	3688	1592_5	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	2263	2247	3991_5	 	 
Mycobacterium abscessus (36809.5)	3872_1	1653	1658	4080_5	 	 
Rhodococcus equi 103S (685727.3)	 	2978	 	3776_5	 	 
Rhodococcus equi ATCC 33707 (525370.3)	3398_1	4476	 	1533_5	 	 
Rhodococcus erythropolis PR4 (234621.6)	4376_1	4315	4303	2120_5	 	 
Rhodococcus erythropolis SK121 (596309.3)	5435_1	4633	4645	2326_5	 	5992
Brevibacterium linens BL2 (321955.4)	1490, 1490, 2508_1	2639	 	1450_5, 1763_5	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	2364_5	 	 
Kocuria rhizophila DC2201 (378753.5)	 	1116	 	466_5	 	 
Kocuria rhizophila P7-4 (1029824.3)	2284_1	120	122	2277_5	 	148
Micrococcus luteus NCTC 2665 (465515.4)	 	968	 	1744_5	 	 
Micrococcus luteus SK58 (596312.3)	2295, 2295, 51_1	120	119	1231_5	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	433_5	 	782
Rothia dentocariosa M567 (563032.4)	 	 	 	1445_5	 	724
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	780_5	 	452
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	303_5	 	67
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	927_5	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	935_5	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	4553_1	6292	6293	4281_5	 	 
Propionibacterium acnes 266 (909952.3)	1593_1	877	878	340_5	 	1343
Propionibacterium acnes 6609 (1031709.3)	 	890	891	338_5	 	1363
Propionibacterium acnes ATCC 11828 (1091045.3)	115_1	2115	2114	1292_5	 	1676
Propionibacterium acnes HL001PA1 (765105.8)	651_1	1347	1346	2077_5	 	900
Propionibacterium acnes HL002PA1 (765115.3)	2182_1, 2183_1	1326	1327	680_5	 	 
Propionibacterium acnes HL002PA2 (765116.3)	 	2121	2120	910_5	 	1653
Propionibacterium acnes HL002PA3 (765117.3)	 	2023	2022	1191_5	 	1556
Propionibacterium acnes HL005PA1 (765096.3)	 	2181	2180	338_5	 	 
Propionibacterium acnes HL005PA2 (765097.3)	1824_1	744	743	1103_5	 	281
Propionibacterium acnes HL005PA4 (765099.3)	2010_1, 2011_1	1504	1503	784_5	 	1034
Propionibacterium acnes HL007PA1 (765118.3)	 	1683	1684	513_5	 	 
Propionibacterium acnes HL013PA1 (765069.3)	1944_1, 1945_1	1388	1387	281_5	 	919
Propionibacterium acnes HL013PA2 (765070.3)	920_1	2297	2296	1285_5	 	1834
Propionibacterium acnes HL020PA1 (765065.3)	2287_1	1895	1894	240_5	 	1429
Propionibacterium acnes HL025PA1 (765089.3)	 	1864	1863	243_5	 	1395
Propionibacterium acnes HL027PA1 (765111.3)	2354_1, 2355_1	918	919	1801_5	 	 
Propionibacterium acnes HL027PA2 (765112.3)	1391_1	733	732	2162_5	 	272
Propionibacterium acnes HL030PA1 (765103.3)	 	966	967	1547_5	 	2024
Propionibacterium acnes HL036PA1 (765106.3)	 	1622	1623	468_5	 	2086
Propionibacterium acnes HL036PA2 (765107.3)	 	2029	2028	414_5	 	1563
Propionibacterium acnes HL037PA1 (765122.3)	 	1802	1803	471_5	 	2269
Propionibacterium acnes HL037PA2 (765123.3)	1100_1, 1101_1	659	658	2207_5	 	 
Propionibacterium acnes HL038PA1 (765085.3)	 	1486	1487	434_5	 	 
Propionibacterium acnes HL043PA1 (765072.3)	 	683	684	1407_5	 	 
Propionibacterium acnes HL043PA2 (765073.3)	 	1736	1735	274_5	 	 
Propionibacterium acnes HL044PA1 (765109.3)	74_1, 75_1	1831	1832	1186_5	 	21
Propionibacterium acnes HL045PA1 (765068.3)	 	1697	1698	776_5	 	 
Propionibacterium acnes HL046PA1 (765094.3)	2308_1, 2309_1	1682	1681	837_5	 	1207
Propionibacterium acnes HL046PA2 (765095.3)	 	949	950	2201_5	 	1411
Propionibacterium acnes HL050PA1 (765100.3)	137_1, 138_1	947	948	2178_5	 	1419
Propionibacterium acnes HL050PA2 (765101.3)	1038_1	2009	2008	519_5	 	1563
Propionibacterium acnes HL050PA3 (765102.3)	1125_1, 1126_1	1579	1580	413_5	 	2050
Propionibacterium acnes HL053PA1 (765066.3)	 	1753	1754	826_5	 	 
Propionibacterium acnes HL053PA2 (765067.3)	208_1	1953	1952	1018_5	 	1487, 614
Propionibacterium acnes HL056PA1 (765119.3)	 	1000	1001	556_5	 	 
Propionibacterium acnes HL059PA1 (765091.3)	391_1, 392_1	1269	1268	1791_5	 	802
Propionibacterium acnes HL059PA2 (765092.3)	1075_1, 1076_1	1491	1492	564_5	 	1958
Propionibacterium acnes HL063PA1 (765113.3)	1255_1	1650	1651	792_5	 	2119
Propionibacterium acnes HL063PA2 (765114.3)	315_1	1846	1847	1065_5	 	2313, 661
Propionibacterium acnes HL067PA1 (765110.3)	1902_1, 1903_1	544	545	1390_5	 	1008
Propionibacterium acnes HL072PA1 (765074.3)	774_1	1224	1225	2237_5	 	1689
Propionibacterium acnes HL072PA2 (765075.3)	1653_1	2256	2255	285_5	 	1788
Propionibacterium acnes HL074PA1 (765076.3)	 	1135	1136	779_5	 	 
Propionibacterium acnes HL078PA1 (765071.3)	 	1984	1983	501_5	 	908
Propionibacterium acnes HL082PA1 (765120.3)	1121_1	2163	2162	443_5	 	1694, 852
Propionibacterium acnes HL082PA2 (765121.3)	1238_1	830	829	1938_5	 	386
Propionibacterium acnes HL083PA1 (765087.3)	 	1859	1860	999_5	 	 
Propionibacterium acnes HL083PA2 (765088.3)	311_1, 312_1	1479	1480	947_5	 	 
Propionibacterium acnes HL086PA1 (765093.3)	486_1	1559	1560	117_5	 	2024, 640
Propionibacterium acnes HL087PA2 (765082.3)	824_1	1073	1074	2088_5	 	1541
Propionibacterium acnes HL087PA3 (765083.3)	1062_1, 1063_1	2167	2166	715_5	 	1695
Propionibacterium acnes HL092PA1 (765086.3)	2089_1	1284	1285	243_5	 	1747, 651
Propionibacterium acnes HL096PA2 (765058.3)	 	1816	1817	732_5	 	 
Propionibacterium acnes HL096PA3 (765057.3)	1690_1	1277	1276	498_5	 	809
Propionibacterium acnes HL097PA1 (765064.3)	1051_1	1888	1889	713_5	 	320
Propionibacterium acnes HL099PA1 (765063.3)	 	1641	1640	391_5	 	958
Propionibacterium acnes HL103PA1 (765061.3)	1094_1	1768	1767	723_5	 	1326
Propionibacterium acnes HL110PA1 (765077.3)	236_1	2158	2157	1118_5	 	1527, 1696
Propionibacterium acnes HL110PA2 (765078.3)	2089_1	1397	1398	833_5	 	1866, 291
Propionibacterium acnes HL110PA3 (765079.3)	1237_1	2032	2031	648_5	 	1592
Propionibacterium acnes HL110PA4 (765080.3)	1756_1	862	861	1492_5	 	1043
Propionibacterium acnes J139 (679194.3)	1530_1	1106	1105	376_5	 	 
Propionibacterium acnes J165 (679195.3)	2067_1	500	501	2321_5	 	1678
