Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Sulfolobus solfataricus P2 (273057.1)	901	902	900	 	1980	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	478	475	 	1145	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	623	392	 	168	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	1371	221	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	1597	712	 	 	 	 
Actinomyces oris K20 (871541.3)	 	 	 	1752	449	 	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	2116	587	 	 	 	 
Actinomyces viscosus C505 (562973.4)	 	 	 	1981	1421	 	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	1044	1104	 	 	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	506	507	505	1300	870	 	 	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	49	50	48	1423	1008	 	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	430	429	431	1205	1590	 	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1652	1651, 77	1653	2239	1117	 	926	 	 
Corynebacterium amycolatum SK46 (553204.6)	849	851, 863	848	1796	1529	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	1941	2086	1740	1057	2517_8	955	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	806	 	1390	1457	 	276	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	1357	1358, 548	1356	811	1879	 	2437	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	1586	 	1789	648	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	 	1531	 	1724	1831	 	2193	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	1535	 	1799	1924	 	2357	 	 
Dietzia cinnamea P4 (910954.3)	 	731	732	387	101, 2160	 	4	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1359	1358	1360	2387	2401	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	4003	4002	4004	3691_4	3677	 	 	 	 
