Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Sulfolobus solfataricus P2 (273057.1)	581_4, 582_1	558_5	555_6	 	 	 	559_13	560_14	 	204_16	628_18	180_19	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	472_1, 473_4	1238_5	975_6	 	 	1021_10, 1022_11	800_13, 863_13	1581_14	 	198_16	717_18	145_19	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	1152_1, 1153_4	3_5	314_6	 	 	1357_10, 1358_11	1280_13, 990_13	379_14	 	611_16	848_18	437_19	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	1163_4, 1164_1	1161_5	1162_6	1568_12	 	 	378_13	1165_14	 	1338_16	290_17	 	13_20
Actinomyces odontolyticus F0309 (649742.3)	1812_1, 1813_4	1815_5	1814_6	583_7	 	 	917_13	1811_14	618_15	1631_16	781_17	 	64_20
Actinomyces oris K20 (871541.3)	2009_1, 2010_4	2012_5	2011_6	2141_7	 	 	 	2008_14	 	 	 	 	1566_20
Actinomyces urogenitalis DSM 15434 (525246.3)	1885_1, 1886_4	1888_5	1887_6	2009_7	 	 	417_13	1884_14	1036_15	981_16	735_17	2024_19	1490_20
Actinomyces viscosus C505 (562973.4)	1678_4, 1679_1	1676_5	1677_6	1532_7	 	 	828_13	1680_14	 	171_16	2361_17	 	2587_20
Arcanobacterium haemolyticum DSM 20595 (644284.3)	1008_1	1003_5	1009_6	 	1006_9, 1007_8	 	1004_13, 189_13	1005_14	584_15	543_16	1330_17	 	402_20
Mobiluncus curtisii ATCC 43063 (548479.6)	 	1654_5	1653_6	1739_7	 	 	520_13	1652_14	1289_15	178_16	306_17	 	14_20
Mobiluncus curtisii ATCC 51333 (887326.3)	 	1753_5	1752_6	285_7	 	 	61_13	1751_14	1412_15	532_16	654_17	 	390_20
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	828_5	829_6	741_7	 	 	413_13	830_14	1216_15	490_16	157_17	 	630_20
Corynebacterium ammoniagenes DSM 20306 (649754.3)	457_1, 458_4	460_5	459_6	387_7	 	 	1447_13	456_14	146_15	1200_16	1728_17	 	763_20
Corynebacterium amycolatum SK46 (553204.6)	1778_4, 1779_1	1776_5	1777_6	1243_7	 	 	798_13	1780_14	117_15	1805_16	542_17	1596_19	448_20
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	872_1, 873_4	24_5	874_6	2499_7, 786_7	 	 	479_13	871_14	1993_15	1728_16	1456_17	 	2077_20
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1020_1, 1021_4	1023_5	1022_6	951_7	 	 	312_13	1019_14	1200_15	1399_16	1848_17	881_19	477_20
Corynebacterium striatum ATCC 6940 (525268.3)	2152_1, 2153_4	2155_5	2154_6	2087_7	 	 	1055_13	2151_14	621_15	2209_16	63_17	1013_19	1368_20
Corynebacterium tuberculostearicum SK141 (553206.4)	1333_1, 1334_4	1336_5	1335_6	1977_7	 	 	1826_13	1332_14	1519_15	1772_16	1073_17	 	1104_20
Corynebacterium ulcerans 809 (945711.3)	1279_1, 1280_4	1282_5	1281_6	1160_7	 	 	2025_13	1278_14	1463_15	1736_16	455_17	 	704_20
Corynebacterium ulcerans BR-AD22 (945712.3)	1282_1, 1283_4	1285_5	1284_6	1163_7	 	 	2181_13	1281_14	1468_15	1810_16	454_17	 	711_20
Dietzia cinnamea P4 (910954.3)	2387_1, 2388_4	2391_5	2390_6	1400_7	 	 	1369_13	2386_14	 	1283_16	2102_17, 903_17	1341_19	2001_20
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	1177_4, 1178_1	1174_5	1175_6	1995_7	 	 	4106_13	1179_14	3121_15	2412_16	4471_17	1480_19	3039_20
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	465_1, 466_4	469_5	468_6	111_7	 	 	1732_13	464_14	2935_15	3667_16	1374_17	4125_19	3015_20
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1118_4, 1119_1	1115_5	1116_6	1883_7	 	 	3857_13	1120_14	2946_15	2268_16	4199_17	1406_19	2869_20
Mycobacterium abscessus (36809.5)	2874_1, 2875_4	2878_5	2877_6	2143_7	 	 	4339_13	2873_14	3245_15	1646_16	3855_17	2407_19	3142_20
Rhodococcus equi 103S (685727.3)	2163_4, 2164_1	2160_5	2161_6	2284_12	 	 	3998_13	2165_14	 	2984_16	3568_17	2465_19	1105_20
Rhodococcus equi ATCC 33707 (525370.3)	24_1, 25_4	28_5	27_6	4269_7	 	 	1298_13	23_14	 	4470_16	2881_17	1708_19	3790_20
Rhodococcus erythropolis PR4 (234621.6)	3504_4, 3505_1	3501_5	3502_6	3717_7	 	 	1869_13	3506_14	3032_15	4320_16	2369_17, 5871_17	3768_19	5012_20
Rhodococcus erythropolis SK121 (596309.3)	4952_4, 4953_1	4949_5	4950_6	6230_7	 	 	4526_13	4954_14	2962_15	4628_16	1317_17, 806_17	6202_19	6410_20
Brevibacterium linens BL2 (321955.4)	139_1, 140_4	143_5	142_6	3131_7	 	 	526_13	138_14	 	2630_16	3441_17	1565_19	 
Kytococcus sedentarius DSM 20547 (478801.5)	1205_4, 1206_1	1203_5	1204_6	740_12	 	 	531_13	1207_14	 	865_16	1990_17	1175_19	884_20
Kocuria rhizophila DC2201 (378753.5)	1316_1, 1317_4	1320_5	1319_6	1276_12	 	 	185_13	1315_14	 	1109_16	623_17	1530_19	558_20
Kocuria rhizophila P7-4 (1029824.3)	366_1, 367_4	370_5	369_6	320_7	 	 	946_13	365_14	2031_15	112_16	1968_17, 748_17	2123_19	806_20
Micrococcus luteus NCTC 2665 (465515.4)	1199_1, 1200_4	1203_5	1202_6	1166_12	 	 	174_13	1198_14	 	961_16	1635_17	1357_19	1685_20
Micrococcus luteus SK58 (596312.3)	1574_1, 1575_4	1578_5	1577_6	458_7, 459_7	 	 	1141_13	1573_14	2010_15	126_16	1905_17	1052_19	508_20
Rothia dentocariosa ATCC 17931 (762948.4)	1944_1, 1945_4	1948_5	1947_6	1877_12	 	 	784_13	1943_14	 	2032_16	279_17	1585_19	369_20
Rothia dentocariosa M567 (563032.4)	366_1, 367_4	370_5	369_6	298_7	 	 	726_13	365_14	 	896_16	1292_17, 387_17	7_19	1379_20
Rothia mucilaginosa ATCC 25296 (553201.3)	1184_1, 1185_4	1188_5	1187_6	1509_7	 	 	456_13	1183_14	1264_15	 	907_17	223_19	832_20
Rothia mucilaginosa DY-18 (680646.3)	857_4, 858_1	854_5	855_6	915_7	 	 	64_13	859_14	1293_15	 	428_17	1217_19	353_20
Tropheryma whipplei TW08/27 (218496.4)	470_4, 471_1	676	469_6	603_12	 	 	918_13	472_14	 	353_16	287_17	126_19	 
Tropheryma whipplei str. Twist (203267.6)	499_1, 500_4	295	501_6	367_12	 	 	926_13	498_14	 	618_16	683_17	127_19	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3474_4, 3475_1, 3946_4	3472_5	3473_6	3476_7	 	 	2657_13	3478_14	3560_15	4135_16	5660_17, 6258_17, 6264_17	5850_19	 
Propionibacterium acnes 266 (909952.3)	1041_4, 1042_1	1039_5	1040_6	 	 	1043_10, 1044_11	1046_13	1045_14	 	866_16	1898_17	1453_19	1723_20
Propionibacterium acnes 6609 (1031709.3)	1059_4, 1060_1	1057_5	1058_6	 	 	1061_10, 1062_11	1064_13	1063_14	 	880_16	1934_17	1477_19	1766_20
Propionibacterium acnes ATCC 11828 (1091045.3)	1976_1, 1977_4	1979_5	1978_6	 	1974_9	1975_10	1972_13	1973_14	122_15	2126_16	412_17	1560_19	242_20
Propionibacterium acnes HL001PA1 (765105.8)	1203_1, 1204_4	1206_5	1205_6	 	 	1201_11, 1202_10	1199_13	1200_14	658_15	1358_16	375_17	786_19	208_20
Propionibacterium acnes HL002PA1 (765115.3)	1493_4, 1494_1	1491_5	1492_6	 	 	1495_10, 1496_11	1498_13	1497_14	 	1316_16	1887_17	2398_19	2058_20
Propionibacterium acnes HL002PA2 (765116.3)	1957_1, 1958_4	1960_5	1959_6	 	 	1955_11, 1956_10	1953_13	1954_14	 	2131_16	1435_17	1541_19	1264_20
Propionibacterium acnes HL002PA3 (765117.3)	1859_1, 1860_4	1862_5	1861_6	 	 	1857_11, 1858_10	1855_13	1856_14	 	2033_16	586_17	1444_19	756_20
Propionibacterium acnes HL005PA1 (765096.3)	2016_1, 2017_4	2019_5	2018_6	 	 	2014_11, 2015_10	2012_13	2013_14	 	2191_16	939_17	1634_19	1613_20
