Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Abiotrophia defectiva ATCC 49176 (592010.4)																					
Achromobacter xylosoxidans AXX-A (1003200.3)																					
Acidaminococcus fermentans DSM 20731 (591001.3)																					
Acidaminococcus intestini RyC-MR95 (568816.4)																					
Acidaminococcus sp. D21 (563191.3)																					
Acinetobacter baumannii 1656-2 (696749.3)															394						
Acinetobacter baumannii 3990 (886888.3)															3341						
Acinetobacter baumannii 48055 (1293574.3)															856						
Acinetobacter baumannii 53264 (1216295.3)															383						
Acinetobacter baumannii AA-014 (903937.3)															36						
Acinetobacter baumannii AB_1536-8 (1221244.3)															1221						
Acinetobacter baumannii AB_1582-8 (1221245.3)															2878						
Acinetobacter baumannii AB_1594-8 (1221247.3)															2169						
Acinetobacter baumannii AB_1595-8 (1221248.3)															614						
Acinetobacter baumannii AB_1649-8 (1221249.3)															564						
Acinetobacter baumannii AB_1650-8 (1221250.3)															3103						
Acinetobacter baumannii AB_1766_8 (1221251.3)															3234						
Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)															241						
Acinetobacter baumannii AB_2007-16-25-01-7 (1221253.3)															1254						
Acinetobacter baumannii AB_2007-16-27-01 (1221254.3)															2764						
Acinetobacter baumannii AB_2008-15-34-7 (1221255.3)															2391						
Acinetobacter baumannii AB_2008-15-45 (1221256.3)															1714						
Acinetobacter baumannii AB_2008-15-52 (1221257.3)							348								2392						
Acinetobacter baumannii AB_2008-15-69 (1221258.3)															1166						
Acinetobacter baumannii AB_2008-15-70 (1221259.3)															1789						
Acinetobacter baumannii AB_2008-15-71 (1221260.3)							2098								1309						
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)															540						
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)															170						
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)															2674						
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)															663						
Acinetobacter baumannii AB_515-8 (1221265.3)															3674						
Acinetobacter baumannii AB_908-12 (1221266.3)															948						
Acinetobacter baumannii AB_908-13 (1221267.3)			660				2504			1097					2958, 3675						
Acinetobacter baumannii AB_909-01-7 (1221269.3)															1769						
Acinetobacter baumannii AB_909-02-7 (1221270.3)			184				2938			3281					1397, 3566						
Acinetobacter baumannii AB_909-05 (1221271.3)															476						
Acinetobacter baumannii AB_TG19617 (1221273.3)															1990						
Acinetobacter baumannii AB_TG2018 (1221274.3)															690						
Acinetobacter baumannii AB_TG2022 (1221275.3)															3512						
Acinetobacter baumannii AB_TG2023 (1221276.3)															992						
Acinetobacter baumannii AB_TG2026 (1221277.3)															2766						
Acinetobacter baumannii AB_TG2028 (1221278.3)															843						
Acinetobacter baumannii AB_TG2030 (1221279.3)															1281						
Acinetobacter baumannii AB_TG2031 (1221280.3)															2139						
Acinetobacter baumannii AB_TG27335 (1221286.3)															611						
Acinetobacter baumannii AB_TG27339 (1221287.3)															2747						
Acinetobacter baumannii AB_TG27343 (1221288.3)								1466													
Acinetobacter baumannii AB0057 (480119.5)			1192				2703			2448					426, 1825						
Acinetobacter baumannii Ab11111 (1168588.3)															3517						
Acinetobacter baumannii AB1H8 (1222031.3)															1450						
Acinetobacter baumannii AB210 (886886.3)															1636						
Acinetobacter baumannii AB307-0294 (557600.4)			2320				1027			1215					1774, 3076						
Acinetobacter baumannii Ab33333 (1168590.3)															3235						
Acinetobacter baumannii AB405E4 (1222033.3)															1012						
Acinetobacter baumannii Ab44444 (1168591.3)															3201						
Acinetobacter baumannii AB4A3 (1222032.3)															955						
Acinetobacter baumannii AB5256 (1116235.3)															1217						
Acinetobacter baumannii AB5711 (1116236.3)															1540						
Acinetobacter baumannii AB900 (557601.3)															245						
Acinetobacter baumannii ABIsac_ColiR (1200351.3)															380						
Acinetobacter baumannii ABNIH1 (992402.3)															2434						
Acinetobacter baumannii ABNIH11 (1094475.3)										2573					57, 1130						
Acinetobacter baumannii ABNIH14 (1094478.3)															447						
Acinetobacter baumannii ABNIH15 (1094479.3)															190						
Acinetobacter baumannii ABNIH16 (1094480.3)															249						
Acinetobacter baumannii ABNIH18 (1094482.3)															273						
Acinetobacter baumannii ABNIH19 (1094483.3)							3530			1396					449, 792						
Acinetobacter baumannii ABNIH22 (1094486.3)															600						
Acinetobacter baumannii ABNIH23 (1094487.3)															482						
Acinetobacter baumannii ABNIH25 (1224165.3)															2489						
Acinetobacter baumannii ABNIH26 (1224166.3)															604						
Acinetobacter baumannii ABNIH3 (992404.3)															3185						
Acinetobacter baumannii ABNIH4 (992405.3)															1198						
Acinetobacter baumannii ABNIH5 (1094469.3)															1501						
Acinetobacter baumannii ABNIH6 (1094470.3)							655			742					61, 1300						
Acinetobacter baumannii AC12 (1198108.3)															783						
Acinetobacter baumannii AC30 (1224747.3)															1701						
Acinetobacter baumannii ACICU (405416.6)															462						
Acinetobacter baumannii ANC 4097 (1217638.3)			1147				2734			2416					374, 1799						
Acinetobacter baumannii ATCC 19606 (575584.3)															1852						
Acinetobacter baumannii AYE (509173.8)			2509				1142			1373					1960, 3285						
Acinetobacter baumannii BZICU-2 (1210907.3)															867						
Acinetobacter baumannii Canada BC1 (903924.3)			2084				585			3637					2333, 2866						
Acinetobacter baumannii Canada BC-5 (903895.3)			642				2142			1876					1297, 3679						
Acinetobacter baumannii IS-116 (903912.3)															2754						
Acinetobacter baumannii IS-123 (903899.3)			1385												3276						
Acinetobacter baumannii IS-143 (903911.3)															2481						
Acinetobacter baumannii IS-235 (903905.3)			3120				904			2990					1174, 3457						
Acinetobacter baumannii IS-251 (903906.3)			666				1217			3265					2973, 3606						
Acinetobacter baumannii IS-58 (903914.3)			2712				175			1316					324, 2012						
Acinetobacter baumannii MDR-TJ (889738.3)															3603						
Acinetobacter baumannii MDR-ZJ06 (497978.4)															393						
Acinetobacter baumannii MSP4-16 (1278070.3)															197						
Acinetobacter baumannii Naval-113 (903920.3)															259						
Acinetobacter baumannii Naval-13 (903904.3)			956												2358						
Acinetobacter baumannii Naval-17 (903896.3)															1588						
Acinetobacter baumannii Naval-18 (903897.3)															640						
Acinetobacter baumannii Naval-2 (903922.3)															1778						
Acinetobacter baumannii Naval-21 (903923.3)			321				1638			628					3181						
Acinetobacter baumannii Naval-57 (903927.3)																					
Acinetobacter baumannii Naval-72 (903908.3)															1754						
Acinetobacter baumannii Naval-78 (903936.3)															2661						
Acinetobacter baumannii Naval-81 (903898.3)			2843												489						
Acinetobacter baumannii Naval-82 (903921.3)															3401						
Acinetobacter baumannii Naval-83 (903909.3)			216				2815			2973					975, 2284						
Acinetobacter baumannii NIPH 1362 (1217642.3)															2577						
Acinetobacter baumannii NIPH 146 (1217639.3)															863						
Acinetobacter baumannii NIPH 1669 (1217643.3)			2435				1105								3266						
Acinetobacter baumannii NIPH 1734 (1217644.3)																					
Acinetobacter baumannii NIPH 190 (1217640.3)															3308						
Acinetobacter baumannii NIPH 201 (1217630.3)															3374						
Acinetobacter baumannii NIPH 2061 (1217645.3)															364						
Acinetobacter baumannii NIPH 24 (1217646.3)															3264						
Acinetobacter baumannii NIPH 290 (1217631.3)			2522				1160			1477					2069, 3365						
Acinetobacter baumannii NIPH 329 (1217632.3)															3237						
Acinetobacter baumannii NIPH 335 (1217633.3)															3367						
Acinetobacter baumannii NIPH 410 (1217634.3)										1472					3455						
Acinetobacter baumannii NIPH 527 (1217635.3)			2568				1103			1415					2000, 3354						
Acinetobacter baumannii NIPH 528 (1217636.3)															367						
Acinetobacter baumannii NIPH 60 (1217647.3)															2753						
Acinetobacter baumannii NIPH 601 (1217637.3)															3207						
Acinetobacter baumannii NIPH 615 (1217641.3)															887						
Acinetobacter baumannii NIPH 67 (1217627.3)															3312						
Acinetobacter baumannii NIPH 70 (1217628.3)										1227					3133						
Acinetobacter baumannii NIPH 80 (1217629.3)															3688						
Acinetobacter baumannii OIFC0162 (903907.3)							2459			2280					1514						
Acinetobacter baumannii OIFC021 (903928.3)			2005												3217						
Acinetobacter baumannii OIFC032 (903890.3)															726						
Acinetobacter baumannii OIFC035 (903926.3)															1484						
Acinetobacter baumannii OIFC047 (903933.3)							2414			2219					1285						
Acinetobacter baumannii OIFC065 (903932.3)															3053						
Acinetobacter baumannii OIFC074 (903901.3)			2314				1898			2941					267, 1297						
Acinetobacter baumannii OIFC087 (903929.3)															1184						
Acinetobacter baumannii OIFC098 (903902.3)															3335						
Acinetobacter baumannii OIFC099 (903930.3)															1859						
Acinetobacter baumannii OIFC109 (903892.3)			1472					2891							3139						
Acinetobacter baumannii OIFC110 (903910.3)															1212						
Acinetobacter baumannii OIFC111 (903935.3)															801						
Acinetobacter baumannii OIFC137 (903889.3)			121												3059						
Acinetobacter baumannii OIFC143 (903893.3)															3814						
Acinetobacter baumannii OIFC180 (903903.3)															3060						
Acinetobacter baumannii OIFC189 (903894.3)															3102						
Acinetobacter baumannii OIFC338 (903934.3)															888						
Acinetobacter baumannii SDF (509170.6)															2995						
Acinetobacter baumannii TCDC-AB0715 (980514.3)															404						
Acinetobacter baumannii TYTH-1 (1100841.3)															619						
Acinetobacter baumannii UMB001 (933263.3)															469						
Acinetobacter baumannii UMB003 (933265.3)															1276						
Acinetobacter baumannii W7282 (981329.3)															705						
Acinetobacter baumannii WC-136 (903916.3)										2819					708						
Acinetobacter baumannii WC-141 (903915.3)															3235						
Acinetobacter baumannii WC-323 (903918.3)															2772						
Acinetobacter baumannii WC-348 (903919.3)							2820			2641					2101						
Acinetobacter baumannii WC-487 (903917.3)			2083												2825						
Acinetobacter baumannii WC-692 (903913.3)															552						
Acinetobacter baumannii WC-A-694 (903925.3)			2206												3661						
Acinetobacter baumannii WC-A-92 (903931.3)															1540						
Acinetobacter baumannii WM99c (945555.3)															1722						
Acinetobacter baumannii ZWS1122 (1223564.3)															488						
Acinetobacter baumannii ZWS1219 (1224141.3)															416						
Acinetobacter calcoaceticus ANC 3680 (1217653.3)															531						
Acinetobacter calcoaceticus ANC 3811 (1217690.3)															2707						
Acinetobacter calcoaceticus NIPH 13 (1217654.3)															1164						
Acinetobacter calcoaceticus PHEA-2 (871585.3)															3256						
Acinetobacter calcoaceticus RUH2202 (575585.3)															2627						
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)															2768						
Acinetobacter calcoaceticus TG19585 (1221293.3)															1420						
Acinetobacter calcoaceticus TG19588 (1221294.3)															2463						
Acinetobacter calcoaceticus TG19593 (1221295.3)															1786						
Acinetobacter haemolyticus ATCC 19194 (707232.3)										2599					2105, 2106						
Acinetobacter haemolyticus CIP 64.3 (1217659.3)										1726					2762						
Acinetobacter haemolyticus NIPH 261 (1217986.3)										2704					158						
Acinetobacter haemolyticus TG21157 (1221299.3)										1455					992						
Acinetobacter johnsonii ANC 3681 (1217662.4)															596						
Acinetobacter johnsonii CIP 64.6 (1217663.3)															300						
Acinetobacter johnsonii SH046 (575586.4)															1694						
Acinetobacter junii CIP 107470 (1217666.3)															3391						
Acinetobacter junii CIP 64.5 (1217664.3)															162						
Acinetobacter junii NIPH 182 (1217665.3)															2949						
Acinetobacter junii SH205 (575587.3)															2407						
Acinetobacter lwoffii CIP 70.31 (1217667.3)												2725			192						
Acinetobacter lwoffii NCTC 5866 (981327.3)															1459						
Acinetobacter lwoffii NIPH 478 (1217668.3)												1082			2258						
Acinetobacter lwoffii NIPH 715 (1217669.3)															456						
Acinetobacter lwoffii SH145 (575588.3)															119						
Acinetobacter lwoffii TG19636 (1221307.3)															3033						
Acinetobacter lwoffii WJ10621 (1046625.3)															1332						
Acinetobacter pittii ANC 3678 (1217673.3)															263						
Acinetobacter pittii ANC 4050 (1217691.3)															2481						
Acinetobacter pittii ANC 4052 (1217689.3)															1228						
Acinetobacter pittii CIP 70.29 (1217672.3)																					
Acinetobacter pittii D499 (1086014.3)																					
Acinetobacter pittii TG6411 (1221309.3)																					
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)												2483			2010						
Acinetobacter radioresistens NIPH 2130 (1217674.3)												2721			1325						
Acinetobacter radioresistens SH164 (575589.3)												1184			1967						
Acinetobacter radioresistens SK82 (596318.3)												1805			1566						
Acinetobacter radioresistens TG02010 (1221310.3)												2666			517						
Acinetobacter radioresistens WC-A-157 (903900.3)												1308			611						
Actinobacillus pleuropneumoniae L20 (416269.6)							1090	1819	1818	362	786	1899	1482	1522	2065						
Actinobacillus pleuropneumoniae S8 (1224142.3)							1214	1427	1426	687	186	2025	1622	2048	154, 346						
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)							1157	1880	1879	389	815	1955	1556	1581	827, 2118						
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)							1095	1838	1837	407	782	1914	1504	1531	794, 2079						
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)							1166	1899	1898	392	823	1974	1580	1605	835, 2140						
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)							1089	1794	1793	400	781	1867	1477	1503	806, 2031						
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)							1122	1847	1846	378	813	1922	1509	1542	844, 2082						
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)							2079	1556	1555	947	673	1058	2184	813	80, 661						
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)							1056	1777	1776	372	756	1855	1448	1477	768, 2022						
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)							1069, 1070	1799	1798	383	757	2177	1459	1497	771, 2008						
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)							1193	1927	1926	426	829	2001	1587	1613	857, 2162						
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)							1122	1879	1878	368	815	1958	1543	1500	843, 2124						
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)							1158	1878	1877	383	811	1953	1561	1586	823, 2115						
Actinomyces cardiffensis F0333 (888050.3)							1189	1187		1186	1183	1184		1182	1190						
Actinomyces graevenitzii C83 (435830.3)							960	962		963	1011	965		966	959						
Actinomyces naeslundii str. Howell 279 (1115803.3)							1291	1293		1294	2057	2642		2060							
Actinomyces odontolyticus ATCC 17982 (411466.7)							1008	1005	563	1004	993	1003	1233	992	1009						
Actinomyces odontolyticus F0309 (649742.3)							1226	1224	1366	1223	1207	1222	1742	1206	1227						
Actinomyces oris K20 (871541.3)							1008	997			974	981			1585						
Actinomyces turicensis ACS-279-V-Col4 (883077.3)							586	583		582	579	581		578	587						
Actinomyces urogenitalis DSM 15434 (525246.3)							1171	2201			1574	1577		1575	1172				][		
Actinomyces viscosus C505 (562973.4)							528	532			563	552		559	527				][		
Aerococcus viridans ATCC 11563 (655812.3)																					
Aerococcus viridans LL1 (1175629.3)																					
Aeromonas caviae Ae398 (878320.4)							517	516	515	513	512	514	2947	519	119						
Aeromonas hydrophila 113 (1268075.3)							1938	1937	1936	1934	1933	1935	545	1939	3621						
Aeromonas hydrophila 14 (1268074.3)							1811	1812	1813	1815	1816	1814	3709	1810	2014						
Aeromonas hydrophila 173 (1268076.3)							3262	3261	3260	1553	1551, 1552	3259	815	3263	3579						
Aeromonas hydrophila 187 (1268077.3)							4052	4053	4054	4056	4057	4055	3035	4051	3500						
Aeromonas hydrophila 259 (1268079.3)							3719	3720	3721	3723	3724	3722	1901	3718	1526						
Aeromonas hydrophila 277 (1268080.3)							2049	2048	2047	2045	2044	2046	975	2050	3931						
Aeromonas hydrophila ML09-119 (1288394.3)							554	553	552	550	549	551	2842	555	89						
Aeromonas hydrophila SNUFPC-A8 (1232673.3)							1201	1200	1199	1197	1196	1198	111	1202	3924						
Aeromonas hydrophila SSU (1073377.4)							4090	4089	4088	4086	4085	4087	1808	4091	3642						
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)							525, 2478	524	523	521	520	522	2651	526	75						
Aeromonas media WS (1208104.3)							2432	2431	2430	2428	2427	2429			2224						
Aeromonas veronii AER39 (1073382.3)							1456	1457	1458	1460	1461	1459	2133	1454	3201						
Aeromonas veronii AER397 (1073384.3)							3207	3208	3209	3211	3212	3210	2124	3206	3748						
Aeromonas veronii AMC34 (1073383.3)							334	335	336	338	339	337	2471	333	905						
Aeromonas veronii AMC35 (1073385.3)							4011	4012	4013	4015	4016	4014	2947	4010	495						
Aeromonas veronii B565 (998088.4)							496	495	494	492	491	493	1575	497	4029						
Afipia birgiae 34632 (1197906.5)															4027						
Aggregatibacter aphrophilus F0387 (679198.3)							1228	1227	1226	1133	2087	1134	55	1064	1169, 1956						
Aggregatibacter aphrophilus NJ8700 (634176.4)							2215	2216	2217	87	348	86	521	159	48, 1939						
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)						1796									1014, 3023						
Agrobacterium tumefaciens str. C58 (176299.10)						4203									312, 3790, 4094						
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)						1610									680, 4866						
Akkermansia muciniphila ATCC BAA-835 (349741.6)							2130	2407	1151		2475	398		1697	56						
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)															1572						
Alistipes finegoldii DSM 17242 (679935.3)	1365	1308		397	1220	2316, 3102								374	1712	][					
Alistipes indistinctus YIT 12060 (742725.3)	151	1225	1770	1721	1769	914, 1930								1308	1246	][					
Alistipes onderdonkii DSM 19147 (1120974.3)	2081	672		3055	1716	1884, 2521								3069	1363	][					
Alistipes putredinis DSM 17216 (445970.5)		602		1072	677	475, 2279															
Alistipes shahii WAL 8301 (717959.3)														219	273	][					
Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)																					
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)																					
Anaerococcus prevotii DSM 20548 (525919.6)																					
Anaerococcus vaginalis ATCC 51170 (655811.4)														757	756	][					
Anaerofustis stercorihominis DSM 17244 (445971.6)																					
Anaerostipes caccae DSM 14662 (411490.6)								292													
Anaerostipes hadrus DSM 3319 (649757.3)																					
Anaerostipes sp. 3_2_56FAA (665937.3)																					
Anaerotruncus colihominis DSM 17241 (445972.6)																					
Arcanobacterium haemolyticum DSM 20595 (644284.3)							291	289		288	284	285		283	292						
Arcobacter butzleri ED-1 (944546.4)	1732	236	1476	1141	2053	142, 303									401						
Arcobacter butzleri JV22 (888827.3)	2240	1537	299	819	2091	1422, 1606									1718						
Arcobacter butzleri RM4018 (367737.6)	1864	243	1557	1199	2177	149, 310									416						
Atopobium minutum 10063974 (997872.3)																					
Atopobium parvulum DSM 20469 (521095.6)															722						
Atopobium rimae ATCC 49626 (553184.4)																					
Bacillus amyloliquefaciens DSM7 (692420.6)							3077	3076	3075	3072	3073	3074		3957	2343						
Bacillus amyloliquefaciens FZB42 (326423.5)							2836	2835	2834	2831	2832	2833	2910	3622	2107						
Bacillus atrophaeus 1013-1 (723888.3)							169, 1527	170	171	174	173	172		2596	2193						
Bacillus atrophaeus 1013-2 (723889.3)							2139, 3118	3119	3120	3123	3122	3121		1094	460						
Bacillus atrophaeus 1942 (720555.4)							2681, 2801	2680	2679	2676	2677	2678		3501	1872						
Bacillus atrophaeus ATCC 49822-1 (743710.3)							251, 3676	3677	3678	3681	3680	3679		1008	1962						
Bacillus atrophaeus ATCC 49822-2 (743711.3)							2588, 4070	4069	4068	4065	4066	4067		2067	1209						
Bacillus atrophaeus ATCC 9372-1 (903520.3)							626, 2051	627	628	631	630	629		301	3102						
