Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Sulfolobus solfataricus P2 (273057.1)	 	2179	 	 	 	 	186	186	936_13	2200_16	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	33	 	 	 	1026	1027	139_13	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	925	 	 	 	1361	1361	543_13	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	1500	 	355	356	268_7	1169	1169	1228_12	1325_16, 1389_15	 
Actinomyces odontolyticus F0309 (649742.3)	 	650	 	894	895	759_7	1807	1807	1747_12	1580_15, 1649_16	 
Actinomyces oris K20 (871541.3)	1986	2096	 	1290	 	1402_7, 76_7	2004	2004	1912_12	1728_15, 1847_16	 
Actinomyces urogenitalis DSM 15434 (525246.3)	1803	1982	 	611	2193	247_7, 749_7	1880	1880	1726_12	1678_16, 2099_15	 
Actinomyces viscosus C505 (562973.4)	1703	1567	57	2261	2260	1152_7, 2390_7	1685	1685	1785_12	1858_16, 2010_15	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	995	712	 	259	258	1306_7	836	836	876_12	1061_15, 752_16	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1619	37	 	 	493	281_7	1647, 1648	1648	1615_12	1718_16, 1762_15	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1718	412	 	 	34	131_7, 628_7	1746, 1747	1746, 1747	1715_12	1820_16, 308_15	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	863	607	 	 	443	183_7, 342_7	834, 835	834, 835	867_12	718_15, 762_16	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1850	1076	1211	 	1075, 1388	649_7	452	452	2021_12	2007_15	 
Corynebacterium amycolatum SK46 (553204.6)	273	1405	1393	725	726	1106_7	1174	1174	808_12	150_15	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2246	 	27	 	 	2160_7	867	867	2421_12	2407_15	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1346	713	 	 	1700	589_7	1015	1015	847_12	1235_15	 
Corynebacterium striatum ATCC 6940 (525268.3)	2321	2217	1117	 	1116, 2218	1410_7	2147	2147	878_12	2163_15	 
Corynebacterium tuberculostearicum SK141 (553206.4)	793	 	 	 	2109	699_7	1328	1328	934_12	922_15	 
Corynebacterium ulcerans 809 (945711.3)	900	 	832	 	1940	807_8	1274	1274	1033_12	1018_15	 
Corynebacterium ulcerans BR-AD22 (945712.3)	906	 	838	 	2099	813_8	1277	1277	1037_12	1025_15	 
Dietzia cinnamea P4 (910954.3)	2035_1	2716	2250	1790	1791	1789_9, 2057_7	2382	2382	2753_12	581_15, 745_16	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	2091	1118, 4277	487	486	2868_7, 488_9	1184	1184	1397_12	3100_16, 3179_15	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	244	1563, 566	3426	3425	3191_7, 3427_9	459	459	4041_12	2875_15	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	1970	1062, 4016	457	456	2700_7, 458_9	1125	1125	1326_12	2925_16, 3002_15	 
Mycobacterium abscessus (36809.5)	4364	1951	2956, 3625	582	581	1273_7, 583_9	2868	2868	2342_12	3318_15	 
Rhodococcus equi 103S (685727.3)	 	2862	 	590	589	1303_7, 591_9	2169	2169	2512_12	3112_15, 4483_16	 
Rhodococcus equi ATCC 33707 (525370.3)	3389_1	4422	 	2460	2461	2459_9, 3971_7	19	19	1662_12	3335_15, 433_16	 
