Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	1378, 1379	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	1589_19, 1590_17	 
Actinomyces oris K20 (871541.3)	 	 	 	 	1736_19, 1737_17	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	 	2108_19, 2109_17	 
Actinomyces viscosus C505 (562973.4)	 	 	 	 	2000_17, 2001_19	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	1051_17, 1052_19	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	 	 	 	1752_17, 1753_19	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	 	298_17, 299_19	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	 	 	 	727_19, 728_17	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	 	10_8, 11_7, 1126_6, 9_5	 	 	1293_17, 1294_19	 
Corynebacterium amycolatum SK46 (553204.6)	 	1519_6, 2147_8, 2148_5, 926_7	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	1065_6, 1875_5, 1876_8, 1878_7	 	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	1448_6, 733_5, 734_8, 736_7	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	 	1870_6, 486_5, 487_8, 488_7	 	 	2003_19, 2004_17	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	1654_7, 1655_8, 1656_5, 638_6	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	 	1588_7, 1589_8, 1590_5, 1823_6	 	 	1855_17, 1856_19	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	1594_7, 1595_8, 1596_5, 1915_6	 	 	1951_17, 1952_19	 
Dietzia cinnamea P4 (910954.3)	 	2506_7, 2775_5, 39_6, 757_6	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	2049_7, 2056_8, 2057_5, 3276_6	 	 	1384_19, 1385_17	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	163_7, 170_8, 171_5, 2778_6	 	 	4028_19, 4029_17	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	1932_7, 1939_8, 1940_5, 3091_6	 	 	1315_19, 1316_17	 
Mycobacterium abscessus (36809.5)	 	1079_6, 1995_5, 1996_8, 2003_7, 2660_6, 2815_7, 3452_6	 	 	2672_17, 2673_19	 
Rhodococcus equi 103S (685727.3)	 	2820_7, 2825_8, 2826_5, 3185_6, 341_6, 3924_6	 	 	845_17, 846	 
Rhodococcus equi ATCC 33707 (525370.3)	 	1373_6, 3261_6, 3483_6, 4322_5, 4323_8, 4328_7	 	 	2193, 2194_17	 
Rhodococcus erythropolis PR4 (234621.6)	 	1692_6, 248_6, 2860_6, 354_6, 4110_7, 4116_8, 4117_5, 5105_6	 	 	5373_19, 5374_17	 
Rhodococcus erythropolis SK121 (596309.3)	 	1738_6, 2063_7, 2069_8, 2070_5, 4762_6, 4833_6, 65_6	 	 	340_19, 341_17	 
Brevibacterium linens BL2 (321955.4)	 	3117_7, 3124_8, 3125_6, 3126_5	 	 	2863, 2864	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	1544_7, 1549_8, 1550_6, 1551_5	 	 	176, 177	 
Kocuria rhizophila DC2201 (378753.5)	 	1266_7, 1270_8, 1271_6, 1272_5	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	 	310_7, 314_8, 315_6, 316_5	 	 	2443_17, 2444_19	 
Micrococcus luteus NCTC 2665 (465515.4)	 	1152_7, 1160_8, 1161_6, 1162_5	 	 	1262, 1263	 
Micrococcus luteus SK58 (596312.3)	 	411_7, 452_8, 453_6, 454_5	 	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	1881_5, 1882_6, 1883_8, 1887_7	 	 	1713, 1714	 
Rothia dentocariosa M567 (563032.4)	 	302_5, 303_6, 304_8, 308_7	 	 	133_17, 134_19	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	 	344_17, 345_19	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	 	1097_19, 1098_17	 
Tropheryma whipplei TW08/27 (218496.4)	 	595_7, 596_8, 597_6, 598_5	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	372_5, 373_6, 374_8, 375_7	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	 	32_6, 4316_7, 4322_8, 4323_5, 5226_6	 	 	6044_19, 6045_17, 612_17, 613_19	 
Propionibacterium acnes 266 (909952.3)	 	747_5, 748_6, 749_8, 760_7	 	 	195, 196	 
Propionibacterium acnes 6609 (1031709.3)	 	752_5, 753_6, 754_8, 765_7	 	 	186_19, 187	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	2233_7, 2244_8, 2245_6, 2246_5	 	 	1135_19, 1136_17	 
Propionibacterium acnes HL001PA1 (765105.8)	 	1464_7, 1475_8, 1476_6, 1477_5	 	 	1923_19, 1924_17	 
Propionibacterium acnes HL002PA1 (765115.3)	 	1197_5, 1198_6, 1199_8, 1210_7	 	 	544, 545_17	 
Propionibacterium acnes HL002PA2 (765116.3)	 	2237_7, 2249_8, 2250_6, 2251_5	 	 	764, 765	 
Propionibacterium acnes HL002PA3 (765117.3)	 	2138_7, 2149_8, 2150_6, 2151_5	 	 	1044, 1045	 
Propionibacterium acnes HL005PA1 (765096.3)	 	2299_7, 2310_8, 2311_6, 2312_5	 	 	483, 484	 
Propionibacterium acnes HL005PA2 (765097.3)	 	1536_8, 1537_6, 1538_5, 859_7	 	 	1248, 1249	 
Propionibacterium acnes HL005PA4 (765099.3)	 	1618_7, 1629_8, 1630_6, 1631_5	 	 	647, 648_17	 
Propionibacterium acnes HL007PA1 (765118.3)	 	1554_5, 1555_6, 1556_8, 1567_7	 	 	369, 370	 
Propionibacterium acnes HL013PA1 (765069.3)	 	1504_7, 1515_8, 1516_6, 1517_5	 	 	416_17, 417	 
Propionibacterium acnes HL013PA2 (765070.3)	 	640_7, 651_8, 652_6, 653_5	 	 	1430, 1431	 
Propionibacterium acnes HL020PA1 (765065.3)	 	2010_7, 2021_8, 2022_6, 2023_5	 	 	385, 386	 
Propionibacterium acnes HL025PA1 (765089.3)	 	1981_7, 1992_8, 1993_6, 1994_5	 	 	395_17, 396_19	 
Propionibacterium acnes HL027PA1 (765111.3)	 	2047_7, 2059_8, 2060_6, 2061_5	 	 	1666, 1667_17	 
Propionibacterium acnes HL027PA2 (765112.3)	 	848_7, 860_8, 861_6, 862_5	 	 	2019, 2020	 
Propionibacterium acnes HL030PA1 (765103.3)	 	826_5, 827_6, 828_8, 839_7	 	 	333, 334	 
Propionibacterium acnes HL036PA1 (765106.3)	 	1494_5, 1495_6, 1496_8, 1507_7	 	 	611, 612	 
Propionibacterium acnes HL036PA2 (765107.3)	 	2144_7, 2155_8, 2156_6, 2157_5	 	 	268, 269	 
Propionibacterium acnes HL037PA1 (765122.3)	 	1672_5, 1673_6, 1674_8, 1685_7	 	 	616_17, 617	 
Propionibacterium acnes HL037PA2 (765123.3)	 	793_7, 804_8, 805_6, 806_5	 	 	2385_17, 2386_19	 
Propionibacterium acnes HL038PA1 (765085.3)	 	1357_5, 1358_6, 1359_8, 1370_7	 	 	578, 579	 
Propionibacterium acnes HL043PA1 (765072.3)	 	2200_7, 2211_8, 2212_6, 2213_5	 	 	1548, 1549	 
Propionibacterium acnes HL043PA2 (765073.3)	 	1853_7, 1864_8, 1865_6, 1866_5	 	 	131, 132	 
Propionibacterium acnes HL044PA1 (765109.3)	 	542_5, 543_6, 544_8, 555_7	 	 	1567_17, 1568_19	 
Propionibacterium acnes HL045PA1 (765068.3)	 	1566_5, 1567_6, 1568_8, 1579_7	 	 	632, 633	 
Propionibacterium acnes HL046PA1 (765094.3)	 	1800_7, 1811_8, 1812_6, 1813_5	 	 	699, 700_17	 
Propionibacterium acnes HL046PA2 (765095.3)	 	820_5, 821_6, 822_8, 833_7	 	 	2050, 2051	 
Propionibacterium acnes HL050PA1 (765100.3)	 	818_5, 819_6, 820_8, 832_7	 	 	2043_19, 2044_17	 
Propionibacterium acnes HL050PA2 (765101.3)	 	2130_7, 2140_8, 2141_6, 2142_5	 	 	369_19, 370_17	 
