Organism	ThrA	Asd	Hom	ThrB	ThrC
Sulfolobus solfataricus P2 (273057.1)	796	795_2	595	2151_6	797
Methanobrevibacter smithii ATCC 35061 (420247.6)	811	808_2	150	 	207
Methanosphaera stadtmanae DSM 3091 (339860.6)	105	108_2	469	 	568
Actinomyces odontolyticus ATCC 17982 (411466.7)	487	485_2	1652	1651_6	900
Actinomyces odontolyticus F0309 (649742.3)	1309	1308_2	476	477_6	1838
Actinomyces oris K20 (871541.3)	297	 	496	497_6	140
Actinomyces urogenitalis DSM 15434 (525246.3)	291	292_2	1337	1338_6	177
Actinomyces viscosus C505 (562973.4)	1004, 1006	1003_2	347	346_6	1222
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	346_6	 
Mobiluncus curtisii ATCC 43063 (548479.6)	626	625_2	368	366_6	367
Mobiluncus curtisii ATCC 51333 (887326.3)	168	167_2	719	717_6	718
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	303	304_2	93	95_6	94
Corynebacterium ammoniagenes DSM 20306 (649754.3)	516	517_2	1866	1867_6	2081
Corynebacterium amycolatum SK46 (553204.6)	2132	2133_2	257	256_6	1399
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	2469	2464_2	2264	2265_6	2381
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	193	194_2	1327	1326_6	719
Corynebacterium striatum ATCC 6940 (525268.3)	1529	1528_2	2337	2338_6	1009
Corynebacterium tuberculostearicum SK141 (553206.4)	479	480_2	811	812_6	1142
Corynebacterium ulcerans 809 (945711.3)	239	241_2	917	918_6	1623
Corynebacterium ulcerans BR-AD22 (945712.3)	233	235_2	925	926_6	1630
Dietzia cinnamea P4 (910954.3)	2802	2800_2	1080	1082_6	1081
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	327	326_2	2619	2617_6	2618
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	1260	1259_2	1133	1131_6	1132
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	311	310_2	2468	2466_6	2467
Mycobacterium abscessus (36809.5)	372	373_2	1472	1474_6	1473
Rhodococcus equi 103S (685727.3)	441	442_2	1743	1745_6	1744
Rhodococcus equi ATCC 33707 (525370.3)	746	745_2	997	995_6	996
