Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Sulfolobus solfataricus P2 (273057.1)	617_1, 618_1	 	 	 	1058, 811	 	 	 	 	2216_18, 2316_18, 329_18	 	574, 575	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	26_1, 356_1, 357_4	 	 	 	1484, 593, 636, 767	 	156_11	 	 	1390_18	 	1658	 	784_24
Methanosphaera stadtmanae DSM 3091 (339860.6)	647_1, 649_4	 	 	 	354, 492	 	472_11	 	 	230_18	 	1075	 	916_24, 917_25, 918_26
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	1065	 	 	1919_16	 	1216_18, 1282_18, 135_18	52	467	267	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	835	 	 	28_16	 	1693_18, 1758_18, 184_18	100	1214	758	 
Actinomyces oris K20 (871541.3)	 	 	1303	1229_8, 1303	1342, 2121	 	 	263_15	 	2089_18, 2095_18	1652	 	1403	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	456_8	686	 	1219_11	354_16	 	1974_18, 1981_18	1836	473	750	 
Actinomyces viscosus C505 (562973.4)	 	 	 	781_8	1561, 2321	 	464_11	888_15	 	1568_18, 1594_18	2097	 	2391	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	203_8	1367	 	 	 	 	713_18, 716_18	1092	 	1304	 
Mobiluncus curtisii ATCC 43063 (548479.6)	1100_2	 	 	869_8	1111	 	 	 	 	1531_18, 1575_18	87	885	283	 
Mobiluncus curtisii ATCC 51333 (887326.3)	1240_2	 	 	1007_8	1251	 	 	 	 	1629_18, 1674_18	441	1020	630	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	1340_2	 	 	1591_8	1329	 	 	 	 	908_18, 946_18	581	1574	181	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	 	 	 	103_8	1478, 2281	 	8_11	59_15, 720_15	1150	2075_18, 2086_18, 2142_18	1135	1329	1680	 
Corynebacterium amycolatum SK46 (553204.6)	1355_2, 1356_1	1720_5	 	823_8	1962, 807	 	2126_11	884_15	1061	1388_18, 1404_18	1509	1818	505	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	 	 	1963_8	1635, 439	 	1874_11	1921_15	1809	1838_18, 1854_18	1078	652	1970	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	54_1, 55_2	 	 	623_8	280	 	732_11	785_15	1624	714_18, 720_18	1441	397	1801	 
Corynebacterium striatum ATCC 6940 (525268.3)	 	 	 	572_8	1020, 283	 	485_11	530_15	1834	1002_18, 1014_18	1860	1984	89	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	1559_8	1867	 	1657_11	1606_15, 2173_15	609	1134_18, 1149_18	629	2176	1098	 
Corynebacterium ulcerans 809 (945711.3)	 	 	 	1504_8	2085	 	1591_11	1546_15, 438_15	 	1614_18, 1629_18	1804	1876	1655	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	 	 	 	2241	 	1597_11	1550_15, 435_15	 	1621_18, 1636_18	1901	1972	1663	 
Dietzia cinnamea P4 (910954.3)	556_2, 557_1	565_5	843	1583_8, 843	1218, 1267, 1849, 3094	 	2776_11	1969_15	1786, 2847	1823_18, 2715_18, 986_18	749	1927	590	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	179_1, 180_2	 	2442_7	 	 	 	1495_11, 2059_11	1313_15	 	2082_18, 2087_18	2575	672	4527	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	22_1, 23_2	 	3639_7	 	3470	 	172_11, 4174_11	3960_15	 	235_18, 239_18	1092	3606	1319	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	172_1, 173_2	 	2294_7	 	 	 	1421_11, 1941_11	1249_15	 	1962_18, 1966_18	2424	638	4253	 
Mycobacterium abscessus (36809.5)	122_1, 123_2, 2529_1	 	1600_7, 4423_7, 858_7	3872_8	231, 3450, 3651, 4374, 850, 883	 	1994_11	2745_15	 	1955_18, 1968_18	1519	4961, 752	3812	 
Rhodococcus equi 103S (685727.3)	2533_2, 2534_1, 44_1, 45_2	 	3029_7, 4196_7	 	3415	 	2827_12, 463_11	 	2045	2845_18, 2860_18	3638	837	3539	3922_26
Rhodococcus equi ATCC 33707 (525370.3)	1338_1, 1339_4, 1641_1, 1642_2, 4864_2, 4865_1	3950_5	3417_7, 4669_7	3398_8	3025, 4780	 	4321_11, 725_11	786_15	135	1341_18, 4424_18, 4439_18, 4582_18	2811	2201	2910	 
Rhodococcus erythropolis PR4 (234621.6)	3855_2, 3856_1, 481_1, 482_2, 6249_1	4767_5	1024_7, 4357_7, 5684_7	4376_8	1507, 1509, 1907, 2581, 742, 974	 	4118_11	6218_15	3331	4140_18, 4166_18, 4374_19	2261	5383	2405	 
Rhodococcus erythropolis SK121 (596309.3)	3242_1, 3795_2, 3796_1, 4197_1, 4198_2	5345_5	1440_7, 4592_7, 619_7	5435_8	1114, 1391, 4489, 5854, 5856	 	2071_11	 	2851	1863_18, 1888_18, 5437_19	2188	350	1288	 
Brevibacterium linens BL2 (321955.4)	112_2, 113_1	951_5	1490, 3160_7	1490, 2508_8	2664	 	 	460_15	1255	3140_18, 3683_18	1928	251	2344	1028_25, 327_24, 329_26
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	828_7	 	2029, 220	 	 	 	28	1159_18, 1568_18	939	572	689	 
Kocuria rhizophila DC2201 (378753.5)	1167_1, 1168_2	 	2018_7	 	1014, 570	 	 	 	1909	1070_18, 1438_18	971	412	640	 
Kocuria rhizophila P7-4 (1029824.3)	169_1, 170_2	1398_5	2251_7	2284_8	2172, 31, 794	 	 	 	1676	1863_18, 77_18	427	1150	731	 
Micrococcus luteus NCTC 2665 (465515.4)	1043_1, 1044_2	 	 	 	1672	 	1837_11	2217_15	2145	1282_18, 1285_18	798	1799	1615	 
Micrococcus luteus SK58 (596312.3)	940_2, 941_1	2187_5	2295	2295, 51_8	1268, 2081, 521	 	2373_11	 	799	1030_18, 543_18	1706	151	1926	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	808_7	 	347	 	 	665_15	2018	13_18, 1654_18	1705	505	262	 
Rothia dentocariosa M567 (563032.4)	 	 	750_7	 	1361	 	 	569_15	883	1043_18, 76_18	124	1529	1275	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	471_7	 	841	 	 	152_15	368	1102_18, 291_18	338	727	925	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	49_7	 	363	 	 	153_15	782	1149_18, 626_18	1104	252	446	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	891	 	 	 	 	580_18	 	897	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	900	 	 	 	 	390_18	 	906	775	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	5439_2, 5440_1	3812_5	1399_7	4553_8	1254, 1419, 3933, 3948, 4937, 5423, 700	 	1644_11, 351_11, 4255_11, 5828_11, 6240_11	 	 	4254_18, 4375_18, 4389_18	 	2698	3252	 
Propionibacterium acnes 266 (909952.3)	1180_1, 1181_2, 182_2	 	1383_7	1593_8	908, 909	 	 	385_16	 	708_18, 715_18	1726	2035	1858	 
Propionibacterium acnes 6609 (1031709.3)	1201_1, 1202_2, 174_2	 	1406_7	 	930	 	 	384_16	 	712_18, 720_18	1769	2067	1894	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1123_2, 1838_2, 1839_1	 	1635_7	115_8	 	 	 	1342_16	 	2284_18, 2293_18	245	545	373	 
Propionibacterium acnes HL001PA1 (765105.8)	1062_2, 1063_1	 	860_7	651_8	 	 	 	2126_16	 	1517_18, 1525_18	211	509	337	 
Propionibacterium acnes HL002PA1 (765115.3)	1634_1, 1635_2, 532_2	 	2329_7	2182_8, 2183_8	1358, 1359	 	 	725_16	 	1155_18, 1163_18	2055	15	1928	 
Propionibacterium acnes HL002PA2 (765116.3)	1816_2, 1817_1, 752_2	 	1611_7	 	2089, 2090	 	 	956_16	 	2283_18, 2290_18	1267	14	1395	 
Propionibacterium acnes HL002PA3 (765117.3)	1032_2, 1719_2, 1720_1	 	1515_7	 	1991, 1992	 	 	1236_16	 	2184_18, 2191_18	753	2395	625	 
Propionibacterium acnes HL005PA1 (765096.3)	1878_2, 1879_1	 	1705_7	 	2149, 2150	 	 	293_16	 	2343_18, 2351_18	1610	803	977	 
Propionibacterium acnes HL005PA2 (765097.3)	1261_2, 442_2, 443_1	 	2071_7	1824_8	712, 713	 	 	1058_16	 	1570_18, 1577_18	12	2020	2234	 
Propionibacterium acnes HL005PA4 (765099.3)	1200_2, 1201_1, 635_2	 	1873_7	2010_8, 2011_8	1471, 1472	 	 	830_16	 	1665_18, 1673_18	2384	116	2256	 
Propionibacterium acnes HL007PA1 (765118.3)	1986_1, 1987_2	 	2342_7	 	1713, 1714	 	 	559_16	 	1515_18, 1523_18	2437	1330	2225	 
Propionibacterium acnes HL013PA1 (765069.3)	1084_2, 1085_1, 429_2	 	877_7	1944_8, 1945_8	1357, 1358	 	 	236_16	 	1550_18, 1558_18	2080	2151	2300	 
Propionibacterium acnes HL013PA2 (765070.3)	1443_2, 1995_2, 1996_1	 	1792_7	920_8	2264, 2265	 	 	1239_16	 	685_18, 692_18	115	621	424	 
Propionibacterium acnes HL020PA1 (765065.3)	1594_2, 1595_1, 398_2	 	1386_7	2287_8	1862, 1863	 	 	195_16	 	2055_18, 2062_18	1019	1235	1112	 
Propionibacterium acnes HL025PA1 (765089.3)	1556_2, 1557_1, 409_2	 	1354_7	 	1832, 1833, 1834	 	 	197_16	 	2027_18, 2034_18	2235	930	2363	 
Propionibacterium acnes HL027PA1 (765111.3)	1226_1, 1227_2, 1654_2	 	525_7	2354_8, 2355_8	949, 950	 	 	1846_16	 	2092_18, 2100_18	268	727	102	 
Propionibacterium acnes HL027PA2 (765112.3)	2007_2, 434_2, 435_1	 	229_7	1391_8	701, 702	 	 	2207_16	 	894_18, 901_18	1538	1088	1665	 
Propionibacterium acnes HL030PA1 (765103.3)	2181_2, 2182_1, 346_2	 	1981_7	 	2454	 	 	1501_16	 	786_18, 794_18	1660	60	1787	 
Propionibacterium acnes HL036PA1 (765106.3)	1923_1, 1924_2, 625_2	 	2129_7	 	1652, 1653	 	 	423_16	 	1454_18, 1461_18	1148	963	2301	 
Propionibacterium acnes HL036PA2 (765107.3)	1724_2, 1725_1, 256_2	 	1519_7	 	1997, 1998	 	 	459_16	 	2190_18, 2197_18	1196	2383	1323	 
Propionibacterium acnes HL037PA1 (765122.3)	2105_1, 2106_2, 629_2	 	2311_7	 	1835, 1836	 	 	426_15	 	1634_18, 1642_18	896	191	82	 
Propionibacterium acnes HL037PA2 (765123.3)	325_2, 326_1	 	129_7	1100_8, 1101_8	 	 	 	2161_15	 	842_18, 850_18	1894	1592	1759	 
Propionibacterium acnes HL038PA1 (765085.3)	1787_1, 1788_2	 	1962_7	 	1516, 1517	 	 	388_16	 	1317_18, 1325_18	14	78	1079	 
Propionibacterium acnes HL043PA1 (765072.3)	982_1, 983_2	 	2401_7	 	712, 713	 	 	1361_16	 	2246_18, 2253_18	2178	1603	2048	 
Propionibacterium acnes HL043PA2 (765073.3)	1433_2, 1434_1	 	2366_7	 	1705, 1706	 	 	320_16	 	1897_18, 1904_18	713	2416	595	 
Propionibacterium acnes HL044PA1 (765109.3)	2296_1, 2297_2	 	2493_7	74_8, 75_8	 	 	 	1233_15	 	498_18, 505_18	2636	2206	358	 
Propionibacterium acnes HL045PA1 (765068.3)	1998_1, 1999_2	 	2172_7	 	1729, 1730	 	 	822_16	 	1526_18, 1534_18	2475	1083	2344	 
Propionibacterium acnes HL046PA1 (765094.3)	1373_2, 1374_1, 687_2	 	1165_7	2308_8, 2309_8	1648, 1649	 	 	882_16	 	1846_18, 1854_18	231	117	2073	 
Propionibacterium acnes HL046PA2 (765095.3)	1250_1, 1251_2, 2037_2	 	357_7	 	980, 981	 	 	2246_16	 	781_18, 788_18	454	253	1705	 
Propionibacterium acnes HL050PA1 (765100.3)	1251_1, 1252_2, 1253_2, 2031_2	 	1461_7	137_8, 138_8	977, 978	 	 	2223_16	 	777_18, 784_18	1757	337	1629	 
Propionibacterium acnes HL050PA2 (765101.3)	1728_2, 1729_1	 	1523_7	1038_8	 	 	 	568_16	 	2180_18, 2188_18	824	1185	1355	 
Propionibacterium acnes HL050PA3 (765102.3)	1883_1, 1884_2, 266_2	 	2091_7	1125_8, 1126_8	1609, 1610	 	 	459_16	 	1411_18, 1419_18	2185	722	2312	 
Propionibacterium acnes HL053PA1 (765066.3)	2053_1, 2054_2	 	2452_7	 	1783, 1784	 	 	780_16	 	1575_18, 1583_18	1347	1389	2283	 
Propionibacterium acnes HL053PA2 (765067.3)	1646_2, 1647_1, 860_2	 	1448_7	208_8	1921, 1922	 	 	1063_15	 	2120_18, 2128_18	324	15	2341	 
Propionibacterium acnes HL056PA1 (765119.3)	1304_1, 1305_2	 	1935_7	 	1031, 1032	 	 	510_16	 	1654_18, 1661_18	266	1787	2311	 
Propionibacterium acnes HL059PA1 (765091.3)	1644_2, 965_2, 966_1	 	760_7	391_8, 392_8	1236, 1237	 	 	1837_16	 	2233_18, 2241_18	2391	2099	593	 
Propionibacterium acnes HL059PA2 (765092.3)	1793_1, 1794_2, 711_2	 	1999_7	1075_8, 1076_8	1522, 1523	 	 	518_16	 	1321_18, 1329_18	2188	2152	2316	 
Propionibacterium acnes HL063PA1 (765113.3)	1954_1, 1955_2, 634_2	 	2162_7	1255_8	1681, 1682	 	 	837_16	 	1482_18, 1489_18	254	1062	2332	 
Propionibacterium acnes HL063PA2 (765114.3)	2149_1, 2150_2, 906_2	 	2353_7, 2354_7	315_8	1877, 1878	 	 	1112_16	 	1678_18, 1686_18	1547	486	1419	 
Propionibacterium acnes HL067PA1 (765110.3)	1537_2, 843_1, 844_2	 	2433_7	1902_8, 1903_8	574, 575	 	 	1345_16	 	375_18, 384_18	2173	2064	2268	 
Propionibacterium acnes HL072PA1 (765074.3)	1526_1, 1527_2, 2080_2	 	1733_7	774_8	1255, 1256	 	 	2282_16	 	1024_18, 1031_18	650	594	131	 
Propionibacterium acnes HL072PA2 (765075.3)	1951_2, 1952_1, 443_2	 	2388_7	1653_8	2222, 2223	 	 	239_16	 	1314_18, 1321_18	1095	1192	796	 
Propionibacterium acnes HL074PA1 (765076.3)	1437_1, 1438_2	 	1611_7	 	1166, 1167	 	 	825_16	 	2109_18, 2117_18	336	254	468	 
Propionibacterium acnes HL078PA1 (765071.3)	1676_2, 1677_1, 661_2	 	1504_7	 	1951, 1952	 	 	455_16	 	2147_18, 2155_18	 	1352	2430	 
Propionibacterium acnes HL082PA1 (765120.3)	1854_2, 1855_1, 603_2	 	1653_7	1121_8	2130, 2131	 	 	397_16	 	2327_18, 2335_18	1478	1557	1325	 
Propionibacterium acnes HL082PA2 (765121.3)	549_2, 550_1	 	345_7	1238_8	 	 	 	1987_16	 	1004_18, 1012_18	44	234	2375	 
Propionibacterium acnes HL083PA1 (765087.3)	2164_1, 2165_2	 	2339_7, 2340_7	 	1889, 1890	 	 	1047_16	 	707_18, 715_18	14	1330	1648	 
Propionibacterium acnes HL083PA2 (765088.3)	1786_1, 1787_2, 801_2	 	1992_7	311_8, 312_8	1511, 1512	 	 	992_16	 	1308_18, 1316_18	2139	2176	2327	 
Propionibacterium acnes HL086PA1 (765093.3)	1865_1, 1866_2, 928_2	 	2064_7	486_8	1589, 1590	 	 	162_16	 	1386_18, 1394_18	2472	2164	2342	 
Propionibacterium acnes HL087PA2 (765082.3)	1378_1, 1379_2, 1931_2	 	1584_7	824_8	1104, 1105	 	 	2133_16	 	649_18, 656_18	304	2343	86	 
Propionibacterium acnes HL087PA3 (765083.3)	1859_2, 1860_1, 568_2	 	1350_7	1062_8, 1063_8	2135, 2136	 	 	761_16	 	2328_18, 2336_18	1678	1402	1551	 
Propionibacterium acnes HL092PA1 (765086.3)	1588_1, 1589_2, 401_2	 	1786_7	2089_8	1316, 1317	 	 	198_16	 	1113_18, 1121_18	2399	1883	2278	 
Propionibacterium acnes HL096PA2 (765058.3)	2115_1, 2116_2	 	1226_7	 	1846, 1847	 	 	778_16	 	1647_18, 1654_18	2514	1083	2383	 
Propionibacterium acnes HL096PA3 (765057.3)	340_2, 971_2, 972_1	 	1987_7	1690_8	1243, 1244	 	 	543_16	 	1436_18, 1443_18	1836	2272	2424	 
Propionibacterium acnes HL097PA1 (765064.3)	2195_1, 2196_2, 558_2	 	2371_7	1051_8	1918, 1919	 	 	758_16	 	1704_18, 1712_18	1571	1285	1446	 
Propionibacterium acnes HL099PA1 (765063.3)	1340_2, 1341_1	 	745_7	 	1611, 1612	 	 	436_16	 	1804_18, 1812_18	1166	648	866	 
Propionibacterium acnes HL103PA1 (765061.3)	1488_2, 1489_1	 	1284_7	1094_8	 	 	 	773_16	 	1941_18, 1950_18	2383	2193	2257	 
Propionibacterium acnes HL110PA1 (765077.3)	1276_2, 1854_2, 1855_1	 	1655_7	236_8	2125, 2126	 	 	1072_16	 	2322_18, 2330_18	691	616	784	 
Propionibacterium acnes HL110PA2 (765078.3)	1704_1, 1705_2, 42_2	 	1905_7	2089_8	1429, 1430	 	 	879_16	 	1225_18, 1233_18	2240	648	2368	 
