Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Sulfolobus solfataricus P2 (273057.1)	 	 	 	 	 	 	299_15	 	2_18, 2173_18	 	 	 	 	 	 	 	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 	709_14	895_5	 	600_15	 	281_18	 	 	 	 	 	 	 	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 	 	663_5	 	158_15	 	966_18	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	 	 	 	 	 	 	1384_33, 1387_30	 	 	 	 	 	 	 
Actinomyces oris K20 (871541.3)	 	 	 	1146_13	 	 	 	 	 	 	 	 	 	 	 	 	212_38	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	1754_13	 	 	 	 	 	 	 	 	 	 	 	 	1_38	 	 
Actinomyces viscosus C505 (562973.4)	 	 	 	386_13	1873_5	 	 	 	1872_18	 	 	 	 	 	 	 	1326_38	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	1219_13	1250_5	 	 	 	1249_18	 	 	 	 	 	 	 	155_39	 	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	 	 	1410_11	 	 	 	 	 	 	 	 	 	 	 	 	1576_38	 	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	 	 	1521_11	 	 	 	 	 	 	 	 	 	 	 	 	1675_38	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	 	 	1111_11	 	 	 	 	 	 	 	 	 	 	 	 	907_38	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	2115	2113	 	2112_11, 2114_4, 2446_11	1098_5, 2116_5	 	 	2336_16	1101_18	 	 	1596_26, 1597_29, 1598_28	 	 	 	 	 	 	 
Corynebacterium amycolatum SK46 (553204.6)	1847	1845	 	1844_11, 1846_4	1848_5	 	 	337_16	1572_18	 	 	326_28, 327_29, 328_26	 	 	 	 	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	 	 	1620_11	44_5, 47_5	 	 	 	43_18	 	 	2385_26, 2387_29, 2388_28	 	 	 	 	 	 	 
