Organism	Tor	Dms	Ynf
Sulfolobus solfataricus P2 (273057.1)	 	 	 
Methanobrevibacter smithii ATCC 35061 (420247.6)	 	 	 
Methanosphaera stadtmanae DSM 3091 (339860.6)	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 
Actinomyces oris K20 (871541.3)	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	491_20, 492_18, 493_16, 494_13	 
Actinomyces viscosus C505 (562973.4)	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	1224_20, 1225_18, 1226_16, 1227_13	 
Mobiluncus curtisii ATCC 43063 (548479.6)	 	987_20, 988_18, 989_16, 990_13	 
Mobiluncus curtisii ATCC 51333 (887326.3)	 	1117_20, 1118_18, 1119_16, 1120_13	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	 	1461_13, 1462_16, 1463_18, 1464_20	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	 	 	 
Corynebacterium amycolatum SK46 (553204.6)	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	 	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 
Corynebacterium ulcerans 809 (945711.3)	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	 	 
Dietzia cinnamea P4 (910954.3)	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	 	 	 
Mycobacterium abscessus (36809.5)	 	 	 
Rhodococcus equi 103S (685727.3)	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	 	 	 
Brevibacterium linens BL2 (321955.4)	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 
Kocuria rhizophila DC2201 (378753.5)	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	 	 	 
Micrococcus luteus SK58 (596312.3)	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 
Rothia dentocariosa M567 (563032.4)	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	 	 	 
Propionibacterium acnes 266 (909952.3)	 	543_18, 544_17, 545_14	 
Propionibacterium acnes 6609 (1031709.3)	 	547_19, 548_17, 549_13	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	1511_18, 1512_16, 1513_13	 
Propionibacterium acnes HL001PA1 (765105.8)	 	2293_18, 2294_16, 2295_13, 2296_13	 
Propionibacterium acnes HL002PA1 (765115.3)	 	882_18, 883_16, 884_13, 885_13	 
Propionibacterium acnes HL002PA2 (765116.3)	 	1114_18, 1115_17, 1116_14	 
Propionibacterium acnes HL002PA3 (765117.3)	 	1392_18, 1393_17, 1394_14	 
Propionibacterium acnes HL005PA1 (765096.3)	 	134_13, 135_17, 136_18	 
Propionibacterium acnes HL005PA2 (765097.3)	 	898_14, 899_17, 900_18	 
Propionibacterium acnes HL005PA4 (765099.3)	 	985_18, 986_16, 987_13, 988_13	 
Propionibacterium acnes HL007PA1 (765118.3)	 	718_18, 719_17, 720_13	 
Propionibacterium acnes HL013PA1 (765069.3)	 	76_13, 77_13, 78_16, 79_18	 
Propionibacterium acnes HL013PA2 (765070.3)	 	1082_14, 1083_17, 1084_19	 
Propionibacterium acnes HL020PA1 (765065.3)	 	38_14, 39_17, 40_18	 
Propionibacterium acnes HL025PA1 (765089.3)	 	36_13, 37_13, 38_13, 39_17, 40_18	 
Propionibacterium acnes HL027PA1 (765111.3)	 	2004_18, 2005_16, 2006_13, 2007_13	 
Propionibacterium acnes HL027PA2 (765112.3)	 	2362_18, 2363_16, 2364_14	 
Propionibacterium acnes HL030PA1 (765103.3)	 	1334_14, 1335_17, 1336_19	 
Propionibacterium acnes HL036PA1 (765106.3)	 	265_13, 266_17, 267_18	 
Propionibacterium acnes HL036PA2 (765107.3)	 	612_18, 613_17, 614_14	 
Propionibacterium acnes HL037PA1 (765122.3)	 	269_13, 270_16, 271_18	 
Propionibacterium acnes HL037PA2 (765123.3)	 	1985_13, 1986_13, 1987_16, 1988_16, 1989_18	 
Propionibacterium acnes HL038PA1 (765085.3)	 	229_13, 230_17, 231_18	 
Propionibacterium acnes HL043PA1 (765072.3)	 	1203_13, 1204_17, 1205_18	 
Propionibacterium acnes HL043PA2 (765073.3)	 	478_18, 479_17, 480_13	 
Propionibacterium acnes HL044PA1 (765109.3)	 	677_13, 678_13, 679_16, 680_16, 681_18	 
Propionibacterium acnes HL045PA1 (765068.3)	 	979_18, 980_17, 981_13	 
Propionibacterium acnes HL046PA1 (765094.3)	 	1040_18, 1041_16, 1042_13, 1043_13	 
Propionibacterium acnes HL046PA2 (765095.3)	 	2401_18, 2402_17, 2403_14	 
Propionibacterium acnes HL050PA1 (765100.3)	 	2376_18, 2377_16, 2378_13, 2379_13	 
Propionibacterium acnes HL050PA2 (765101.3)	 	727_13, 728_13, 729_16, 730_18	 
Propionibacterium acnes HL050PA3 (765102.3)	 	615_18, 616_16, 617_13, 618_13	 
Propionibacterium acnes HL053PA1 (765066.3)	 	622_13, 623_17, 624_18	 
Propionibacterium acnes HL053PA2 (765067.3)	 	1225_18, 1226_17, 1227_13	 
Propionibacterium acnes HL056PA1 (765119.3)	 	350_13, 351_17, 352_18	 
Propionibacterium acnes HL059PA1 (765091.3)	 	1995_18, 1996_16, 1997_13	 
Propionibacterium acnes HL059PA2 (765092.3)	 	360_13, 361_16, 362_18	 
Propionibacterium acnes HL063PA1 (765113.3)	 	994_19, 995_17, 996_13	 
Propionibacterium acnes HL063PA2 (765114.3)	 	1270_18, 1271_16, 1272_13	 
Propionibacterium acnes HL067PA1 (765110.3)	 	1185_13, 1186_13, 1187_16, 1188_18	 
Propionibacterium acnes HL072PA1 (765074.3)	 	2439_19, 2440_17, 2441_13	 
Propionibacterium acnes HL072PA2 (765075.3)	 	77_14, 78_17, 79_19	 
Propionibacterium acnes HL074PA1 (765076.3)	 	982_18, 983_17, 984_13	 
Propionibacterium acnes HL078PA1 (765071.3)	 	297_13, 298_17, 299_18	 
Propionibacterium acnes HL082PA1 (765120.3)	 	234_13, 235_17, 236_18	 
Propionibacterium acnes HL082PA2 (765121.3)	 	2150_18, 2151_16, 2152_13	 
Propionibacterium acnes HL083PA1 (765087.3)	 	1205_18, 1206_17, 1207_13, 1208_13	 
Propionibacterium acnes HL083PA2 (765088.3)	 	1150_18, 1151_16, 1152_13, 1153_13	 
Propionibacterium acnes HL086PA1 (765093.3)	 	318_18, 319_17, 320_13	 
Propionibacterium acnes HL087PA2 (765082.3)	 	2290_19, 2291_17, 2292_13	 
Propionibacterium acnes HL087PA3 (765083.3)	 	918_18, 919_16, 920_13, 921_13	 
Propionibacterium acnes HL092PA1 (765086.3)	 	37_13, 38_17, 39_18	 
Propionibacterium acnes HL096PA2 (765058.3)	 	935_18, 936_17, 937_13	 
Propionibacterium acnes HL096PA3 (765057.3)	 	700_19, 701_17, 702_13	 
Propionibacterium acnes HL097PA1 (765064.3)	 	907_18, 908_17, 909_13	 
Propionibacterium acnes HL099PA1 (765063.3)	 	595_18, 596_17, 597_13	 
Propionibacterium acnes HL103PA1 (765061.3)	 	939_18, 940_16, 941_13	 
Propionibacterium acnes HL110PA1 (765077.3)	 	909_13, 910_17, 911_18	 
Propionibacterium acnes HL110PA2 (765078.3)	 	1039_18, 1040_17, 1041_13	 
Propionibacterium acnes HL110PA3 (765079.3)	 	864_18, 865_16, 866_13	 
Propionibacterium acnes HL110PA4 (765080.3)	 	38_13, 39_16, 40_18	 
Propionibacterium acnes J139 (679194.3)	 	570_16, 571_14	 
Propionibacterium acnes J165 (679195.3)	 	1821_19, 1822_17, 1823_13	 
Propionibacterium acnes KPA171202 (267747.3)	 	537_19, 538_17, 539_13	 
Propionibacterium acnes SK137 (553199.9)	 	562_18, 563_17, 564_13	 
Propionibacterium acnes SK182 (679193.4)	 	2033_13, 2034_17, 2035_18	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	 	 
